Model,AUROC,CalibrationMethod,Strategy,Threshold,Precision,Recall,F1,PredPosRate,Brier
Logistic Regression,0.8134839146286879,raw,default,0.5,0.051059437563293605,0.6369157516276358,0.09453992110254505,0.14515097702991725,0.1516210958788714
Logistic Regression,0.8134839146286879,raw,f1_swept,0.9108635786603406,0.1526947896749522,0.24832377805849773,0.1891071891071891,0.018923788670037352,0.1516210958788714
Logistic Regression,0.8134839146286879,raw,prevalence_matched,0.952613864653128,0.18333251678016757,0.18180934797395784,0.18256775547044618,0.011539598785376805,0.1516210958788714
Logistic Regression,0.8134839146286879,isotonic,default,0.5,1.0,4.8586143231950245e-05,9.716756546664723e-05,5.653617551994908e-07,0.01090006050421565
Logistic Regression,0.8134839146286879,isotonic,f1_swept,0.09717186366932559,0.1526947896749522,0.24832377805849773,0.1891071891071891,0.018923788670037352,0.01090006050421565
Logistic Regression,0.8134839146286879,isotonic,prevalence_matched,0.11692415730337079,0.17996596605804166,0.1901175784666213,0.18490253987005317,0.012292660643302526,0.01090006050421565
Logistic Regression,0.8134839146286879,platt,default,0.5,0.0,0.0,0.0,0.0,0.010936588161967046
Logistic Regression,0.8134839146286879,platt,f1_swept,0.1084593271294512,0.1526947896749522,0.24832377805849773,0.1891071891071891,0.018923788670037352,0.010936588161967046
Logistic Regression,0.8134839146286879,platt,prevalence_matched,0.13211731346136796,0.18333251678016757,0.18180934797395784,0.18256775547044618,0.011539598785376805,0.010936588161967046
Transformer,0.8244892657227533,raw,default,0.5,0.04570707070707071,0.6859391701486736,0.08570335880921016,0.1746289389460187,0.14375893771648407
Transformer,0.8244892657227533,raw,f1_swept,0.949669361114502,0.23465423465423466,0.2347682440967836,0.2347112255306747,0.011641929263067913,0.14375893771648407
Transformer,0.8244892657227533,raw,prevalence_matched,0.949669361114502,0.23465423465423466,0.2347682440967836,0.2347112255306747,0.011641929263067913,0.14375893771648407
Transformer,0.8244892657227533,isotonic,default,0.5,0.5346153846153846,0.04052084345544651,0.07533194833348388,0.0008819643381112055,0.010556074790656567
Transformer,0.8244892657227533,isotonic,f1_swept,0.13306982815265656,0.23465423465423466,0.2347682440967836,0.2347112255306747,0.011641929263067913,0.010556074790656567
Transformer,0.8244892657227533,isotonic,prevalence_matched,0.13306982815265656,0.23465423465423466,0.2347682440967836,0.2347112255306747,0.011641929263067913,0.010556074790656567
Transformer,0.8244892657227533,platt,default,0.5,0.0,0.0,0.0,0.0,0.010857082974434705
Transformer,0.8244892657227533,platt,f1_swept,0.11338396990472673,0.23465423465423466,0.2347682440967836,0.2347112255306747,0.011641929263067913,0.010857082974434705
Transformer,0.8244892657227533,platt,prevalence_matched,0.11338396990472673,0.23465423465423466,0.2347682440967836,0.2347112255306747,0.011641929263067913,0.010857082974434705
