,icd9cm,icd10,description,flags,approximate,no_map,combination,scenario,choice_list
0,0010,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",0,0,0,0,0,0
1,0011,A001,"Cholera due to Vibrio cholerae 01, biovar eltor",0,0,0,0,0,0
2,0019,A009,"Cholera, unspecified",0,0,0,0,0,0
3,0020,A0100,"Typhoid fever, unspecified",10000,1,0,0,0,0
4,0020,A0101,Typhoid meningitis,10000,1,0,0,0,0
5,0020,A0102,Typhoid fever with heart involvement,10000,1,0,0,0,0
6,0020,A0103,Typhoid pneumonia,10000,1,0,0,0,0
7,0020,A0104,Typhoid arthritis,10000,1,0,0,0,0
8,0020,A0105,Typhoid osteomyelitis,10000,1,0,0,0,0
9,0020,A0109,Typhoid fever with other complications,10000,1,0,0,0,0
10,0021,A011,Paratyphoid fever A,0,0,0,0,0,0
11,0022,A012,Paratyphoid fever B,0,0,0,0,0,0
12,0023,A013,Paratyphoid fever C,0,0,0,0,0,0
13,0029,A014,"Paratyphoid fever, unspecified",0,0,0,0,0,0
14,0030,A020,Salmonella enteritis,0,0,0,0,0,0
15,0031,A021,Salmonella sepsis,10111,1,0,1,1,1
16,99591,A021,Salmonella sepsis,10112,1,0,1,1,2
17,00320,A0220,"Localized salmonella infection, unspecified",0,0,0,0,0,0
18,00321,A0221,Salmonella meningitis,0,0,0,0,0,0
19,00322,A0222,Salmonella pneumonia,0,0,0,0,0,0
20,00323,A0223,Salmonella arthritis,0,0,0,0,0,0
21,00324,A0224,Salmonella osteomyelitis,0,0,0,0,0,0
22,00329,A0225,Salmonella pyelonephritis,10000,1,0,0,0,0
23,00329,A0229,Salmonella with other localized infection,10000,1,0,0,0,0
24,0038,A028,Other specified salmonella infections,0,0,0,0,0,0
25,0039,A029,"Salmonella infection, unspecified",0,0,0,0,0,0
26,0040,A030,Shigellosis due to Shigella dysenteriae,0,0,0,0,0,0
27,0041,A031,Shigellosis due to Shigella flexneri,0,0,0,0,0,0
28,0042,A032,Shigellosis due to Shigella boydii,0,0,0,0,0,0
29,0043,A033,Shigellosis due to Shigella sonnei,0,0,0,0,0,0
30,0048,A038,Other shigellosis,0,0,0,0,0,0
31,0049,A039,"Shigellosis, unspecified",0,0,0,0,0,0
32,00801,A040,Enteropathogenic Escherichia coli infection,0,0,0,0,0,0
33,00802,A041,Enterotoxigenic Escherichia coli infection,0,0,0,0,0,0
34,00803,A042,Enteroinvasive Escherichia coli infection,0,0,0,0,0,0
35,00804,A043,Enterohemorrhagic Escherichia coli infection,0,0,0,0,0,0
36,00800,A044,Other intestinal Escherichia coli infections,10000,1,0,0,0,0
37,00809,A044,Other intestinal Escherichia coli infections,10000,1,0,0,0,0
38,00843,A045,Campylobacter enteritis,0,0,0,0,0,0
39,00844,A046,Enteritis due to Yersinia enterocolitica,0,0,0,0,0,0
40,00845,A047,Enterocolitis due to Clostridium difficile,0,0,0,0,0,0
41,0082,A048,Other specified bacterial intestinal infections,10000,1,0,0,0,0
42,00841,A048,Other specified bacterial intestinal infections,10000,1,0,0,0,0
43,00849,A048,Other specified bacterial intestinal infections,10000,1,0,0,0,0
44,0085,A049,"Bacterial intestinal infection, unspecified",0,0,0,0,0,0
45,0050,A050,Foodborne staphylococcal intoxication,0,0,0,0,0,0
46,0051,A051,Botulism food poisoning,0,0,0,0,0,0
47,0052,A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,0,0,0,0,0,0
48,0054,A053,Foodborne Vibrio parahaemolyticus intoxication,0,0,0,0,0,0
49,00589,A054,Foodborne Bacillus cereus intoxication,10000,1,0,0,0,0
50,00581,A055,Foodborne Vibrio vulnificus intoxication,0,0,0,0,0,0
51,00589,A058,Other specified bacterial foodborne intoxications,10000,1,0,0,0,0
52,0059,A059,"Bacterial foodborne intoxication, unspecified",0,0,0,0,0,0
53,0060,A060,Acute amebic dysentery,0,0,0,0,0,0
54,0061,A061,Chronic intestinal amebiasis,0,0,0,0,0,0
55,0062,A062,Amebic nondysenteric colitis,0,0,0,0,0,0
56,0068,A063,Ameboma of intestine,10000,1,0,0,0,0
57,0063,A064,Amebic liver abscess,0,0,0,0,0,0
58,0064,A065,Amebic lung abscess,0,0,0,0,0,0
59,0065,A066,Amebic brain abscess,0,0,0,0,0,0
60,0066,A067,Cutaneous amebiasis,0,0,0,0,0,0
61,0068,A0681,Amebic cystitis,10000,1,0,0,0,0
62,0068,A0682,Other amebic genitourinary infections,10000,1,0,0,0,0
63,0068,A0689,Other amebic infections,10000,1,0,0,0,0
64,0069,A069,"Amebiasis, unspecified",0,0,0,0,0,0
65,0070,A070,Balantidiasis,0,0,0,0,0,0
66,0071,A071,Giardiasis [lambliasis],0,0,0,0,0,0
67,0074,A072,Cryptosporidiosis,0,0,0,0,0,0
68,0072,A073,Isosporiasis,0,0,0,0,0,0
69,0075,A074,Cyclosporiasis,0,0,0,0,0,0
70,0073,A078,Other specified protozoal intestinal diseases,10000,1,0,0,0,0
71,0078,A078,Other specified protozoal intestinal diseases,10000,1,0,0,0,0
72,1365,A078,Other specified protozoal intestinal diseases,10000,1,0,0,0,0
73,0079,A079,"Protozoal intestinal disease, unspecified",0,0,0,0,0,0
74,00861,A080,Rotaviral enteritis,0,0,0,0,0,0
75,00863,A0811,Acute gastroenteropathy due to Norwalk agent,10000,1,0,0,0,0
76,00864,A0819,Acute gastroenteropathy due to other small round viruses,10000,1,0,0,0,0
77,00862,A082,Adenoviral enteritis,0,0,0,0,0,0
78,00865,A0831,Calicivirus enteritis,0,0,0,0,0,0
79,00866,A0832,Astrovirus enteritis,0,0,0,0,0,0
80,00867,A0839,Other viral enteritis,10000,1,0,0,0,0
81,00869,A0839,Other viral enteritis,10000,1,0,0,0,0
82,0088,A084,"Viral intestinal infection, unspecified",10000,1,0,0,0,0
83,0088,A088,Other specified intestinal infections,10000,1,0,0,0,0
84,0090,A09,"Infectious gastroenteritis and colitis, unspecified",10000,1,0,0,0,0
85,01190,A150,Tuberculosis of lung,10000,1,0,0,0,0
86,01210,A154,Tuberculosis of intrathoracic lymph nodes,10000,1,0,0,0,0
87,01130,A155,"Tuberculosis of larynx, trachea and bronchus",10000,1,0,0,0,0
88,01220,A155,"Tuberculosis of larynx, trachea and bronchus",10000,1,0,0,0,0
89,01230,A155,"Tuberculosis of larynx, trachea and bronchus",10000,1,0,0,0,0
90,01200,A156,Tuberculous pleurisy,10000,1,0,0,0,0
91,01090,A157,Primary respiratory tuberculosis,10000,1,0,0,0,0
92,01280,A158,Other respiratory tuberculosis,10000,1,0,0,0,0
93,01280,A159,Respiratory tuberculosis unspecified,10000,1,0,0,0,0
94,01300,A170,Tuberculous meningitis,10000,1,0,0,0,0
95,01310,A171,Meningeal tuberculoma,10000,1,0,0,0,0
96,01320,A1781,Tuberculoma of brain and spinal cord,10000,1,0,0,0,0
97,01330,A1781,Tuberculoma of brain and spinal cord,10000,1,0,0,0,0
98,01340,A1781,Tuberculoma of brain and spinal cord,10000,1,0,0,0,0
99,01350,A1781,Tuberculoma of brain and spinal cord,10000,1,0,0,0,0
100,01360,A1782,Tuberculous meningoencephalitis,10000,1,0,0,0,0
101,01362,A1783,Tuberculous neuritis,10000,1,0,0,0,0
102,01790,A1783,Tuberculous neuritis,10000,1,0,0,0,0
103,01380,A1789,Other tuberculosis of nervous system,10000,1,0,0,0,0
104,01790,A179,"Tuberculosis of nervous system, unspecified",10000,1,0,0,0,0
105,01500,A1801,Tuberculosis of spine,10000,1,0,0,0,0
106,01500,A1801,Tuberculosis of spine,10111,1,0,1,1,1
107,01500,A1801,Tuberculosis of spine,10121,1,0,1,2,1
108,01500,A1801,Tuberculosis of spine,10131,1,0,1,3,1
109,01500,A1801,Tuberculosis of spine,10141,1,0,1,4,1
110,71148,A1801,Tuberculosis of spine,10122,1,0,1,2,2
111,72081,A1801,Tuberculosis of spine,10142,1,0,1,4,2
112,73088,A1801,Tuberculosis of spine,10132,1,0,1,3,2
113,73740,A1801,Tuberculosis of spine,10112,1,0,1,1,2
114,01510,A1802,Tuberculous arthritis of other joints,10000,1,0,0,0,0
115,01510,A1802,Tuberculous arthritis of other joints,10111,1,0,1,1,1
116,01520,A1802,Tuberculous arthritis of other joints,10000,1,0,0,0,0
117,01520,A1802,Tuberculous arthritis of other joints,10121,1,0,1,2,1
118,01580,A1802,Tuberculous arthritis of other joints,10000,1,0,0,0,0
119,01580,A1802,Tuberculous arthritis of other joints,10131,1,0,1,3,1
120,01590,A1802,Tuberculous arthritis of other joints,10000,1,0,0,0,0
121,71145,A1802,Tuberculous arthritis of other joints,10112,1,0,1,1,2
122,71146,A1802,Tuberculous arthritis of other joints,10122,1,0,1,2,2
123,71148,A1802,Tuberculous arthritis of other joints,10132,1,0,1,3,2
124,01560,A1803,Tuberculosis of other bones,10000,1,0,0,0,0
125,01570,A1803,Tuberculosis of other bones,10000,1,0,0,0,0
126,01570,A1803,Tuberculosis of other bones,10111,1,0,1,1,1
127,73088,A1803,Tuberculosis of other bones,10112,1,0,1,1,2
128,01590,A1809,Other musculoskeletal tuberculosis,10000,1,0,0,0,0
129,01690,A1810,"Tuberculosis of genitourinary system, unspecified",10000,1,0,0,0,0
130,01600,A1811,Tuberculosis of kidney and ureter,10000,1,0,0,0,0
131,01620,A1811,Tuberculosis of kidney and ureter,10000,1,0,0,0,0
132,01610,A1812,Tuberculosis of bladder,10000,1,0,0,0,0
133,01630,A1813,Tuberculosis of other urinary organs,10000,1,0,0,0,0
134,01650,A1814,Tuberculosis of prostate,10000,1,0,0,0,0
135,01650,A1814,Tuberculosis of prostate,10111,1,0,1,1,1
136,6014,A1814,Tuberculosis of prostate,10112,1,0,1,1,2
137,01650,A1815,Tuberculosis of other male genital organs,10000,1,0,0,0,0
138,01670,A1816,Tuberculosis of cervix,10000,1,0,0,0,0
139,01660,A1817,Tuberculous female pelvic inflammatory disease,10000,1,0,0,0,0
140,01670,A1817,Tuberculous female pelvic inflammatory disease,10000,1,0,0,0,0
141,01670,A1818,Tuberculosis of other female genital organs,10000,1,0,0,0,0
142,01720,A182,Tuberculous peripheral lymphadenopathy,10000,1,0,0,0,0
143,01400,A1831,Tuberculous peritonitis,10000,1,0,0,0,0
144,01480,A1832,Tuberculous enteritis,10000,1,0,0,0,0
145,01480,A1839,Retroperitoneal tuberculosis,10000,1,0,0,0,0
146,01700,A184,Tuberculosis of skin and subcutaneous tissue,10000,1,0,0,0,0
147,01710,A184,Tuberculosis of skin and subcutaneous tissue,10000,1,0,0,0,0
148,01730,A1850,"Tuberculosis of eye, unspecified",10000,1,0,0,0,0
149,01730,A1851,Tuberculous episcleritis,10000,1,0,0,0,0
150,01730,A1851,Tuberculous episcleritis,10111,1,0,1,1,1
151,37909,A1851,Tuberculous episcleritis,10112,1,0,1,1,2
152,01730,A1852,Tuberculous keratitis,10000,1,0,0,0,0
153,01730,A1852,Tuberculous keratitis,10111,1,0,1,1,1
154,01730,A1852,Tuberculous keratitis,10121,1,0,1,2,1
155,37031,A1852,Tuberculous keratitis,10122,1,0,1,2,2
156,37059,A1852,Tuberculous keratitis,10112,1,0,1,1,2
157,01730,A1853,Tuberculous chorioretinitis,10000,1,0,0,0,0
158,01730,A1853,Tuberculous chorioretinitis,10111,1,0,1,1,1
159,36313,A1853,Tuberculous chorioretinitis,10112,1,0,1,1,2
160,01730,A1854,Tuberculous iridocyclitis,10000,1,0,0,0,0
161,01730,A1854,Tuberculous iridocyclitis,10111,1,0,1,1,1
162,36411,A1854,Tuberculous iridocyclitis,10112,1,0,1,1,2
163,01730,A1859,Other tuberculosis of eye,10000,1,0,0,0,0
164,01740,A186,Tuberculosis of (inner) (middle) ear,10000,1,0,0,0,0
165,01760,A187,Tuberculosis of adrenal glands,10000,1,0,0,0,0
166,01750,A1881,Tuberculosis of thyroid gland,10000,1,0,0,0,0
167,01790,A1882,Tuberculosis of other endocrine glands,10000,1,0,0,0,0
168,01480,A1883,"Tuberculosis of digestive tract organs, not elsewhere classified",10000,1,0,0,0,0
169,01790,A1884,Tuberculosis of heart,10000,1,0,0,0,0
170,01790,A1884,Tuberculosis of heart,10111,1,0,1,1,1
171,4200,A1884,Tuberculosis of heart,10112,1,0,1,1,2
172,4220,A1884,Tuberculosis of heart,10112,1,0,1,1,2
173,42491,A1884,Tuberculosis of heart,10112,1,0,1,1,2
174,4258,A1884,Tuberculosis of heart,10112,1,0,1,1,2
175,01770,A1885,Tuberculosis of spleen,10000,1,0,0,0,0
176,01780,A1889,Tuberculosis of other sites,10000,1,0,0,0,0
177,01790,A1889,Tuberculosis of other sites,10000,1,0,0,0,0
178,01800,A190,Acute miliary tuberculosis of a single specified site,10000,1,0,0,0,0
179,01800,A191,Acute miliary tuberculosis of multiple sites,10000,1,0,0,0,0
180,01800,A192,"Acute miliary tuberculosis, unspecified",10000,1,0,0,0,0
181,01880,A198,Other miliary tuberculosis,10000,1,0,0,0,0
182,01890,A199,"Miliary tuberculosis, unspecified",10000,1,0,0,0,0
183,0200,A200,Bubonic plague,0,0,0,0,0,0
184,0201,A201,Cellulocutaneous plague,0,0,0,0,0,0
185,0203,A202,Pneumonic plague,10000,1,0,0,0,0
186,0204,A202,Pneumonic plague,10000,1,0,0,0,0
187,0205,A202,Pneumonic plague,10000,1,0,0,0,0
188,0208,A203,Plague meningitis,10000,1,0,0,0,0
189,0202,A207,Septicemic plague,0,0,0,0,0,0
190,0208,A208,Other forms of plague,10000,1,0,0,0,0
191,0209,A209,"Plague, unspecified",0,0,0,0,0,0
192,0210,A210,Ulceroglandular tularemia,0,0,0,0,0,0
193,0213,A211,Oculoglandular tularemia,0,0,0,0,0,0
194,0212,A212,Pulmonary tularemia,0,0,0,0,0,0
195,0211,A213,Gastrointestinal tularemia,10000,1,0,0,0,0
196,0218,A217,Generalized tularemia,10000,1,0,0,0,0
197,0218,A218,Other forms of tularemia,10000,1,0,0,0,0
198,0219,A219,"Tularemia, unspecified",0,0,0,0,0,0
199,0220,A220,Cutaneous anthrax,0,0,0,0,0,0
200,0221,A221,Pulmonary anthrax,10000,1,0,0,0,0
201,0221,A221,Pulmonary anthrax,10111,1,0,1,1,1
202,4845,A221,Pulmonary anthrax,10112,1,0,1,1,2
203,0222,A222,Gastrointestinal anthrax,0,0,0,0,0,0
204,0223,A227,Anthrax sepsis,10111,1,0,1,1,1
205,99591,A227,Anthrax sepsis,10112,1,0,1,1,2
206,0228,A228,Other forms of anthrax,0,0,0,0,0,0
207,0229,A229,"Anthrax, unspecified",0,0,0,0,0,0
208,0230,A230,Brucellosis due to Brucella melitensis,0,0,0,0,0,0
209,0231,A231,Brucellosis due to Brucella abortus,0,0,0,0,0,0
210,0232,A232,Brucellosis due to Brucella suis,0,0,0,0,0,0
211,0233,A233,Brucellosis due to Brucella canis,0,0,0,0,0,0
212,0238,A238,Other brucellosis,0,0,0,0,0,0
213,0239,A239,"Brucellosis, unspecified",0,0,0,0,0,0
214,024,A240,Glanders,0,0,0,0,0,0
215,025,A241,Acute and fulminating melioidosis,10000,1,0,0,0,0
216,025,A242,Subacute and chronic melioidosis,10000,1,0,0,0,0
217,025,A243,Other melioidosis,10000,1,0,0,0,0
218,025,A249,"Melioidosis, unspecified",10000,1,0,0,0,0
219,0260,A250,Spirillosis,0,0,0,0,0,0
220,0261,A251,Streptobacillosis,0,0,0,0,0,0
221,0269,A259,"Rat-bite fever, unspecified",0,0,0,0,0,0
222,0271,A260,Cutaneous erysipeloid,10000,1,0,0,0,0
223,0271,A267,Erysipelothrix sepsis,10111,1,0,1,1,1
224,99591,A267,Erysipelothrix sepsis,10112,1,0,1,1,2
225,0271,A268,Other forms of erysipeloid,10000,1,0,0,0,0
226,0271,A269,"Erysipeloid, unspecified",10000,1,0,0,0,0
227,1000,A270,Leptospirosis icterohemorrhagica,0,0,0,0,0,0
228,10081,A2781,Aseptic meningitis in leptospirosis,0,0,0,0,0,0
229,10089,A2789,Other forms of leptospirosis,10000,1,0,0,0,0
230,1009,A279,"Leptospirosis, unspecified",0,0,0,0,0,0
231,0272,A280,Pasteurellosis,0,0,0,0,0,0
232,0783,A281,Cat-scratch disease,0,0,0,0,0,0
233,0278,A282,Extraintestinal yersiniosis,10000,1,0,0,0,0
234,0278,A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",10000,1,0,0,0,0
235,0279,A289,"Zoonotic bacterial disease, unspecified",0,0,0,0,0,0
236,0302,A300,Indeterminate leprosy,0,0,0,0,0,0
237,0301,A301,Tuberculoid leprosy,0,0,0,0,0,0
238,0303,A302,Borderline tuberculoid leprosy,10000,1,0,0,0,0
239,0303,A303,Borderline leprosy,10000,1,0,0,0,0
240,0303,A304,Borderline lepromatous leprosy,10000,1,0,0,0,0
241,0300,A305,Lepromatous leprosy,0,0,0,0,0,0
242,0308,A308,Other forms of leprosy,0,0,0,0,0,0
243,0309,A309,"Leprosy, unspecified",0,0,0,0,0,0
244,0310,A310,Pulmonary mycobacterial infection,0,0,0,0,0,0
245,0311,A311,Cutaneous mycobacterial infection,0,0,0,0,0,0
246,0312,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),0,0,0,0,0,0
247,0318,A318,Other mycobacterial infections,0,0,0,0,0,0
248,0319,A319,"Mycobacterial infection, unspecified",0,0,0,0,0,0
249,0270,A320,Cutaneous listeriosis,10000,1,0,0,0,0
250,0270,A3211,Listerial meningitis,10000,1,0,0,0,0
251,0270,A3212,Listerial meningoencephalitis,10000,1,0,0,0,0
252,0270,A327,Listerial sepsis,10111,1,0,1,1,1
253,99591,A327,Listerial sepsis,10112,1,0,1,1,2
254,0270,A3281,Oculoglandular listeriosis,10000,1,0,0,0,0
255,0270,A3282,Listerial endocarditis,10000,1,0,0,0,0
256,0270,A3289,Other forms of listeriosis,10000,1,0,0,0,0
257,0270,A329,"Listeriosis, unspecified",10000,1,0,0,0,0
258,7713,A33,Tetanus neonatorum,0,0,0,0,0,0
259,6390,A34,Obstetrical tetanus,10000,1,0,0,0,0
260,037,A35,Other tetanus,0,0,0,0,0,0
261,0320,A360,Pharyngeal diphtheria,0,0,0,0,0,0
262,0321,A361,Nasopharyngeal diphtheria,0,0,0,0,0,0
263,0323,A362,Laryngeal diphtheria,0,0,0,0,0,0
264,03285,A363,Cutaneous diphtheria,0,0,0,0,0,0
265,03282,A3681,Diphtheritic cardiomyopathy,0,0,0,0,0,0
266,03289,A3682,Diphtheritic radiculomyelitis,10000,1,0,0,0,0
267,03289,A3683,Diphtheritic polyneuritis,10000,1,0,0,0,0
268,03289,A3684,Diphtheritic tubulo-interstitial nephropathy,10000,1,0,0,0,0
269,03284,A3685,Diphtheritic cystitis,0,0,0,0,0,0
270,03281,A3686,Diphtheritic conjunctivitis,0,0,0,0,0,0
271,0322,A3689,Other diphtheritic complications,10000,1,0,0,0,0
272,03283,A3689,Other diphtheritic complications,10000,1,0,0,0,0
273,03289,A3689,Other diphtheritic complications,10000,1,0,0,0,0
274,0329,A369,"Diphtheria, unspecified",0,0,0,0,0,0
275,0330,A3700,Whooping cough due to Bordetella pertussis without pneumonia,10000,1,0,0,0,0
276,0330,A3701,Whooping cough due to Bordetella pertussis with pneumonia,10111,1,0,1,1,1
277,4843,A3701,Whooping cough due to Bordetella pertussis with pneumonia,10112,1,0,1,1,2
278,0331,A3710,Whooping cough due to Bordetella parapertussis without pneumonia,10000,1,0,0,0,0
279,0331,A3711,Whooping cough due to Bordetella parapertussis with pneumonia,10111,1,0,1,1,1
280,4843,A3711,Whooping cough due to Bordetella parapertussis with pneumonia,10112,1,0,1,1,2
281,0338,A3780,Whooping cough due to other Bordetella species without pneumonia,10000,1,0,0,0,0
282,0338,A3781,Whooping cough due to other Bordetella species with pneumonia,10111,1,0,1,1,1
283,4843,A3781,Whooping cough due to other Bordetella species with pneumonia,10112,1,0,1,1,2
284,0339,A3790,"Whooping cough, unspecified species without pneumonia",10000,1,0,0,0,0
285,0339,A3791,"Whooping cough, unspecified species with pneumonia",10111,1,0,1,1,1
286,4843,A3791,"Whooping cough, unspecified species with pneumonia",10112,1,0,1,1,2
287,0341,A380,Scarlet fever with otitis media,10000,1,0,0,0,0
288,0341,A381,Scarlet fever with myocarditis,10000,1,0,0,0,0
289,0341,A388,Scarlet fever with other complications,10000,1,0,0,0,0
290,0341,A389,"Scarlet fever, uncomplicated",10000,1,0,0,0,0
291,0360,A390,Meningococcal meningitis,0,0,0,0,0,0
292,0363,A391,Waterhouse-Friderichsen syndrome,0,0,0,0,0,0
293,0362,A392,Acute meningococcemia,10000,1,0,0,0,0
294,0362,A393,Chronic meningococcemia,10000,1,0,0,0,0
295,0362,A394,"Meningococcemia, unspecified",10000,1,0,0,0,0
296,03640,A3950,"Meningococcal carditis, unspecified",0,0,0,0,0,0
297,03642,A3951,Meningococcal endocarditis,0,0,0,0,0,0
298,03643,A3952,Meningococcal myocarditis,0,0,0,0,0,0
299,03641,A3953,Meningococcal pericarditis,0,0,0,0,0,0
300,0361,A3981,Meningococcal encephalitis,0,0,0,0,0,0
301,03681,A3982,Meningococcal retrobulbar neuritis,10000,1,0,0,0,0
302,03682,A3983,Meningococcal arthritis,10000,1,0,0,0,0
303,03682,A3984,Postmeningococcal arthritis,10000,1,0,0,0,0
304,03689,A3989,Other meningococcal infections,0,0,0,0,0,0
305,0369,A399,"Meningococcal infection, unspecified",0,0,0,0,0,0
306,0380,A400,"Sepsis due to streptococcus, group A",10111,1,0,1,1,1
307,99591,A400,"Sepsis due to streptococcus, group A",10112,1,0,1,1,2
308,0380,A401,"Sepsis due to streptococcus, group B",10111,1,0,1,1,1
309,99591,A401,"Sepsis due to streptococcus, group B",10112,1,0,1,1,2
310,0380,A403,Sepsis due to Streptococcus pneumoniae,10111,1,0,1,1,1
311,0382,A403,Sepsis due to Streptococcus pneumoniae,10111,1,0,1,1,1
312,99591,A403,Sepsis due to Streptococcus pneumoniae,10112,1,0,1,1,2
313,0380,A408,Other streptococcal sepsis,10111,1,0,1,1,1
314,99591,A408,Other streptococcal sepsis,10112,1,0,1,1,2
315,0380,A409,"Streptococcal sepsis, unspecified",10111,1,0,1,1,1
316,99591,A409,"Streptococcal sepsis, unspecified",10112,1,0,1,1,2
317,03811,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,10111,1,0,1,1,1
318,99591,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,10112,1,0,1,1,2
319,03812,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,10111,1,0,1,1,1
320,99591,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,10112,1,0,1,1,2
321,03819,A411,Sepsis due to other specified staphylococcus,10111,1,0,1,1,1
322,99591,A411,Sepsis due to other specified staphylococcus,10112,1,0,1,1,2
323,03810,A412,Sepsis due to unspecified staphylococcus,10111,1,0,1,1,1
324,99591,A412,Sepsis due to unspecified staphylococcus,10112,1,0,1,1,2
325,03841,A413,Sepsis due to Hemophilus influenzae,10111,1,0,1,1,1
326,99591,A413,Sepsis due to Hemophilus influenzae,10112,1,0,1,1,2
327,0383,A414,Sepsis due to anaerobes,10111,1,0,1,1,1
328,99591,A414,Sepsis due to anaerobes,10112,1,0,1,1,2
329,03840,A4150,"Gram-negative sepsis, unspecified",10111,1,0,1,1,1
330,99591,A4150,"Gram-negative sepsis, unspecified",10112,1,0,1,1,2
331,03842,A4151,Sepsis due to Escherichia coli [E. coli],10111,1,0,1,1,1
332,99591,A4151,Sepsis due to Escherichia coli [E. coli],10112,1,0,1,1,2
333,03843,A4152,Sepsis due to Pseudomonas,10111,1,0,1,1,1
334,99591,A4152,Sepsis due to Pseudomonas,10112,1,0,1,1,2
335,03844,A4153,Sepsis due to Serratia,10111,1,0,1,1,1
336,99591,A4153,Sepsis due to Serratia,10112,1,0,1,1,2
337,03849,A4159,Other Gram-negative sepsis,10111,1,0,1,1,1
338,99591,A4159,Other Gram-negative sepsis,10112,1,0,1,1,2
339,0388,A4181,Sepsis due to Enterococcus,10111,1,0,1,1,1
340,99591,A4181,Sepsis due to Enterococcus,10112,1,0,1,1,2
341,0388,A4189,Other specified sepsis,10111,1,0,1,1,1
342,99591,A4189,Other specified sepsis,10112,1,0,1,1,2
343,0389,A419,"Sepsis, unspecified organism",10111,1,0,1,1,1
344,99591,A419,"Sepsis, unspecified organism",10112,1,0,1,1,2
345,0391,A420,Pulmonary actinomycosis,10000,1,0,0,0,0
346,0392,A421,Abdominal actinomycosis,0,0,0,0,0,0
347,0393,A422,Cervicofacial actinomycosis,0,0,0,0,0,0
348,0388,A427,Actinomycotic sepsis,10111,1,0,1,1,1
349,99591,A427,Actinomycotic sepsis,10112,1,0,1,1,2
350,0398,A4281,Actinomycotic meningitis,10000,1,0,0,0,0
351,0398,A4282,Actinomycotic encephalitis,10000,1,0,0,0,0
352,0398,A4289,Other forms of actinomycosis,10000,1,0,0,0,0
353,0399,A429,"Actinomycosis, unspecified",10000,1,0,0,0,0
354,0391,A430,Pulmonary nocardiosis,10000,1,0,0,0,0
355,0390,A431,Cutaneous nocardiosis,10000,1,0,0,0,0
356,0398,A438,Other forms of nocardiosis,10000,1,0,0,0,0
357,0399,A439,"Nocardiosis, unspecified",10000,1,0,0,0,0
358,0880,A440,Systemic bartonellosis,10000,1,0,0,0,0
359,0880,A441,Cutaneous and mucocutaneous bartonellosis,10000,1,0,0,0,0
360,0880,A448,Other forms of bartonellosis,10000,1,0,0,0,0
361,0880,A449,"Bartonellosis, unspecified",10000,1,0,0,0,0
362,035,A46,Erysipelas,0,0,0,0,0,0
363,0400,A480,Gas gangrene,0,0,0,0,0,0
364,48284,A481,Legionnaires' disease,0,0,0,0,0,0
365,04089,A482,Nonpneumonic Legionnaires' disease [Pontiac fever],10000,1,0,0,0,0
366,04082,A483,Toxic shock syndrome,0,0,0,0,0,0
367,04089,A484,Brazilian purpuric fever,10000,1,0,0,0,0
368,04041,A4851,Infant botulism,0,0,0,0,0,0
369,04042,A4852,Wound botulism,0,0,0,0,0,0
370,0401,A488,Other specified bacterial diseases,10000,1,0,0,0,0
371,04089,A488,Other specified bacterial diseases,10000,1,0,0,0,0
372,04111,A4901,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",10000,1,0,0,0,0
373,04112,A4902,"Methicillin resistant Staphylococcus aureus infection, unspecified site",10000,1,0,0,0,0
374,04100,A491,"Streptococcal infection, unspecified site",10000,1,0,0,0,0
375,0415,A492,"Hemophilus influenzae infection, unspecified site",10000,1,0,0,0,0
376,04181,A493,"Mycoplasma infection, unspecified site",10000,1,0,0,0,0
377,04189,A498,Other bacterial infections of unspecified site,10000,1,0,0,0,0
378,0419,A499,"Bacterial infection, unspecified",10000,1,0,0,0,0
379,0900,A5001,Early congenital syphilitic oculopathy,10000,1,0,0,0,0
380,0900,A5002,Early congenital syphilitic osteochondropathy,10000,1,0,0,0,0
381,0900,A5003,Early congenital syphilitic pharyngitis,10000,1,0,0,0,0
382,0900,A5004,Early congenital syphilitic pneumonia,10000,1,0,0,0,0
383,0900,A5005,Early congenital syphilitic rhinitis,10000,1,0,0,0,0
384,0900,A5006,Early cutaneous congenital syphilis,10000,1,0,0,0,0
385,0900,A5007,Early mucocutaneous congenital syphilis,10000,1,0,0,0,0
386,0900,A5008,Early visceral congenital syphilis,10000,1,0,0,0,0
387,0900,A5009,"Other early congenital syphilis, symptomatic",10000,1,0,0,0,0
388,0901,A501,"Early congenital syphilis, latent",0,0,0,0,0,0
389,0902,A502,"Early congenital syphilis, unspecified",0,0,0,0,0,0
390,0905,A5030,"Late congenital syphilitic oculopathy, unspecified",10000,1,0,0,0,0
391,0903,A5031,Late congenital syphilitic interstitial keratitis,10000,1,0,0,0,0
392,0905,A5032,Late congenital syphilitic chorioretinitis,10000,1,0,0,0,0
393,0905,A5039,Other late congenital syphilitic oculopathy,10000,1,0,0,0,0
