,icd9cm,icd10,description,flags,approximate,no_map,combination,scenario,choice_list
64090,E9292,T454X1S,"Poisoning by iron and its compounds, accidental (unintentional), sequela",10112,1,0,1,1,2
64091,9640,T454X2A,"Poisoning by iron and its compounds, intentional self-harm, initial encounter",10111,1,0,1,1,1
64092,E9504,T454X2A,"Poisoning by iron and its compounds, intentional self-harm, initial encounter",10112,1,0,1,1,2
64093,V5889,T454X2D,"Poisoning by iron and its compounds, intentional self-harm, subsequent encounter",10000,1,0,0,0,0
64094,9090,T454X2S,"Poisoning by iron and its compounds, intentional self-harm, sequela",10111,1,0,1,1,1
64095,E959,T454X2S,"Poisoning by iron and its compounds, intentional self-harm, sequela",10112,1,0,1,1,2
64096,9640,T454X3A,"Poisoning by iron and its compounds, assault, initial encounter",10111,1,0,1,1,1
64097,E9620,T454X3A,"Poisoning by iron and its compounds, assault, initial encounter",10112,1,0,1,1,2
64098,V5889,T454X3D,"Poisoning by iron and its compounds, assault, subsequent encounter",10000,1,0,0,0,0
64099,9090,T454X3S,"Poisoning by iron and its compounds, assault, sequela",10111,1,0,1,1,1
64100,E969,T454X3S,"Poisoning by iron and its compounds, assault, sequela",10112,1,0,1,1,2
64101,9640,T454X4A,"Poisoning by iron and its compounds, undetermined, initial encounter",10111,1,0,1,1,1
64102,E9804,T454X4A,"Poisoning by iron and its compounds, undetermined, initial encounter",10112,1,0,1,1,2
64103,V5889,T454X4D,"Poisoning by iron and its compounds, undetermined, subsequent encounter",10000,1,0,0,0,0
64104,9090,T454X4S,"Poisoning by iron and its compounds, undetermined, sequela",10111,1,0,1,1,1
64105,E989,T454X4S,"Poisoning by iron and its compounds, undetermined, sequela",10112,1,0,1,1,2
64106,99529,T454X5A,"Adverse effect of iron and its compounds, initial encounter",10111,1,0,1,1,1
64107,E9340,T454X5A,"Adverse effect of iron and its compounds, initial encounter",10112,1,0,1,1,2
64108,V5889,T454X5D,"Adverse effect of iron and its compounds, subsequent encounter",10000,1,0,0,0,0
64109,9095,T454X5S,"Adverse effect of iron and its compounds, sequela",10111,1,0,1,1,1
