model,TP,FN,FP,TN,sensitivity,specificity,ppv,npv,f1
LR-Kelly,12290,8292,216104,1532093,0.5971237003206685,0.8763846408614132,0.05381052041647329,0.9946169301830386,0.09872437504016451
LR-Rick,13111,7471,243711,1504486,0.6370129239140997,0.860592942328582,0.05105092242876389,0.9950587219080966,0.09452639471673084
LR-Full List 299,13194,7388,244795,1503402,0.6410455738023516,0.8599728749105507,0.05114171534445267,0.99510984319462,0.09472629957892244
Transformer-Kelly,12807,7775,240352,1507845,0.6222427363715868,0.8625143504994003,0.050588760423291294,0.9948700861693565,0.09357019956820498
Transformer-Rick,14120,6462,294858,1453339,0.6860363424351374,0.8313359421163633,0.045699046534057444,0.9955733692469042,0.08569001092365579
Transformer-Full List 299,14389,6193,306007,1442190,0.6991060149645321,0.824958514400837,0.044910048814591944,0.9957241972599788,0.08439840693534481
