model,TP,FN,FP,TN,sensitivity,specificity,ppv,npv,f1
LR-Kelly,3020,17562,12312,1735885,0.14673015256048974,0.9929573154512906,0.1969736498825985,0.9899842994969338,0.1681795400122515
LR-Rick,3913,16669,17830,1730367,0.1901175784666213,0.9898009206056296,0.17996596605804166,0.9904586969014949,0.18490253987005317
LR-Full List 299,3464,17118,14851,1733346,0.16830240015547565,0.9915049619693891,0.18913458913458914,0.9902208785784797,0.17811142247474096
Transformer-Kelly,4525,16057,17112,1731085,0.21985229812457488,0.9902116294673884,0.20913250450617,0.990809562130611,0.21435846419858356
Transformer-Rick,4726,15856,15151,1733046,0.22961811291419687,0.9913333565953951,0.23776223776223776,0.990933740140957,0.23361921945673397
Transformer-Full List 299,4654,15928,14305,1733892,0.22611991060149644,0.991817283750058,0.24547708212458463,0.9908973494416569,0.23540122910396805
