DETAIL_LAB_PROCEDURE_ID,LAB_PROCEDURE_NAME,ntk_score_lab,n_patients_with_abnormal,abnormal_rate_patients_pos,abnormal_rate_patients_neg
39,Hemoglobin,0.2169546641780766,3071517,0.519653669854564,0.43282555728238004
40,Hematocrit,0.2147917691747942,3040896,0.493644955011035,0.42877382998738833
52,"Glucose, Serum/Plasma Quantitative",0.19736019586627898,2794110,0.4111255729726671,0.3945130373978306
41,White Blood Cell Count,0.1739142473335879,2462176,0.3773640427819591,0.34745517822278477
42,Red Blood Cell Count,0.15236942283385935,2157157,0.3178993831701658,0.30457250221448073
3,Blood Urea Nitrogen,0.13128887803944986,1858711,0.3193820383679475,0.2618597747295129
38,"Chloride, Serum",0.11477385629889753,1624901,0.33004357421764474,0.2282774887444867
1523,Red Blood Cell Distribution Width (RDW),0.11426959754090683,1617762,0.3038877256521985,0.22758682252338652
34,"Calcium, Serum",0.1043966080246011,1477986,0.26069831928017656,0.20813715818602554
13,"Creatinine, Serum Quantitative",0.10435034251311716,1477331,0.22435628996661197,0.20850280500896093
1489,Mean Corpuscular Hemoglobin,0.09749725479526133,1380309,0.23360307849018166,0.1945065141211773
47,"Sodium, Serum",0.09329020116244394,1320748,0.2664365344349499,0.18557105564927204
28,"Albumin, Serum",0.0921667615286238,1304843,0.27593231848791805,0.18317575423955762
9,Aspartate Aminotransferase / SGOT,0.08992842901959355,1273154,0.26118499236036447,0.17882890589772876
24,"Potassium, Serum",0.08771481853960052,1241815,0.26130949012506366,0.17434415319858
1488,Lymphocyte Count,0.08328109921769611,1179045,0.18496972440722087,0.16632953533670408
62,"Protein Total, Serum",0.08285058274060503,1172950,0.25164393639296023,0.16461488634620974
59,Platelet Count,0.07972988569805192,1128769,0.2091449267160885,0.1588317727061527
1490,Mean Corpuscular Hemoglobin Concentration,0.07862445782824462,1113119,0.20419897006394658,0.15665548744898683
1503,Neutrophil Absolute Count Blood,0.07721268870148178,1093132,0.13485371512647842,0.15467275467673158
8,Alanine Aminotransferase / SGPT,0.07169451991726737,1015009,0.2058174410050365,0.1425999720757982
1491,Mean Corpuscular Volume,0.07141572606409617,1011062,0.18134797125233434,0.14234462012785623
1565,UA Blood,0.07110140312348004,1006612,0.1445305868371909,0.1421733841157069
1492,Mean Platelet Volume,0.06966208659293287,986235,0.1547280855639183,0.13912947445278864
1373,Anion Gap,0.06431287521859572,910504,0.17670760002263597,0.12801801683234262
1562,UA Bacteria,0.059681874104974254,844941,0.12405636353347292,0.11930443559923735
1496,Monocyte Absolute Count Blood,0.057374531817745815,812275,0.0987267274064852,0.11495157897628044
1506,Neutrophil Percent,0.05646257148374696,799364,0.13331447003565164,0.11266743076743489
1485,Lymphocyte Percent,0.05641962578759087,798756,0.11571501329862487,0.11280290320144107
2,Prothrombin Time,0.05598246967984407,792567,0.1266368626563296,0.11177949264929721
35,Carbon Dioxide CO2,0.05591112896747951,791557,0.1508573368796333,0.11132887156469373
29,"Alkaline Phosphatase, Serum",0.05472256444573847,774730,0.1672684058627129,0.10871426789380563
1482,"Leukocyte Esterase, Urine",0.05454767374889228,772254,0.10900345198347575,0.10909650901699942
1592,UA Red Blood Cell,0.05413566347639477,766421,0.1041027672457699,0.10832401572910777
1480,INR (International Normalized Ratio),0.053882933705265666,762843,0.09487861467941826,0.10792875666346988
1502,Neutrophil Count Blood Automated,0.052254882141611454,739794,0.10372927395167224,0.10451962934055395
1607,UA White Blood Cell,0.05072465917857597,718130,0.10160149397317639,0.10144739492374633
1486,Lymphocyte Absolute Count Blood,0.04847184662396678,686236,0.08096881896893215,0.09714560869037782
1371,Albumin / Globulin Ratio,0.04347566582428119,615503,0.10959198687114481,0.08666516364268924
1405,Blood Urea Nitrogen Creatinine Ratio,0.04336378098429558,613919,0.0945164393639296,0.08662911395592096
2396,Glomerular Filtration Rate,0.04203253503782541,595072,0.07071473034915964,0.08423381254620654
847,Bilirubin Total Serum or Plasma Mass/Volume,0.04109585267478934,581811,0.11359855129873804,0.08179473651684493
1498,Monocyte Count,0.04015895840864723,568547,0.10380849980193538,0.08002100609525815
1495,Monocyte Percent,0.03956407575564294,560125,0.100831871427763,0.07885382595897888
1035,Glucose Stick/Meter Whole Blood POC,0.03902103872924815,552437,0.08333427649821742,0.07797518637115843
1313,"Specific Gravity, Urine",0.03447621154541359,488094,0.10103559504272537,0.06854690579244078
1561,UA Appearance,0.032164207389852414,455362,0.0838775394714504,0.06408132237117672
1505,Neutrophil Count,0.03140206255181914,444572,0.08543942051949521,0.06251802484338413
1519,"Protein, Urine",0.031009123558864635,439009,0.06582536359006282,0.061970126826231355
1081,HDL Cholesterol,0.030866654037241547,436992,0.05492615018957614,0.06181934758077991
1,Partial Thromboplastin Time,0.02951252255531978,417821,0.05620508177239545,0.05906068821713127
58,"Phosphorus, Serum",0.029177150572837665,413073,0.10119404674325165,0.0578128254485611
1093,Hemoglobin A1C (Glycosylated Hemoglobin),0.028262364864091706,400122,0.05172316224322336,0.05658541944668881
1472,Eosinophil Absolute Count Blood,0.027992329672636544,396299,0.05568445475638051,0.05598845380032365
1471,Eosinophil Percent,0.027933067437315884,395460,0.08543942051949521,0.055492341444322114
25,Magnesium,0.027763827489963915,393064,0.0951276102088167,0.055027128819836256
2415,Glomerular Filtration Rate Estimated,0.02689410650843438,380751,0.053228453398223075,0.05379528813427421
1484,Lymphocyte Count Blood,0.023708143309223,335646,0.04351762775168355,0.04746556396587754
6721,Erythrocytes Blood Automated Count,0.023413951163680034,331481,0.07133721917265576,0.046518115253709684
986,Eosinophil Count,0.02319809253300073,328425,0.06039273385773301,0.04621927479474567
1473,"Globulin, Serum",0.022899521056599745,324198,0.07778846697979741,0.04539470973707762
1399,"Blood Gas PCO2, Arterial",0.022376967997121508,316800,0.0743478014826552,0.0443798824436881
1328,"Triglyceride, Serum",0.022242621427896365,314898,0.03990719257540603,0.04454310741433336
1504,Neutrophil Absolute Count,0.022187455985959018,314117,0.05256069266029087,0.044271447274758124
1586,UA Mucous,0.022144510289802927,313509,0.04561145379435233,0.04427230560063356
1254,"Protein Total, Urine",0.021376926605381465,302642,0.05054609246788524,0.04265536270562627
1146,"Lipase, Serum",0.02135220457634424,302292,0.07533246562163998,0.04229200475169204
1046,"Glucose, Whole Blood Quantitative",0.021117981009808714,298976,0.05004810140908834,0.04213721998548857
1494,Monocyte,0.020062844810499997,284038,0.04141248373040575,0.04010942510477298
1945,BNP-B Type Natriuretic Peptide,0.01983370691850927,280794,0.04138984777318771,0.03964564302341284
4,"CK/CPK, Total, Serum",0.019050583672978696,269707,0.06119631033897346,0.037809254812919295
905,"Cholesterol Total, Serum",0.018764443845465,265656,0.028396808330032258,0.037644313190523165
1400,"Blood Gas pH, Arterial",0.018095607008455077,256187,0.05920434610378587,0.03590033806595147
1604,UA Urobilinogen,0.01799325780824097,254738,0.052572010638899894,0.03577688219420138
1130,"Ketones Stix, Urine",0.017809396546572702,252135,0.03902439024390244,0.035575747830724404
1417,Differential Anisocytosis,0.017783473733267954,251768,0.04661875389055515,0.03542725745427412
1402,"Blood Gas PO2, Arterial",0.016733211305398007,236899,0.06372021956878501,0.0330840278143361
1329,Troponin I,0.01537420605203747,217659,0.03278818403033218,0.030722630276701374
1571,UA Color,0.015188861468626969,215035,0.037270103559504275,0.030290606252732336
1587,UA Nitrite,0.014518965116086878,205551,0.027559277912964746,0.029056619752481708
1419,Differential Bands,0.014331784039090755,202901,0.02821572067228793,0.028669228674035298
1474,Granulocyte Percent,0.014329311836187032,202866,0.0353460471959708,0.028574097556174568
1640,"Carbon Dioxide CO2 Total Quantitative, Serum",0.014300634282503853,202460,0.04098240054326297,0.028444776457609
1132,Lactic Acid Blood,0.014035543496856135,198707,0.04896157546262238,0.02780704033216067
1487,Lymphocyte Absolute Count,0.013840310101830743,195943,0.03906966215833852,0.02753666768139859
1581,UA Hyaline Casts,0.013589063652443872,192386,0.03431611114254994,0.02708790630285857
1598,UA Squamous Epithelial Cells,0.013569851104163515,192114,0.028906117367438176,0.02711737549124851
64,"Sedimentation Rate, Erythrocyte",0.013446947302664172,190374,0.0426008714843529,0.02669536526915955
6560,"Calcium Quantitative, Serum",0.013094057996749972,185378,0.04462678965536755,0.025955059201596714
1507,Neutrophil Segmented,0.012949751981541262,183335,0.021594703186010977,0.025953914767096135
1564,UA Bilirubin,0.012692360342079422,179691,0.030683040009054384,0.0253177522390861
1575,UA Epithelial Cells,0.012529830659751844,177390,0.020134683945447342,0.02512191088517431
844,"Bilirubin Direct Quantitative, Serum",0.012362921646566244,175027,0.04350630977307453,0.024488466389103153
1378,Basophils Percent,0.012284305594227872,173914,0.04383453115273612,0.024325098364145325
54,"Iron, Serum",0.0122012395766628,172738,0.037926546318827456,0.02423154084372289
1569,UA Clarity,0.012182380200225832,172471,0.021221209891913305,0.02440449350762308
1340,TSH (Thyroid Stimulating Hormone),0.011978953218433818,169591,0.03462169656499349,0.02382312078132832
1385,Blood Gas Base Excess Calculated,0.011837755115446932,167592,0.03061513213740026,0.02358779643714651
1395,"Blood Gas Oxygen Saturation Percent, Arterial",0.011026307488076566,156104,0.028600531944994623,0.021969852161951214
55,"Iron Binding Capacity, Serum",0.010705909991754144,151568,0.029392790447626053,0.021310943998242148
1513,"pH, Urine",0.010687191884054531,151303,0.02529568219116066,0.021324820266561684
7038,Lymphocytes Percent Blood Automated,0.010633862935702806,150548,0.0289740252390923,0.021170321608983352
1583,UA Ketones,0.010523814589302821,148990,0.02854394205194952,0.020952879053873108
1621,"Bicarbonate HCO3, Arterial",0.01017120782086333,143998,0.03569690453285043,0.02014834159996521
49,Bicarbonate HCO3,0.010081572807011224,142729,0.024548695602965312,0.02010771417519461
7,C-Reactive Protein,0.010032481920780165,142034,0.03888857450059419,0.01982704161392731
7039,"Lymphocytes, Blood Manual",0.009997659177022018,141541,0.021968196480108653,0.019970382035124985
1387,"Blood Gas CO2 Total, Arterial",0.009953442062229726,140915,0.016445022918906683,0.019950640539989975
1379,Basophils Absolute Count Blood,0.009723174020340156,137655,0.02034972553901873,0.019434929743166008
21,D-Dimer,0.009641520690148639,136499,0.022070058287589837,0.01924781470232114
10,Lactic Dehydrogenase (LDH),0.009324796180997462,132015,0.03437270103559504,0.018450859126979587
1401,Blood Gas PO2,0.009081107609059112,128565,0.01736177918623734,0.018172332380400873
1458,Differential Polychromasia,0.008970494187709704,126999,0.02453737762435629,0.01785761289274131
1042,"Glucose, Urine Random",0.008821314401062227,124887,0.01766736460868089,0.017642316152319655
1497,Monocyte Absolute Count,0.00862601037166816,122122,0.027083922811385885,0.017127749789996267
5,Creatine Kinase-MB,0.008394541545511065,118845,0.021583385207401957,0.01672848520360634
