DETAIL_LAB_PROCEDURE_ID,ntk_score_lab,n_patients_with_abnormal,abnormal_rate_patients_pos,abnormal_rate_patients_neg
39,0.2169546641780766,3071517,0.519653669854564,0.43282555728238004
40,0.2147917691747942,3040896,0.493644955011035,0.42877382998738833
52,0.19736019586627898,2794110,0.4111255729726671,0.3945130373978306
41,0.1739142473335879,2462176,0.3773640427819591,0.34745517822278477
42,0.15236942283385935,2157157,0.3178993831701658,0.30457250221448073
3,0.13128887803944986,1858711,0.3193820383679475,0.2618597747295129
38,0.11477385629889753,1624901,0.33004357421764474,0.2282774887444867
1523,0.11426959754090683,1617762,0.3038877256521985,0.22758682252338652
34,0.1043966080246011,1477986,0.26069831928017656,0.20813715818602554
13,0.10435034251311716,1477331,0.22435628996661197,0.20850280500896093
1489,0.09749725479526133,1380309,0.23360307849018166,0.1945065141211773
47,0.09329020116244394,1320748,0.2664365344349499,0.18557105564927204
28,0.0921667615286238,1304843,0.27593231848791805,0.18317575423955762
9,0.08992842901959355,1273154,0.26118499236036447,0.17882890589772876
24,0.08771481853960052,1241815,0.26130949012506366,0.17434415319858
1488,0.08328109921769611,1179045,0.18496972440722087,0.16632953533670408
62,0.08285058274060503,1172950,0.25164393639296023,0.16461488634620974
59,0.07972988569805192,1128769,0.2091449267160885,0.1588317727061527
1490,0.07862445782824462,1113119,0.20419897006394658,0.15665548744898683
1503,0.07721268870148178,1093132,0.13485371512647842,0.15467275467673158
8,0.07169451991726737,1015009,0.2058174410050365,0.1425999720757982
1491,0.07141572606409617,1011062,0.18134797125233434,0.14234462012785623
1565,0.07110140312348004,1006612,0.1445305868371909,0.1421733841157069
1492,0.06966208659293287,986235,0.1547280855639183,0.13912947445278864
1373,0.06431287521859572,910504,0.17670760002263597,0.12801801683234262
1562,0.059681874104974254,844941,0.12405636353347292,0.11930443559923735
1496,0.057374531817745815,812275,0.0987267274064852,0.11495157897628044
1506,0.05646257148374696,799364,0.13331447003565164,0.11266743076743489
1485,0.05641962578759087,798756,0.11571501329862487,0.11280290320144107
2,0.05598246967984407,792567,0.1266368626563296,0.11177949264929721
35,0.05591112896747951,791557,0.1508573368796333,0.11132887156469373
29,0.05472256444573847,774730,0.1672684058627129,0.10871426789380563
1482,0.05454767374889228,772254,0.10900345198347575,0.10909650901699942
1592,0.05413566347639477,766421,0.1041027672457699,0.10832401572910777
1480,0.053882933705265666,762843,0.09487861467941826,0.10792875666346988
1502,0.052254882141611454,739794,0.10372927395167224,0.10451962934055395
1607,0.05072465917857597,718130,0.10160149397317639,0.10144739492374633
