DETAIL_LAB_PROCEDURE_ID,n_valid_patients,abnormal_rate_patients,abnormal_rate_patients_pos,abnormal_rate_patients_neg,delta_abnormal_pat,rr_abnormal_pat,lab_score_pat,n_patients_with_lab,n_encounters_with_lab,LAB_PROCEDURE_NAME,LAB_PROCEDURE_GROUP,LAB_SUPER_GROUP,LOINC_CODE
7761,844.0,0.1208530805687203,0.4285714285714285,0.1156626506024096,0.3129087779690189,3.7053571428571432,2.1087975883881827,844.0,877.0,Prolactin Serum or Plasma Quantitative,General Test,General Test,2842-3
3494,448.0,0.15625,0.5,0.1547085201793722,0.3452914798206278,3.231884057971014,2.108702970206967,493.0,498.0,Cat dander Antibody IgE RAST,Allergy Test,Allergy Test,15609-1
1551,273.0,0.3736263736263736,0.0,0.375,-0.375,0.0,2.1049230398955263,294.0,326.0,Semen Sperm Count,General Test,General Test,9780-8
1768,303.0,0.3663366336633663,0.0,0.3675496688741722,-0.3675496688741722,0.0,2.1012916385963267,314.0,316.0,"Glucose, Urine 3 hr","Glucose Test, Urine",General Test,26540-5
7800,195.0,0.3948717948717948,0.0,0.3969072164948453,-0.3969072164948453,0.0,2.0949217977358234,195.0,198.0,Pyruvate Quantitative Blood,General Test,General Test,14121-8
2155,698.0,0.2550143266475644,0.5714285714285714,0.2518089725036179,0.3196195989249535,2.269293924466339,2.0933967433312946,869.0,935.0,Streptococcus pneumoniae Antibody Type 3,Strep pneumo Test,Pathogen Specific Test,31640-6
1444,167473.0,0.2522973852501597,0.0812693498452012,0.2549775909854508,-0.1737082411402496,0.31873134235486,2.089464064835826,181270.0,214529.0,Differential White Blood Cell Morphology Blood,"Diff, CBC",General Test,11156-7
611,138.0,0.5797101449275363,1.0,0.5766423357664233,0.4233576642335767,1.7341772151898736,2.08904735855168,171.0,177.0,Haemophilus influenzae B Antibody,Haemophilus influenzae B Test,Pathogen Specific Test,13246-4
906,147.0,0.4149659863945578,0.0,0.4178082191780822,-0.4178082191780822,0.0,2.08787636095624,215.0,219.0,"Citric Acid, Urine","General Test, Urine",General Test,2128-7
2188,166.0,0.6024096385542169,1.0,0.5925925925925926,0.4074074074074074,1.6875,2.0851085902438635,178.0,179.0,Carotene Quantitative Serum,General Test,General Test,2053-7
