ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio
D39,2745,11,3221,8e-05,0.000277,-0.000197,0.28994
H47,5679,53,6808,0.000387,0.000585,-0.000198,0.660941
Q39,4776,33,5109,0.000241,0.000439,-0.000198,0.548383
C02,4440,50,6560,0.000365,0.000564,-0.000199,0.647102
Z40,2735,5,2781,3.6e-05,0.000239,-0.000203,0.152642
Q82,4591,36,5437,0.000263,0.000467,-0.000205,0.562146
D26,2805,6,2908,4.4e-05,0.00025,-0.000206,0.175171
K11,17450,206,19913,0.001504,0.001712,-0.000208,0.878289
O16,13886,154,15491,0.001124,0.001332,-0.000208,0.844011
E06,15538,185,18122,0.00135,0.001558,-0.000208,0.866707
Q28,4583,43,6065,0.000314,0.000521,-0.000208,0.601927
E30,1926,2,2605,1.5e-05,0.000224,-0.000209,0.065182
C51,2453,19,4048,0.000139,0.000348,-0.000209,0.398491
J38,25405,334,30798,0.002438,0.002648,-0.00021,0.920727
M92,2979,15,3729,0.000109,0.000321,-0.000211,0.341511
Q10,2162,2,2620,1.5e-05,0.000225,-0.000211,0.064809
C69,1834,7,3063,5.1e-05,0.000263,-0.000212,0.194024
N22,5407,39,5829,0.000285,0.000501,-0.000216,0.568037
F89,6398,54,7108,0.000394,0.000611,-0.000217,0.64499
R30,133274,1654,142960,0.012072,0.01229,-0.000218,0.982264
Z36,14246,173,17242,0.001263,0.001482,-0.00022,0.851854
O92,3499,15,3850,0.000109,0.000331,-0.000222,0.330778
Q83,2706,3,2836,2.2e-05,0.000244,-0.000222,0.089809
R01,44033,519,46677,0.003788,0.004013,-0.000225,0.943999
D07,3226,18,4142,0.000131,0.000356,-0.000225,0.368951
N61,16969,210,20464,0.001533,0.001759,-0.000227,0.871236
H27,3436,21,4421,0.000153,0.00038,-0.000227,0.403278
W00,6264,48,6723,0.00035,0.000578,-0.000228,0.606156
L70,3713,22,4541,0.000161,0.00039,-0.00023,0.411317
S13,14253,140,14572,0.001022,0.001253,-0.000231,0.815672
W50,5552,37,5829,0.00027,0.000501,-0.000231,0.538907
T25,7496,80,9552,0.000584,0.000821,-0.000237,0.711053
D51,14731,165,16773,0.001204,0.001442,-0.000238,0.83518
D11,3562,17,4213,0.000124,0.000362,-0.000238,0.342581
H18,6065,52,7222,0.00038,0.000621,-0.000241,0.611297
D30,3659,13,3947,9.5e-05,0.000339,-0.000244,0.279629
V28,7038,52,7261,0.00038,0.000624,-0.000245,0.608014
Q22,4082,33,5685,0.000241,0.000489,-0.000248,0.492822
S56,8280,66,8547,0.000482,0.000735,-0.000253,0.655597
S60,88490,1028,90239,0.007503,0.007758,-0.000255,0.967177
D41,4818,26,5218,0.00019,0.000449,-0.000259,0.423034
L20,7258,64,8466,0.000467,0.000728,-0.000261,0.641813
L71,5103,30,5597,0.000219,0.000481,-0.000262,0.455064
N26,9362,80,9848,0.000584,0.000847,-0.000263,0.689681
F72,2633,2,3233,1.5e-05,0.000278,-0.000263,0.052521
N71,5581,32,5799,0.000234,0.000499,-0.000265,0.468493
Q20,3287,25,5216,0.000182,0.000448,-0.000266,0.40692
K38,5432,29,5581,0.000212,0.00048,-0.000268,0.441156
V18,5263,30,5676,0.000219,0.000488,-0.000269,0.44873
Q27,8232,75,9503,0.000547,0.000817,-0.00027,0.67005
V43,19169,192,19469,0.001401,0.001674,-0.000272,0.837268
C7A,6199,63,8533,0.00046,0.000734,-0.000274,0.626824
O73,5551,29,5672,0.000212,0.000488,-0.000276,0.434078
C82,4937,50,7467,0.000365,0.000642,-0.000277,0.5685
Q18,3235,10,4090,7.3e-05,0.000352,-0.000279,0.207579
H73,3567,7,3846,5.1e-05,0.000331,-0.00028,0.154523
Q35,3363,13,4512,9.5e-05,0.000388,-0.000293,0.244613
M25,982140,13847,1179037,0.101068,0.101363,-0.000295,0.997092
M89,18648,199,20327,0.001452,0.001748,-0.000295,0.831164
B07,7876,67,9114,0.000489,0.000784,-0.000295,0.624126
T21,11471,124,13964,0.000905,0.0012,-0.000295,0.753908
I31,38123,458,42342,0.003343,0.00364,-0.000297,0.918335
R58,12985,115,13244,0.000839,0.001139,-0.000299,0.7372
M76,21427,236,23553,0.001723,0.002025,-0.000302,0.850693
M18,10489,94,11508,0.000686,0.000989,-0.000303,0.693481
O10,20588,261,25690,0.001905,0.002209,-0.000304,0.862548
D14,3893,16,4904,0.000117,0.000422,-0.000305,0.276997
Z67,6995,46,7458,0.000336,0.000641,-0.000305,0.523651
X18,9140,77,10104,0.000562,0.000869,-0.000307,0.647
E65,6882,45,7386,0.000328,0.000635,-0.000307,0.517261
L94,7339,50,7884,0.000365,0.000678,-0.000313,0.538431
O11,6817,44,7403,0.000321,0.000636,-0.000315,0.504605
T24,10683,115,13446,0.000839,0.001156,-0.000317,0.726125
J00,10681,86,10992,0.000628,0.000945,-0.000317,0.664245
T16,5359,26,5901,0.00019,0.000507,-0.000318,0.374071
N75,6739,54,8295,0.000394,0.000713,-0.000319,0.552693
K23,10080,77,10253,0.000562,0.000881,-0.000319,0.637597
G51,15071,158,17124,0.001153,0.001472,-0.000319,0.783355
W03,5269,21,5530,0.000153,0.000475,-0.000322,0.322404
B27,5657,31,6403,0.000226,0.00055,-0.000324,0.41104
M95,5481,29,6271,0.000212,0.000539,-0.000327,0.392616
T22,14028,154,16875,0.001124,0.001451,-0.000327,0.774789
I69,105265,1495,130736,0.010912,0.011239,-0.000328,0.970852
C24,3618,14,5014,0.000102,0.000431,-0.000329,0.237055
H74,5357,21,5609,0.000153,0.000482,-0.000329,0.317863
C62,4850,61,9029,0.000445,0.000776,-0.000331,0.573584
C55,6470,54,8470,0.000394,0.000728,-0.000334,0.541274
N48,22067,243,24520,0.001774,0.002108,-0.000334,0.841381
Z42,4931,15,5230,0.000109,0.00045,-0.00034,0.243498
F88,7005,51,8312,0.000372,0.000715,-0.000342,0.52092
T63,14999,138,15733,0.001007,0.001353,-0.000345,0.744688
D37,7250,47,8007,0.000343,0.000688,-0.000345,0.49835
N65,4453,11,4948,8e-05,0.000425,-0.000345,0.188742
O63,4792,9,4815,6.6e-05,0.000414,-0.000348,0.158691
Z15,4279,18,5583,0.000131,0.00048,-0.000349,0.273723
B08,5129,17,5531,0.000124,0.000476,-0.000351,0.260946
Q89,9464,88,11558,0.000642,0.000994,-0.000351,0.646408
I07,68179,805,72441,0.005876,0.006228,-0.000352,0.943449
S39,83794,961,85752,0.007014,0.007372,-0.000358,0.95145
Z43,38163,469,43986,0.003423,0.003782,-0.000358,0.905243
D34,4454,7,4774,5.1e-05,0.00041,-0.000359,0.124486
L60,14926,159,17676,0.001161,0.00152,-0.000359,0.763695
Q62,6259,43,7822,0.000314,0.000672,-0.000359,0.466721
K00,4984,20,5899,0.000146,0.000507,-0.000361,0.287844
G81,48571,562,51942,0.004102,0.004465,-0.000364,0.918596
H21,4517,12,5253,8.8e-05,0.000452,-0.000364,0.193946
M71,28685,305,30180,0.002226,0.002595,-0.000368,0.858
Q23,9553,97,12511,0.000708,0.001076,-0.000368,0.658243
H71,4353,19,5922,0.000139,0.000509,-0.00037,0.27239
N42,6141,26,6520,0.00019,0.000561,-0.000371,0.338557
N44,4206,6,4853,4.4e-05,0.000417,-0.000373,0.104966
T32,15939,151,17168,0.001102,0.001476,-0.000374,0.746731
W29,8187,48,8434,0.00035,0.000725,-0.000375,0.483186
C19,9129,81,11322,0.000591,0.000973,-0.000382,0.607391
G45,25226,273,27623,0.001993,0.002375,-0.000382,0.839071
M93,4732,21,6278,0.000153,0.00054,-0.000386,0.283991
T78,42778,485,45682,0.00354,0.003927,-0.000387,0.901371
Z98,801686,11082,945402,0.080886,0.081277,-0.00039,0.995196
Q67,5678,39,7946,0.000285,0.000683,-0.000398,0.416699
Q24,13834,134,16038,0.000978,0.001379,-0.000401,0.709351
S50,37282,389,37721,0.002839,0.003243,-0.000404,0.875535
N41,14498,129,15739,0.000942,0.001353,-0.000412,0.695856
R54,9096,56,9550,0.000409,0.000821,-0.000412,0.497842
Z31,5963,30,7352,0.000219,0.000632,-0.000413,0.346435
R90,48675,560,52350,0.004087,0.004501,-0.000413,0.908193
H93,14525,130,15905,0.000949,0.001367,-0.000419,0.693931
D13,8393,51,9309,0.000372,0.0008,-0.000428,0.465129
M21,45759,548,51527,0.004,0.00443,-0.00043,0.902927
E28,21615,232,24714,0.001693,0.002125,-0.000431,0.796988
Q37,3369,6,5552,4.4e-05,0.000477,-0.000434,0.09175
D18,16127,153,18136,0.001117,0.001559,-0.000442,0.716237
Q61,28372,320,32308,0.002336,0.002778,-0.000442,0.840905
Q38,5247,10,6001,7.3e-05,0.000516,-0.000443,0.141476
S67,9051,53,9653,0.000387,0.00083,-0.000443,0.466144
R33,150819,1966,172156,0.01435,0.0148,-0.000451,0.969546
T15,10384,66,10858,0.000482,0.000933,-0.000452,0.516061
I13,89305,1215,108472,0.008868,0.009325,-0.000457,0.950967
Q43,14866,127,16114,0.000927,0.001385,-0.000458,0.669125
D35,18416,193,21786,0.001409,0.001873,-0.000464,0.752119
R80,24756,276,28834,0.002014,0.002479,-0.000464,0.812664
N90,8441,47,9388,0.000343,0.000807,-0.000464,0.425041
V86,22617,219,24013,0.001598,0.002064,-0.000466,0.774292
Z52,3604,6,5945,4.4e-05,0.000511,-0.000467,0.085685
D36,9096,52,9880,0.00038,0.000849,-0.00047,0.446841
J05,7010,28,7877,0.000204,0.000677,-0.000473,0.301789
V80,6740,21,7336,0.000153,0.000631,-0.000477,0.243034
Z41,9038,50,9832,0.000365,0.000845,-0.00048,0.431752
N28,126135,1538,136305,0.011226,0.011718,-0.000493,0.957969
G97,13904,105,14721,0.000766,0.001266,-0.000499,0.605562
B97,71753,796,73511,0.00581,0.00632,-0.00051,0.919322
V87,24647,222,24850,0.00162,0.002136,-0.000516,0.758461
N76,51730,585,55698,0.00427,0.004788,-0.000519,0.891709
W54,19316,180,21330,0.001314,0.001834,-0.00052,0.716454
N70,10166,58,11008,0.000423,0.000946,-0.000523,0.447328
I72,19487,190,22212,0.001387,0.00191,-0.000523,0.726228
I52,30272,297,31391,0.002168,0.002699,-0.000531,0.803264
L82,8909,39,9507,0.000285,0.000817,-0.000533,0.348279
S76,23992,222,25115,0.00162,0.002159,-0.000539,0.750458
Z64,11008,61,11471,0.000445,0.000986,-0.000541,0.451477
S01,106416,1249,112383,0.009116,0.009662,-0.000545,0.943559
W60,32184,312,32844,0.002277,0.002824,-0.000546,0.806502
Q25,16005,154,19436,0.001124,0.001671,-0.000547,0.672699
C85,17289,212,24367,0.001547,0.002095,-0.000547,0.738653
I45,91692,1108,100430,0.008087,0.008634,-0.000547,0.936663
W19,294292,3616,313370,0.026393,0.026941,-0.000548,0.979666
C43,5737,30,8950,0.000219,0.000769,-0.00055,0.28458
W11,20323,175,21311,0.001277,0.001832,-0.000555,0.697174
O65,9152,32,9177,0.000234,0.000789,-0.000555,0.296044
D32,9847,72,12692,0.000526,0.001091,-0.000566,0.481625
Z38,22734,189,22666,0.001379,0.001949,-0.000569,0.707936
O60,70333,853,79098,0.006226,0.0068,-0.000574,0.915568
S23,30950,295,31762,0.002153,0.002731,-0.000577,0.788535
I36,30750,317,33629,0.002314,0.002891,-0.000577,0.800299
G31,31328,329,34685,0.002401,0.002982,-0.000581,0.805306
W31,10035,43,10431,0.000314,0.000897,-0.000583,0.349985
D21,8100,23,8743,0.000168,0.000752,-0.000584,0.223344
H52,16395,143,18930,0.001044,0.001627,-0.000584,0.641346
M66,8797,33,9611,0.000241,0.000826,-0.000585,0.291509
I11,133686,1754,155714,0.012802,0.013387,-0.000585,0.956333
J11,38670,384,39563,0.002803,0.003401,-0.000598,0.824041
I61,25522,247,27971,0.001803,0.002405,-0.000602,0.749714
S05,34007,339,35814,0.002474,0.003079,-0.000605,0.803626
Q55,7395,10,7950,7.3e-05,0.000683,-0.00061,0.106792
Q66,7653,38,10359,0.000277,0.000891,-0.000613,0.311439
N52,25344,259,29122,0.00189,0.002504,-0.000613,0.755067
D16,8154,32,9889,0.000234,0.00085,-0.000617,0.274729
O86,12388,68,13072,0.000496,0.001124,-0.000627,0.441645
S68,8957,40,10705,0.000292,0.00092,-0.000628,0.317234
V49,29883,276,30759,0.002014,0.002644,-0.00063,0.761805
Z08,7972,25,9453,0.000182,0.000813,-0.00063,0.224531
I83,32096,400,41394,0.00292,0.003559,-0.000639,0.820407
J36,10500,55,12197,0.000401,0.001049,-0.000647,0.382839
K01,11162,52,12020,0.00038,0.001033,-0.000654,0.367287
Q21,35922,456,46373,0.003328,0.003987,-0.000658,0.834846
K77,30920,301,33255,0.002197,0.002859,-0.000662,0.768452
L91,8588,31,10390,0.000226,0.000893,-0.000667,0.25331
F01,13858,98,16235,0.000715,0.001396,-0.00068,0.512484
Q54,7367,22,9824,0.000161,0.000845,-0.000684,0.190126
R49,18645,163,21815,0.00119,0.001875,-0.000686,0.634365
N36,11397,53,12538,0.000387,0.001078,-0.000691,0.358884
D22,7189,8,8734,5.8e-05,0.000751,-0.000692,0.077765
I62,30289,316,34890,0.002306,0.003,-0.000693,0.768941
C16,11865,130,19107,0.000949,0.001643,-0.000694,0.577641
L57,10592,48,12172,0.00035,0.001046,-0.000696,0.3348
I88,15130,91,15842,0.000664,0.001362,-0.000698,0.487684
H04,14268,104,17108,0.000759,0.001471,-0.000712,0.516108
O61,10414,25,10470,0.000182,0.0009,-0.000718,0.202722
K61,19811,175,23424,0.001277,0.002014,-0.000736,0.634284
E01,12762,64,14020,0.000467,0.001205,-0.000738,0.38756
H10,37860,364,39493,0.002657,0.003395,-0.000738,0.782507
C15,13285,174,23446,0.00127,0.002016,-0.000746,0.630068
V19,20933,158,22091,0.001153,0.001899,-0.000746,0.607223
C92,16760,260,30826,0.001898,0.00265,-0.000752,0.716083
D06,9874,40,12157,0.000292,0.001045,-0.000753,0.279345
T86,33208,401,42876,0.002927,0.003686,-0.000759,0.79403
S53,10801,39,12190,0.000285,0.001048,-0.000763,0.271624
D46,14775,165,23217,0.001204,0.001996,-0.000792,0.603371
Q90,8674,61,14452,0.000445,0.001242,-0.000797,0.358351
W20,24809,191,25496,0.001394,0.002192,-0.000798,0.636016
T23,21272,188,25269,0.001372,0.002172,-0.0008,0.63165
O30,15860,184,24922,0.001343,0.002143,-0.0008,0.626819
E11,721839,12936,1107594,0.094419,0.095221,-0.000802,0.991577
H60,32398,313,35907,0.002285,0.003087,-0.000802,0.740069
C83,10800,106,18382,0.000774,0.00158,-0.000807,0.489576
K22,132600,1690,153069,0.012335,0.013159,-0.000824,0.93736
O00,11584,52,14013,0.00038,0.001205,-0.000825,0.31505
H57,46508,459,48567,0.00335,0.004175,-0.000825,0.802377
S80,88874,959,91028,0.007,0.007826,-0.000826,0.894439
I51,134932,1595,145021,0.011642,0.012468,-0.000826,0.933763
N21,14510,77,16560,0.000562,0.001424,-0.000862,0.394764
H81,23351,181,25455,0.001321,0.002188,-0.000867,0.603688
G20,20528,238,30298,0.001737,0.002605,-0.000868,0.666914
W22,44413,419,45741,0.003058,0.003932,-0.000874,0.777706
E55,133334,1703,154780,0.01243,0.013307,-0.000877,0.934129
R39,51089,524,54694,0.003825,0.004702,-0.000877,0.81339
N88,12689,36,13285,0.000263,0.001142,-0.000879,0.230063
R12,29428,241,30698,0.001759,0.002639,-0.00088,0.666521
J31,17621,99,18782,0.000723,0.001615,-0.000892,0.447507
C49,11209,88,18191,0.000642,0.001564,-0.000922,0.410708
C20,18057,223,29719,0.001628,0.002555,-0.000927,0.637056
J33,11112,30,13405,0.000219,0.001152,-0.000933,0.190003
Q53,9934,21,12951,0.000153,0.001113,-0.00096,0.137665
I37,17237,83,18308,0.000606,0.001574,-0.000968,0.384897
N62,15868,85,18593,0.00062,0.001598,-0.000978,0.388129
D03,9822,38,14662,0.000277,0.001261,-0.000983,0.220038
J01,53201,520,55593,0.003795,0.004779,-0.000984,0.794127
L90,18200,104,20362,0.000759,0.001751,-0.000991,0.43363
Y83,229077,2761,246104,0.020152,0.021158,-0.001005,0.952478
F79,13526,61,16961,0.000445,0.001458,-0.001013,0.305341
W17,46452,431,48411,0.003146,0.004162,-0.001016,0.755858
S92,75955,934,91136,0.006817,0.007835,-0.001018,0.87009
S66,40902,367,43056,0.002679,0.003702,-0.001023,0.723668
H02,18755,114,21689,0.000832,0.001865,-0.001033,0.446244
H43,15934,87,19471,0.000635,0.001674,-0.001039,0.379348
N97,10283,18,13693,0.000131,0.001177,-0.001046,0.111604
N87,17319,93,20074,0.000679,0.001726,-0.001047,0.393329
N43,23929,189,28301,0.001379,0.002433,-0.001054,0.566979
F80,13093,42,15954,0.000307,0.001372,-0.001065,0.223505
R59,91224,1046,101313,0.007635,0.00871,-0.001075,0.876544
C25,25575,375,44342,0.002737,0.003812,-0.001075,0.717998
Z77,22284,167,26724,0.001219,0.002297,-0.001079,0.530545
O20,33567,303,38315,0.002212,0.003294,-0.001082,0.671399
R87,20739,137,24372,0.001,0.002095,-0.001095,0.477239
D62,284736,3354,297507,0.024481,0.025577,-0.001096,0.957134
X50,22298,124,23282,0.000905,0.002002,-0.001097,0.452177
E07,49959,490,54492,0.003576,0.004685,-0.001108,0.763432
F06,40055,391,46222,0.002854,0.003974,-0.00112,0.718183
O72,25740,155,26320,0.001131,0.002263,-0.001131,0.49998
N29,89129,970,95564,0.00708,0.008216,-0.001136,0.861756
C86,24727,295,38290,0.002153,0.003292,-0.001139,0.654099
C80,38224,363,44112,0.002649,0.003792,-0.001143,0.698645
L05,15871,90,21172,0.000657,0.00182,-0.001163,0.3609
D27,16405,47,17572,0.000343,0.001511,-0.001168,0.227082
H72,13990,46,17511,0.000336,0.001505,-0.00117,0.223025
H33,13259,39,16940,0.000285,0.001456,-0.001172,0.19546
S63,24445,150,26477,0.001095,0.002276,-0.001181,0.480983
I67,99526,1172,113354,0.008554,0.009745,-0.001191,0.877804
S93,39665,336,42556,0.002452,0.003659,-0.001206,0.670325
W09,11387,5,14461,3.6e-05,0.001243,-0.001207,0.029355
H61,25331,158,27496,0.001153,0.002364,-0.001211,0.487859
M77,33015,256,35863,0.001869,0.003083,-0.001215,0.606039
C90,23178,361,44788,0.002635,0.00385,-0.001216,0.684309
D48,20251,107,23329,0.000781,0.002006,-0.001225,0.389399
O77,26961,150,27037,0.001095,0.002324,-0.00123,0.47102
K82,47610,426,50739,0.003109,0.004362,-0.001253,0.712811
W01,84810,874,88811,0.006379,0.007635,-0.001256,0.83551
V00,20264,90,22431,0.000657,0.001928,-0.001272,0.340644
C56,18741,216,33179,0.001577,0.002852,-0.001276,0.55271
W23,26033,145,27209,0.001058,0.002339,-0.001281,0.452441
O41,34169,246,36077,0.001796,0.003102,-0.001306,0.578911
O90,29750,184,31106,0.001343,0.002674,-0.001331,0.502204
E21,27075,225,34660,0.001642,0.00298,-0.001337,0.551139
H50,15167,42,19125,0.000307,0.001644,-0.001338,0.186447
D23,18748,60,20927,0.000438,0.001799,-0.001361,0.243417
K60,23406,150,28798,0.001095,0.002476,-0.001381,0.442217
N35,22453,124,26739,0.000905,0.002299,-0.001394,0.393716
C73,13995,71,22262,0.000518,0.001914,-0.001396,0.27077
Z17,19179,89,23815,0.00065,0.002047,-0.001398,0.317283
N89,84739,887,91594,0.006474,0.007874,-0.0014,0.822174
M85,39042,310,42653,0.002263,0.003667,-0.001404,0.617048
O64,32931,196,32973,0.001431,0.002835,-0.001404,0.504667
G91,24050,176,31298,0.001285,0.002691,-0.001406,0.477423
G21,28803,279,40276,0.002036,0.003463,-0.001426,0.588118
O32,35991,249,38030,0.001817,0.003269,-0.001452,0.555879
F84,16080,62,22591,0.000453,0.001942,-0.00149,0.233004
D24,17364,27,19656,0.000197,0.00169,-0.001493,0.116621
C71,14146,81,24293,0.000591,0.002088,-0.001497,0.283081
O66,24595,85,24654,0.00062,0.00212,-0.001499,0.292711
D05,15004,30,20015,0.000219,0.001721,-0.001502,0.127254
K37,22475,66,23318,0.000482,0.002005,-0.001523,0.240303
K43,81812,926,96364,0.006759,0.008284,-0.001526,0.815837
C64,25140,235,37838,0.001715,0.003253,-0.001538,0.527286
L72,31552,201,35098,0.001467,0.003017,-0.00155,0.486206
N72,28335,125,28699,0.000912,0.002467,-0.001555,0.369786
S99,108682,1104,111976,0.008058,0.009627,-0.001569,0.83705
S61,109761,1174,118025,0.008569,0.010147,-0.001578,0.844503
O03,28412,169,32715,0.001234,0.002813,-0.001579,0.438578
I63,123361,1435,140383,0.010474,0.012069,-0.001595,0.86785
S33,131886,1399,137406,0.010211,0.011813,-0.001602,0.864409
S89,57706,561,66337,0.004095,0.005703,-0.001608,0.717983
S49,49541,402,52851,0.002934,0.004544,-0.001609,0.645773
R62,83109,894,94634,0.006525,0.008136,-0.001611,0.802042
R22,103296,1133,114989,0.00827,0.009886,-0.001616,0.836528
Z92,115975,1311,130215,0.009569,0.011195,-0.001626,0.854769
C44,23535,135,30407,0.000985,0.002614,-0.001629,0.376936
I77,58483,521,63618,0.003803,0.005469,-0.001667,0.695288
C77,42190,338,48167,0.002467,0.004141,-0.001674,0.595764
T82,115864,1345,134202,0.009817,0.011537,-0.00172,0.850884
M16,90619,1035,107920,0.007554,0.009278,-0.001724,0.814227
O36,88671,930,99348,0.006788,0.008541,-0.001753,0.794751
M81,180987,2312,216758,0.016875,0.018635,-0.00176,0.905565
M65,60093,556,67803,0.004058,0.005829,-0.001771,0.696198
G80,23067,190,36801,0.001387,0.003164,-0.001777,0.43833
M24,44946,333,49085,0.002431,0.00422,-0.001789,0.575973
C91,24574,303,46558,0.002212,0.004003,-0.001791,0.552529
W51,65458,544,67025,0.003971,0.005762,-0.001792,0.689079
O71,36045,176,36222,0.001285,0.003114,-0.001829,0.412522
S86,54577,427,57532,0.003117,0.004946,-0.001829,0.630123
Z82,352425,4212,378887,0.030743,0.032573,-0.00183,0.943813
R35,73337,677,79074,0.004941,0.006798,-0.001857,0.726879
O75,36437,175,36626,0.001277,0.003149,-0.001871,0.405654
W21,23287,37,24912,0.00027,0.002142,-0.001872,0.126096
I21,79345,763,87276,0.005569,0.007503,-0.001934,0.742227
D49,38683,233,42592,0.001701,0.003662,-0.001961,0.464446
Z96,299325,4203,379707,0.030677,0.032644,-0.001966,0.939762
E13,1016880,16844,1452947,0.122943,0.124911,-0.001968,0.984243
N80,57389,474,63287,0.00346,0.005441,-0.001981,0.635874
M22,30863,116,33165,0.000847,0.002851,-0.002005,0.296951
O82,42228,229,42913,0.001671,0.003689,-0.002018,0.453058
G56,75074,839,95070,0.006124,0.008173,-0.002049,0.749248
N32,56461,458,62769,0.003343,0.005396,-0.002053,0.61948
S16,125318,1231,128646,0.008985,0.01106,-0.002075,0.812398
S96,80214,707,84301,0.00516,0.007247,-0.002087,0.712022
O14,36099,180,39574,0.001314,0.003402,-0.002088,0.386162
S46,63734,502,67136,0.003664,0.005772,-0.002108,0.634827
I47,116717,1326,137196,0.009678,0.011795,-0.002116,0.820558
J91,112199,1242,130214,0.009065,0.011195,-0.002129,0.809787
O13,37935,221,43694,0.001613,0.003756,-0.002143,0.429415
C79,108868,1493,152182,0.010897,0.013083,-0.002186,0.832921
N23,47845,290,50306,0.002117,0.004325,-0.002208,0.489424
R97,28902,117,35628,0.000854,0.003063,-0.002209,0.278806
C54,18917,71,31802,0.000518,0.002734,-0.002216,0.189544
O42,53035,335,54310,0.002445,0.004669,-0.002224,0.523687
S69,75927,617,78799,0.004503,0.006774,-0.002271,0.66477
S59,40263,232,46236,0.001693,0.003975,-0.002282,0.426005
R93,100589,925,105590,0.006751,0.009078,-0.002326,0.743748
N73,56773,372,58789,0.002715,0.005054,-0.002339,0.537222
O02,31063,111,36773,0.00081,0.003161,-0.002351,0.256272
O24,32734,238,47697,0.001737,0.004101,-0.002363,0.423636
I20,55762,389,60610,0.002839,0.005211,-0.002371,0.544894
I08,59469,424,64252,0.003095,0.005524,-0.002429,0.560256
H35,48532,352,58765,0.002569,0.005052,-0.002483,0.508547
Z13,107618,1012,115333,0.007386,0.009915,-0.002529,0.744962
M20,44234,279,53494,0.002036,0.004599,-0.002563,0.442798
H69,28214,42,33538,0.000307,0.002883,-0.002577,0.106321
V85,91843,748,93884,0.00546,0.008071,-0.002612,0.676421
H91,72364,565,80475,0.004124,0.006918,-0.002795,0.596066
M67,42284,164,46607,0.001197,0.004007,-0.00281,0.298744
Z94,68884,1038,121210,0.007576,0.010421,-0.002844,0.727053
J03,43474,159,46950,0.001161,0.004036,-0.002876,0.28752
N81,41163,167,48046,0.001219,0.004131,-0.002912,0.295098
O9A,181310,2053,208236,0.014985,0.017902,-0.002918,0.837028
N47,32833,60,39147,0.000438,0.003365,-0.002928,0.130125
N85,41297,122,44708,0.00089,0.003844,-0.002953,0.231676
I22,105627,899,110737,0.006562,0.00952,-0.002958,0.689246
D17,45029,175,49526,0.001277,0.004258,-0.00298,0.299993
J06,155193,1519,164161,0.011087,0.014113,-0.003026,0.785588
I73,244525,3314,316830,0.024189,0.027238,-0.00305,0.888042
W18,290863,3174,305082,0.023167,0.026228,-0.003061,0.883278
R31,170561,1864,194092,0.013605,0.016686,-0.003081,0.815352
C67,38796,278,60453,0.002029,0.005197,-0.003168,0.390422
S82,95046,1059,126868,0.00773,0.010907,-0.003177,0.708681
N64,55874,293,62142,0.002139,0.005342,-0.003204,0.400304
H92,78608,567,85566,0.004138,0.007356,-0.003218,0.562586
I42,204106,2645,262124,0.019306,0.022535,-0.003229,0.856694
N63,55707,328,65477,0.002394,0.005629,-0.003235,0.425297
M94,124332,1097,131428,0.008007,0.011299,-0.003292,0.70864
K81,87835,652,93697,0.004759,0.008055,-0.003296,0.590784
N60,41627,108,47562,0.000788,0.004089,-0.003301,0.192784
R13,213878,2457,247096,0.017933,0.021243,-0.00331,0.844202
H90,37517,132,49916,0.000963,0.004291,-0.003328,0.224513
X58,154904,1487,167106,0.010853,0.014366,-0.003513,0.755485
O47,69449,459,80616,0.00335,0.006931,-0.00358,0.483391
A02,39647,110,51362,0.000803,0.004416,-0.003613,0.181827
J30,92523,709,102694,0.005175,0.008829,-0.003654,0.586149
N95,56613,276,66171,0.002014,0.005689,-0.003674,0.354118
O62,66336,283,67695,0.002066,0.00582,-0.003754,0.354925
S72,105895,1002,128792,0.007313,0.011072,-0.003759,0.66052
N94,79577,476,86266,0.003474,0.007416,-0.003942,0.468462
I50,708128,11503,1022486,0.083959,0.087904,-0.003945,0.955126
N84,45604,43,49753,0.000314,0.004277,-0.003963,0.073376
E04,65641,415,81395,0.003029,0.006998,-0.003969,0.43287
K42,80540,554,93847,0.004044,0.008068,-0.004024,0.501183
C18,57368,516,91428,0.003766,0.00786,-0.004094,0.479157
C78,104170,1060,137835,0.007737,0.01185,-0.004113,0.65291
I71,81600,689,106894,0.005029,0.00919,-0.004161,0.547234
M23,63854,244,69451,0.001781,0.005971,-0.00419,0.298276
H65,46952,71,55027,0.000518,0.004731,-0.004212,0.109544
N99,108964,740,112211,0.005401,0.009647,-0.004246,0.559891
H40,84841,666,105982,0.004861,0.009111,-0.00425,0.533518
H26,61380,285,75401,0.00208,0.006482,-0.004402,0.320904
J32,125809,1059,141883,0.00773,0.012198,-0.004468,0.633684
R05,376330,4286,416934,0.031283,0.035844,-0.004561,0.872754
Z80,228597,2289,247402,0.016707,0.021269,-0.004562,0.785506
J34,63572,223,72232,0.001628,0.00621,-0.004582,0.262109
O76,103773,591,104350,0.004314,0.008971,-0.004657,0.480842
F02,62036,265,77092,0.001934,0.006628,-0.004693,0.291839
S43,82305,461,94388,0.003365,0.008115,-0.00475,0.414659
Z48,125627,1093,149294,0.007978,0.012835,-0.004857,0.621563
G30,57917,214,74818,0.001562,0.006432,-0.00487,0.242837
