ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio
V59,549,3,558,2.2e-05,4.8e-05,-2.6e-05,0.456441
E61,6287,77,6838,0.000562,0.000588,-2.6e-05,0.956022
C26,976,9,1065,6.6e-05,9.2e-05,-2.6e-05,0.717456
L24,869,7,901,5.1e-05,7.7e-05,-2.6e-05,0.659591
E02,609,4,640,2.9e-05,5.5e-05,-2.6e-05,0.530615
E73,1993,22,2166,0.000161,0.000186,-2.6e-05,0.862321
H15,1152,12,1316,8.8e-05,0.000113,-2.6e-05,0.774156
Z44,522,3,561,2.2e-05,4.8e-05,-2.6e-05,0.454001
D20,538,3,554,2.2e-05,4.8e-05,-2.6e-05,0.459737
C63,260,0,316,0.0,2.7e-05,-2.7e-05,0.0
C10,2538,37,3460,0.00027,0.000297,-2.7e-05,0.907886
N82,4667,65,5839,0.000474,0.000502,-2.8e-05,0.945107
N02,2138,25,2446,0.000182,0.00021,-2.8e-05,0.867738
P14,237,0,328,0.0,2.8e-05,-2.8e-05,0.0
W61,2870,33,3133,0.000241,0.000269,-2.8e-05,0.89425
V94,409,1,420,7e-06,3.6e-05,-2.9e-05,0.202137
S97,2811,31,2972,0.000226,0.000256,-2.9e-05,0.885561
L66,1031,10,1195,7.3e-05,0.000103,-3e-05,0.710452
O31,1011,9,1113,6.6e-05,9.6e-05,-3e-05,0.686515
B30,1173,10,1194,7.3e-05,0.000103,-3e-05,0.711047
C41,5481,88,7829,0.000642,0.000673,-3.1e-05,0.954295
E75,824,9,1119,6.6e-05,9.6e-05,-3.1e-05,0.682834
E20,1169,12,1384,8.8e-05,0.000119,-3.1e-05,0.73612
S77,673,4,707,2.9e-05,6.1e-05,-3.2e-05,0.480331
L56,959,7,995,5.1e-05,8.6e-05,-3.4e-05,0.597279
H44,4101,51,4720,0.000372,0.000406,-3.4e-05,0.917348
R81,1220,10,1255,7.3e-05,0.000108,-3.5e-05,0.676487
H95,534,2,573,1.5e-05,4.9e-05,-3.5e-05,0.296329
Q78,3467,53,4918,0.000387,0.000423,-3.6e-05,0.914942
I06,774,5,860,3.6e-05,7.4e-05,-3.7e-05,0.493597
Q77,532,3,683,2.2e-05,5.9e-05,-3.7e-05,0.372907
N07,764,6,934,4.4e-05,8e-05,-3.7e-05,0.545389
L11,788,5,853,3.6e-05,7.3e-05,-3.7e-05,0.497648
O08,2519,25,2550,0.000182,0.000219,-3.7e-05,0.832348
C70,552,2,614,1.5e-05,5.3e-05,-3.8e-05,0.276542
M83,785,5,874,3.6e-05,7.5e-05,-3.9e-05,0.485691
P12,936,6,963,4.4e-05,8.3e-05,-3.9e-05,0.528965
J82,3054,33,3254,0.000241,0.00028,-3.9e-05,0.860998
H70,6929,86,7760,0.000628,0.000667,-3.9e-05,0.940899
G10,769,8,1142,5.8e-05,9.8e-05,-4e-05,0.594739
C11,1710,29,2926,0.000212,0.000252,-4e-05,0.841451
G70,8105,135,11926,0.000985,0.001025,-4e-05,0.961049
Q34,423,0,463,0.0,4e-05,-4e-05,0.0
Q12,509,2,630,1.5e-05,5.4e-05,-4e-05,0.269518
E25,688,6,998,4.4e-05,8.6e-05,-4.2e-05,0.510414
F81,2420,27,2776,0.000197,0.000239,-4.2e-05,0.825752
I23,802,4,838,2.9e-05,7.2e-05,-4.3e-05,0.405244
Q96,888,9,1279,6.6e-05,0.00011,-4.4e-05,0.597414
H20,4906,65,6027,0.000474,0.000518,-4.4e-05,0.915627
W28,935,6,1024,4.4e-05,8.8e-05,-4.4e-05,0.497455
G12,3797,62,5777,0.000453,0.000497,-4.4e-05,0.911162
C08,553,3,764,2.2e-05,6.6e-05,-4.4e-05,0.333371
C00,714,4,854,2.9e-05,7.3e-05,-4.4e-05,0.397652
A38,684,2,696,1.5e-05,6e-05,-4.5e-05,0.243961
W45,9669,110,9863,0.000803,0.000848,-4.5e-05,0.94687
O68,781,3,783,2.2e-05,6.7e-05,-4.5e-05,0.325282
P07,13414,166,14625,0.001212,0.001257,-4.6e-05,0.963649
P02,1772,15,1807,0.000109,0.000155,-4.6e-05,0.704754
A93,626,1,637,7e-06,5.5e-05,-4.7e-05,0.133278
E79,2918,31,3189,0.000226,0.000274,-4.8e-05,0.825302
A77,681,2,726,1.5e-05,6.2e-05,-4.8e-05,0.23388
J60,1190,10,1402,7.3e-05,0.000121,-4.8e-05,0.605558
C93,945,10,1409,7.3e-05,0.000121,-4.8e-05,0.602549
D40,1379,11,1506,8e-05,0.000129,-4.9e-05,0.620114
O74,914,4,915,2.9e-05,7.9e-05,-4.9e-05,0.371142
C09,3791,66,6175,0.000482,0.000531,-4.9e-05,0.90743
Q63,4407,52,4979,0.00038,0.000428,-4.9e-05,0.886681
D38,2417,24,2607,0.000175,0.000224,-4.9e-05,0.781583
I97,41794,499,42934,0.003642,0.003691,-4.9e-05,0.986748
H94,1639,13,1686,9.5e-05,0.000145,-5e-05,0.654621
B25,3417,40,3976,0.000292,0.000342,-5e-05,0.854121
V10,1168,7,1171,5.1e-05,0.000101,-5e-05,0.507509
C95,7079,89,8147,0.00065,0.0007,-5.1e-05,0.927468
Q93,1623,19,2209,0.000139,0.00019,-5.1e-05,0.730235
W86,869,4,932,2.9e-05,8e-05,-5.1e-05,0.364373
T18,23195,289,25143,0.002109,0.002162,-5.2e-05,0.97586
D00,626,1,695,7e-06,6e-05,-5.2e-05,0.122156
Q01,612,2,770,1.5e-05,6.6e-05,-5.2e-05,0.220516
E42,1488,11,1548,8e-05,0.000133,-5.3e-05,0.603289
I68,2267,21,2394,0.000153,0.000206,-5.3e-05,0.744732
C05,680,4,955,2.9e-05,8.2e-05,-5.3e-05,0.355597
A87,1538,11,1588,8e-05,0.000137,-5.6e-05,0.588093
T67,4070,41,4127,0.000299,0.000355,-5.6e-05,0.843442
F53,1807,17,2107,0.000124,0.000181,-5.7e-05,0.684998
O67,1944,15,1935,0.000109,0.000166,-5.7e-05,0.658135
Q16,692,2,840,1.5e-05,7.2e-05,-5.8e-05,0.20214
C30,685,4,1009,2.9e-05,8.7e-05,-5.8e-05,0.336567
Q85,5408,84,7815,0.000613,0.000672,-5.9e-05,0.91255
R43,1820,15,1965,0.000109,0.000169,-5.9e-05,0.648087
N27,1066,5,1105,3.6e-05,9.5e-05,-5.9e-05,0.384158
N03,2643,28,3060,0.000204,0.000263,-5.9e-05,0.776859
P22,9554,106,9695,0.000774,0.000833,-6e-05,0.928249
C38,926,5,1134,3.6e-05,9.7e-05,-6.1e-05,0.374334
D29,1321,8,1390,5.8e-05,0.000119,-6.1e-05,0.488628
N96,1131,7,1300,5.1e-05,0.000112,-6.1e-05,0.457149
C75,804,4,1056,2.9e-05,9.1e-05,-6.2e-05,0.321587
Q31,2128,23,2677,0.000168,0.00023,-6.2e-05,0.729432
H31,1467,12,1753,8.8e-05,0.000151,-6.3e-05,0.58117
E05,42865,623,53625,0.004547,0.00461,-6.3e-05,0.986342
J92,1776,13,1843,9.5e-05,0.000158,-6.4e-05,0.598856
D02,797,2,915,1.5e-05,7.9e-05,-6.4e-05,0.185571
I09,3309,33,3542,0.000241,0.000305,-6.4e-05,0.79099
Q60,5315,63,6100,0.00046,0.000524,-6.5e-05,0.876833
X03,1254,7,1347,5.1e-05,0.000116,-6.5e-05,0.441198
H17,1403,10,1608,7.3e-05,0.000138,-6.5e-05,0.527981
W39,807,2,921,1.5e-05,7.9e-05,-6.5e-05,0.184362
J09,4191,41,4236,0.000299,0.000364,-6.5e-05,0.821739
L12,1230,11,1692,8e-05,0.000145,-6.5e-05,0.551946
Q72,1635,15,2061,0.000109,0.000177,-6.8e-05,0.6179
C4A,583,2,976,1.5e-05,8.4e-05,-6.9e-05,0.173973
C52,993,8,1497,5.8e-05,0.000129,-7e-05,0.453703
L76,8538,95,8879,0.000693,0.000763,-7e-05,0.908377
C96,1670,16,2185,0.000117,0.000188,-7.1e-05,0.621689
L68,2086,18,2365,0.000131,0.000203,-7.2e-05,0.646169
D01,1676,12,1865,8.8e-05,0.00016,-7.3e-05,0.546269
C60,818,6,1364,4.4e-05,0.000117,-7.3e-05,0.373457
V69,9987,108,10030,0.000788,0.000862,-7.4e-05,0.914175
P03,3317,29,3322,0.000212,0.000286,-7.4e-05,0.741146
D04,1788,13,1981,9.5e-05,0.00017,-7.5e-05,0.557139
C94,1343,8,1548,5.8e-05,0.000133,-7.5e-05,0.438756
S20,91051,1083,92833,0.007905,0.007981,-7.6e-05,0.990451
O01,627,0,895,0.0,7.7e-05,-7.7e-05,0.0
