feature,n_methods,methods,description
A05,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment","Other bacterial foodborne intoxications, not elsewhere classified"
B18,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Chronic viral hepatitis
B19,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Unspecified viral hepatitis
B20,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Human immunodeficiency virus [HIV] disease
B34,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Viral infection of unspecified site
C53,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Malignant neoplasm of cervix uteri
D57,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Sickle-cell disorders
D69,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Purpura and other hemorrhagic conditions
E10,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Type 1 diabetes mellitus
E66,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Overweight and obesity
F10,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Alcohol related disorders
F11,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Opioid related disorders
F13,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment","Sedative, hypnotic, or anxiolytic related disorders"
F14,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Cocaine related disorders
F15,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Other stimulant related disorders
F17,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Nicotine dependence
F19,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Other psychoactive substance related disorders
F25,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Schizoaffective disorders
F29,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Unspecified psychosis not due to a substance or known physiological condition
F31,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Bipolar disorder
F32,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment","Major depressive disorder, single episode"
F33,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment","Major depressive disorder, recurrent"
F34,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Persistent mood [affective] disorders
F39,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Unspecified mood [affective] disorder
F41,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Other anxiety disorders
F43,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment","Reaction to severe stress, and adjustment disorders"
F55,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Abuse of non-dependence-producing substances
F60,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Specific personality disorders
G35,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Multiple sclerosis
G43,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Migraine
G59,4,"Elastic Net, LightGBM, NTK, Recurrence Enrichment",Mononeuropathy in diseases classified elsewhere
