ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio,DIAGNOSIS_DESCRIPTION
H49,5366,56,6332,0.000409,0.000544,-0.000136,0.75085,Paralytic strabismus
H00,10107,111,11010,0.00081,0.000947,-0.000136,0.855938,Hordeolum and chalazion
K41,3116,21,3366,0.000153,0.000289,-0.000136,0.529677,Femoral hernia
T30,12550,143,13758,0.001044,0.001183,-0.000139,0.882445,"Burn and corrosion, body region unspecified"
L23,3341,22,3500,0.000161,0.000301,-0.00014,0.533655,Allergic contact dermatitis
S79,18655,213,19722,0.001555,0.001696,-0.000141,0.916929,Other and unspecified injuries of hip and thigh
D10,2689,15,2915,0.000109,0.000251,-0.000141,0.436876,Benign neoplasm of mouth and pharynx
C40,2118,22,3518,0.000161,0.000302,-0.000142,0.530924,Malignant neoplasm of bone and articular cartilage of limbs
N53,7394,75,8029,0.000547,0.00069,-0.000143,0.79306,Other male sexual dysfunction
S91,60901,766,66694,0.005591,0.005734,-0.000143,0.9751,"Open wound of ankle, foot and toes"
C66,1882,10,2531,7.3e-05,0.000218,-0.000145,0.335439,Malignant neoplasm of ureter
Q06,2694,21,3481,0.000153,0.000299,-0.000146,0.512178,Other congenital malformations of spinal cord
N33,9617,96,9843,0.000701,0.000846,-0.000146,0.828038,Bladder disorders in diseases classified elsewhere
D28,2425,9,2473,6.6e-05,0.000213,-0.000147,0.308975,Benign neoplasm of other and unspecified female genital organs
Q75,1787,11,2646,8e-05,0.000227,-0.000147,0.352946,Other congenital malformations of skull and face bones
C23,1944,16,3087,0.000117,0.000265,-0.000149,0.440037,Malignant neoplasm of gallbladder
Q64,3374,29,4210,0.000212,0.000362,-0.00015,0.584819,Other congenital malformations of urinary system
L83,2161,8,2440,5.8e-05,0.00021,-0.000151,0.278359,Acanthosis nigricans
K36,2326,8,2434,5.8e-05,0.000209,-0.000151,0.279045,Other appendicitis
I60,15569,184,17383,0.001343,0.001494,-0.000151,0.898669,Nontraumatic subarachnoid hemorrhage
O33,5065,39,5107,0.000285,0.000439,-0.000154,0.648343,Maternal care for disproportion
H01,4623,41,5317,0.000299,0.000457,-0.000158,0.654671,Other inflammation of eyelid
O46,13642,148,14416,0.00108,0.001239,-0.000159,0.871613,"Antepartum hemorrhage, not elsewhere classified"
L04,3473,21,3635,0.000153,0.000313,-0.000159,0.490479,Acute lymphadenitis
Q03,3022,24,3915,0.000175,0.000337,-0.000161,0.520457,Congenital hydrocephalus
C74,1804,19,3513,0.000139,0.000302,-0.000163,0.459178,Malignant neoplasm of adrenal gland
X11,2923,15,3193,0.000109,0.000275,-0.000165,0.398839,Contact with hot tap-water
S40,53638,615,54145,0.004489,0.004655,-0.000166,0.964326,Superficial injury of shoulder and upper arm
D33,4398,42,5509,0.000307,0.000474,-0.000167,0.647266,Benign neoplasm of brain and other parts of central nervous system
F73,1633,2,2115,1.5e-05,0.000182,-0.000167,0.080283,Profound intellectual disabilities
C01,3131,31,4588,0.000226,0.000394,-0.000168,0.573646,Malignant neoplasm of base of tongue
C57,1653,5,2379,3.6e-05,0.000205,-0.000168,0.178435,Malignant neoplasm of other and unspecified female genital organs
C84,2572,27,4263,0.000197,0.000366,-0.000169,0.537718,Mature T/NK-cell lymphomas
C76,11716,150,14699,0.001095,0.001264,-0.000169,0.866384,Malignant neoplasm of other and ill-defined sites
Q17,1847,6,2476,4.4e-05,0.000213,-0.000169,0.205734,Other congenital malformations of ear
T85,37193,452,40342,0.003299,0.003468,-0.000169,0.951235,"Complications of other internal prosthetic devices, implants and grafts"
Q69,1515,2,2143,1.5e-05,0.000184,-0.00017,0.079234,Polydactyly
L65,6316,58,6916,0.000423,0.000595,-0.000171,0.711999,Other nonscarring hair loss
C81,7984,143,14138,0.001044,0.001215,-0.000172,0.858726,Hodgkin lymphoma
H83,4523,31,4657,0.000226,0.0004,-0.000174,0.565147,Other diseases of inner ear
Z11,60107,748,65529,0.00546,0.005634,-0.000174,0.969114,Encounter for screening for infectious and parasitic diseases
N91,13008,147,14525,0.001073,0.001249,-0.000176,0.859227,"Absent, scanty and rare menstruation"
O40,8624,96,10192,0.000701,0.000876,-0.000176,0.799684,Polyhydramnios
W07,11641,117,11976,0.000854,0.00103,-0.000176,0.829432,Fall from chair
P08,3205,14,3252,0.000102,0.00028,-0.000177,0.365496,Disorders of newborn related to long gestation and high birth weight
H34,4040,34,4972,0.000248,0.000427,-0.000179,0.580569,Retinal vascular occlusions
T20,10639,122,12445,0.00089,0.00107,-0.000179,0.832284,"Burn and corrosion of head, face, and neck"
Q36,1493,0,2091,0.0,0.00018,-0.00018,0.0,Cleft lip
W08,4209,29,4556,0.000212,0.000392,-0.00018,0.540406,Fall from other furniture
C22,23461,420,37783,0.003066,0.003248,-0.000183,0.943756,Malignant neoplasm of liver and intrahepatic bile ducts
K66,33424,373,33816,0.002722,0.002907,-0.000185,0.936469,Other disorders of peritoneum
D44,3083,19,3811,0.000139,0.000328,-0.000189,0.423273,Neoplasm of uncertain behavior of endocrine glands
C48,3313,29,4657,0.000212,0.0004,-0.000189,0.528686,Malignant neoplasm of retroperitoneum and peritoneum
Q65,4680,47,6193,0.000343,0.000532,-0.000189,0.644322,Congenital deformities of hip
Q51,4832,38,5456,0.000277,0.000469,-0.000192,0.59131,Congenital malformations of uterus and cervix
L92,5663,45,6066,0.000328,0.000521,-0.000193,0.62982,Granulomatous disorders of skin and subcutaneous tissue
Q87,7345,97,10484,0.000708,0.000901,-0.000193,0.785509,Other specified congenital malformation syndromes affecting multiple systems
L50,23243,266,24841,0.001942,0.002136,-0.000194,0.909116,Urticaria
D39,2745,11,3221,8e-05,0.000277,-0.000197,0.28994,Neoplasm of uncertain behavior of female genital organs
H47,5679,53,6808,0.000387,0.000585,-0.000198,0.660941,Other disorders of optic [2nd] nerve and visual pathways
Q39,4776,33,5109,0.000241,0.000439,-0.000198,0.548383,Congenital malformations of esophagus
C02,4440,50,6560,0.000365,0.000564,-0.000199,0.647102,Malignant neoplasm of other and unspecified parts of tongue
Z40,2735,5,2781,3.6e-05,0.000239,-0.000203,0.152642,Encounter for prophylactic surgery
Q82,4591,36,5437,0.000263,0.000467,-0.000205,0.562146,Other congenital malformations of skin
D26,2805,6,2908,4.4e-05,0.00025,-0.000206,0.175171,Other benign neoplasms of uterus
K11,17450,206,19913,0.001504,0.001712,-0.000208,0.878289,Diseases of salivary glands
O16,13886,154,15491,0.001124,0.001332,-0.000208,0.844011,Unspecified maternal hypertension
