ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio,DIAGNOSIS_DESCRIPTION
H71,4353,19,5922,0.000139,0.000509,-0.00037,0.27239,Cholesteatoma of middle ear
N42,6141,26,6520,0.00019,0.000561,-0.000371,0.338557,Other and unspecified disorders of prostate
N44,4206,6,4853,4.4e-05,0.000417,-0.000373,0.104966,Noninflammatory disorders of testis
T32,15939,151,17168,0.001102,0.001476,-0.000374,0.746731,Corrosions classified according to extent of body surface involved
W29,8187,48,8434,0.00035,0.000725,-0.000375,0.483186,Contact with other powered hand tools and household machinery
C19,9129,81,11322,0.000591,0.000973,-0.000382,0.607391,Malignant neoplasm of rectosigmoid junction
G45,25226,273,27623,0.001993,0.002375,-0.000382,0.839071,Transient cerebral ischemic attacks and related syndromes
M93,4732,21,6278,0.000153,0.00054,-0.000386,0.283991,Other osteochondropathies
T78,42778,485,45682,0.00354,0.003927,-0.000387,0.901371,"Adverse effects, not elsewhere classified"
Z98,801686,11082,945402,0.080886,0.081277,-0.00039,0.995196,Other postprocedural states
Q67,5678,39,7946,0.000285,0.000683,-0.000398,0.416699,"Congenital musculoskeletal deformities of head, face, spine and chest"
Q24,13834,134,16038,0.000978,0.001379,-0.000401,0.709351,Other congenital malformations of heart
S50,37282,389,37721,0.002839,0.003243,-0.000404,0.875535,Superficial injury of elbow and forearm
N41,14498,129,15739,0.000942,0.001353,-0.000412,0.695856,Inflammatory diseases of prostate
R54,9096,56,9550,0.000409,0.000821,-0.000412,0.497842,Age-related physical debility
Z31,5963,30,7352,0.000219,0.000632,-0.000413,0.346435,Encounter for procreative management
R90,48675,560,52350,0.004087,0.004501,-0.000413,0.908193,Abnormal findings on diagnostic imaging of central nervous system
H93,14525,130,15905,0.000949,0.001367,-0.000419,0.693931,"Other disorders of ear, not elsewhere classified"
D13,8393,51,9309,0.000372,0.0008,-0.000428,0.465129,Benign neoplasm of other and ill-defined parts of digestive system
M21,45759,548,51527,0.004,0.00443,-0.00043,0.902927,Other acquired deformities of limbs
E28,21615,232,24714,0.001693,0.002125,-0.000431,0.796988,Ovarian dysfunction
Q37,3369,6,5552,4.4e-05,0.000477,-0.000434,0.09175,Cleft palate with cleft lip
D18,16127,153,18136,0.001117,0.001559,-0.000442,0.716237,"Hemangioma and lymphangioma, any site"
Q61,28372,320,32308,0.002336,0.002778,-0.000442,0.840905,Cystic kidney disease
Q38,5247,10,6001,7.3e-05,0.000516,-0.000443,0.141476,"Other congenital malformations of tongue, mouth and pharynx"
S67,9051,53,9653,0.000387,0.00083,-0.000443,0.466144,"Crushing injury of wrist, hand and fingers"
R33,150819,1966,172156,0.01435,0.0148,-0.000451,0.969546,Retention of urine
T15,10384,66,10858,0.000482,0.000933,-0.000452,0.516061,Foreign body on external eye
I13,89305,1215,108472,0.008868,0.009325,-0.000457,0.950967,Hypertensive heart and renal disease
Q43,14866,127,16114,0.000927,0.001385,-0.000458,0.669125,Other congenital malformations of intestine
D35,18416,193,21786,0.001409,0.001873,-0.000464,0.752119,Benign neoplasm of other and unspecified endocrine glands
R80,24756,276,28834,0.002014,0.002479,-0.000464,0.812664,Proteinuria
N90,8441,47,9388,0.000343,0.000807,-0.000464,0.425041,Other noninflammatory disorders of vulva and perineum
V86,22617,219,24013,0.001598,0.002064,-0.000466,0.774292,"Occupant of special all-terrain or other off-road motor vehicle, injured in transport accident"
Z52,3604,6,5945,4.4e-05,0.000511,-0.000467,0.085685,Donors of organs and tissues
D36,9096,52,9880,0.00038,0.000849,-0.00047,0.446841,Benign neoplasm of other and unspecified sites
J05,7010,28,7877,0.000204,0.000677,-0.000473,0.301789,Acute obstructive laryngitis [croup] and epiglottitis
V80,6740,21,7336,0.000153,0.000631,-0.000477,0.243034,Animal-rider or occupant of animal-drawn vehicle injured in transport accident
Z41,9038,50,9832,0.000365,0.000845,-0.00048,0.431752,Encounter for procedures for purposes other than remedying health state
N28,126135,1538,136305,0.011226,0.011718,-0.000493,0.957969,"Other disorders of kidney and ureter, not elsewhere classified"
G97,13904,105,14721,0.000766,0.001266,-0.000499,0.605562,"Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
B97,71753,796,73511,0.00581,0.00632,-0.00051,0.919322,Viral agents as the cause of diseases classified elsewhere
V87,24647,222,24850,0.00162,0.002136,-0.000516,0.758461,Traffic accident of specified type but victim's mode of transport unknown
N76,51730,585,55698,0.00427,0.004788,-0.000519,0.891709,Other inflammation of vagina and vulva
W54,19316,180,21330,0.001314,0.001834,-0.00052,0.716454,Bitten or struck by dog
N70,10166,58,11008,0.000423,0.000946,-0.000523,0.447328,Salpingitis and oophoritis
I72,19487,190,22212,0.001387,0.00191,-0.000523,0.726228,Other aneurysm
I52,30272,297,31391,0.002168,0.002699,-0.000531,0.803264,Other heart disorders in diseases classified elsewhere
L82,8909,39,9507,0.000285,0.000817,-0.000533,0.348279,Seborrhoeic keratosis
S76,23992,222,25115,0.00162,0.002159,-0.000539,0.750458,"Injury of muscle, fascia and tendon at hip and thigh level"
Z64,11008,61,11471,0.000445,0.000986,-0.000541,0.451477,Problems related to certain psychosocial circumstances
S01,106416,1249,112383,0.009116,0.009662,-0.000545,0.943559,Open wound of head
W60,32184,312,32844,0.002277,0.002824,-0.000546,0.806502,Contact with nonvenomous plant thorns and spines and sharp leaves
Q25,16005,154,19436,0.001124,0.001671,-0.000547,0.672699,Congenital malformations of great arteries
C85,17289,212,24367,0.001547,0.002095,-0.000547,0.738653,Other specified and unspecified types of non-Hodgkin lymphoma
I45,91692,1108,100430,0.008087,0.008634,-0.000547,0.936663,Other conduction disorders
W19,294292,3616,313370,0.026393,0.026941,-0.000548,0.979666,Unspecified fall
C43,5737,30,8950,0.000219,0.000769,-0.00055,0.28458,Malignant melanoma of skin
W11,20323,175,21311,0.001277,0.001832,-0.000555,0.697174,Fall on and from ladder
O65,9152,32,9177,0.000234,0.000789,-0.000555,0.296044,Obstructed labor due to maternal pelvic abnormality
D32,9847,72,12692,0.000526,0.001091,-0.000566,0.481625,Benign neoplasm of meninges
Z38,22734,189,22666,0.001379,0.001949,-0.000569,0.707936,Liveborn infants according to place of birth and type of delivery
O60,70333,853,79098,0.006226,0.0068,-0.000574,0.915568,Preterm labor
S23,30950,295,31762,0.002153,0.002731,-0.000577,0.788535,Dislocation and sprain of joints and ligaments of thorax
I36,30750,317,33629,0.002314,0.002891,-0.000577,0.800299,Nonrheumatic tricuspid valve disorders
G31,31328,329,34685,0.002401,0.002982,-0.000581,0.805306,"Other degenerative diseases of nervous system, not elsewhere classified"
W31,10035,43,10431,0.000314,0.000897,-0.000583,0.349985,Contact with other and unspecified machinery
D21,8100,23,8743,0.000168,0.000752,-0.000584,0.223344,Other benign neoplasms of connective and other soft tissue
H52,16395,143,18930,0.001044,0.001627,-0.000584,0.641346,Disorders of refraction and accommodation
M66,8797,33,9611,0.000241,0.000826,-0.000585,0.291509,Spontaneous rupture of synovium and tendon
I11,133686,1754,155714,0.012802,0.013387,-0.000585,0.956333,Hypertensive heart disease
J11,38670,384,39563,0.002803,0.003401,-0.000598,0.824041,Influenza due to unidentified influenza virus
I61,25522,247,27971,0.001803,0.002405,-0.000602,0.749714,Nontraumatic intracerebral hemorrhage
S05,34007,339,35814,0.002474,0.003079,-0.000605,0.803626,Injury of eye and orbit
Q55,7395,10,7950,7.3e-05,0.000683,-0.00061,0.106792,Other congenital malformations of male genital organs
Q66,7653,38,10359,0.000277,0.000891,-0.000613,0.311439,Congenital deformities of feet
N52,25344,259,29122,0.00189,0.002504,-0.000613,0.755067,Male erectile dysfunction
D16,8154,32,9889,0.000234,0.00085,-0.000617,0.274729,Benign neoplasm of bone and articular cartilage
O86,12388,68,13072,0.000496,0.001124,-0.000627,0.441645,Other puerperal infections
S68,8957,40,10705,0.000292,0.00092,-0.000628,0.317234,"Traumatic amputation of wrist, hand and fingers"
V49,29883,276,30759,0.002014,0.002644,-0.00063,0.761805,Car occupant injured in other and unspecified transport accidents
Z08,7972,25,9453,0.000182,0.000813,-0.00063,0.224531,Encounter for follow-up examination after completed treatment for malignant neoplasm
I83,32096,400,41394,0.00292,0.003559,-0.000639,0.820407,Varicose veins of lower extremities
J36,10500,55,12197,0.000401,0.001049,-0.000647,0.382839,Peritonsillar abscess
K01,11162,52,12020,0.00038,0.001033,-0.000654,0.367287,Embedded and impacted teeth
Q21,35922,456,46373,0.003328,0.003987,-0.000658,0.834846,Congenital malformations of cardiac septa
K77,30920,301,33255,0.002197,0.002859,-0.000662,0.768452,Liver disorders in diseases classified elsewhere
L91,8588,31,10390,0.000226,0.000893,-0.000667,0.25331,Hypertrophic disorders of skin
F01,13858,98,16235,0.000715,0.001396,-0.00068,0.512484,Vascular dementia
Q54,7367,22,9824,0.000161,0.000845,-0.000684,0.190126,Hypospadias
R49,18645,163,21815,0.00119,0.001875,-0.000686,0.634365,Voice and resonance disorders
N36,11397,53,12538,0.000387,0.001078,-0.000691,0.358884,Other disorders of urethra
D22,7189,8,8734,5.8e-05,0.000751,-0.000692,0.077765,Melanocytic nevi
I62,30289,316,34890,0.002306,0.003,-0.000693,0.768941,Other and unspecified nontraumatic intracranial hemorrhage
C16,11865,130,19107,0.000949,0.001643,-0.000694,0.577641,Malignant neoplasm of stomach
L57,10592,48,12172,0.00035,0.001046,-0.000696,0.3348,Skin changes due to chronic exposure to nonionizing radiation
I88,15130,91,15842,0.000664,0.001362,-0.000698,0.487684,Nonspecific lymphadenitis
H04,14268,104,17108,0.000759,0.001471,-0.000712,0.516108,Disorders of lacrimal system
O61,10414,25,10470,0.000182,0.0009,-0.000718,0.202722,Failed induction of labor
K61,19811,175,23424,0.001277,0.002014,-0.000736,0.634284,Abscess of anal and rectal regions
E01,12762,64,14020,0.000467,0.001205,-0.000738,0.38756,Iodine-deficiency related thyroid disorders and allied conditions
H10,37860,364,39493,0.002657,0.003395,-0.000738,0.782507,Conjunctivitis
C15,13285,174,23446,0.00127,0.002016,-0.000746,0.630068,Malignant neoplasm of esophagus
V19,20933,158,22091,0.001153,0.001899,-0.000746,0.607223,Pedal cycle rider injured in other and unspecified transport accidents
C92,16760,260,30826,0.001898,0.00265,-0.000752,0.716083,Myeloid leukemia
D06,9874,40,12157,0.000292,0.001045,-0.000753,0.279345,Carcinoma in situ of cervix uteri
T86,33208,401,42876,0.002927,0.003686,-0.000759,0.79403,Complications of transplanted organs and tissue
S53,10801,39,12190,0.000285,0.001048,-0.000763,0.271624,Dislocation and sprain of joints and ligaments of elbow
D46,14775,165,23217,0.001204,0.001996,-0.000792,0.603371,Myelodysplastic syndromes
Q90,8674,61,14452,0.000445,0.001242,-0.000797,0.358351,Down syndrome
W20,24809,191,25496,0.001394,0.002192,-0.000798,0.636016,"Struck by thrown, projected or falling object"
T23,21272,188,25269,0.001372,0.002172,-0.0008,0.63165,Burn and corrosion of wrist and hand
O30,15860,184,24922,0.001343,0.002143,-0.0008,0.626819,Multiple gestation
E11,721839,12936,1107594,0.094419,0.095221,-0.000802,0.991577,Type 2 diabetes mellitus
H60,32398,313,35907,0.002285,0.003087,-0.000802,0.740069,Otitis externa
C83,10800,106,18382,0.000774,0.00158,-0.000807,0.489576,Non-follicular lymphoma
K22,132600,1690,153069,0.012335,0.013159,-0.000824,0.93736,Other diseases of esophagus
O00,11584,52,14013,0.00038,0.001205,-0.000825,0.31505,Ectopic pregnancy
H57,46508,459,48567,0.00335,0.004175,-0.000825,0.802377,Other disorders of eye and adnexa
S80,88874,959,91028,0.007,0.007826,-0.000826,0.894439,Superficial injury of knee and lower leg
I51,134932,1595,145021,0.011642,0.012468,-0.000826,0.933763,Complications and ill-defined descriptions of heart disease
N21,14510,77,16560,0.000562,0.001424,-0.000862,0.394764,Calculus of lower urinary tract
H81,23351,181,25455,0.001321,0.002188,-0.000867,0.603688,Disorders of vestibular function
G20,20528,238,30298,0.001737,0.002605,-0.000868,0.666914,Parkinson's disease
W22,44413,419,45741,0.003058,0.003932,-0.000874,0.777706,Striking against or struck by other objects
E55,133334,1703,154780,0.01243,0.013307,-0.000877,0.934129,Vitamin D deficiency
R39,51089,524,54694,0.003825,0.004702,-0.000877,0.81339,Other and unspecified symptoms and signs involving the genitourinary system
N88,12689,36,13285,0.000263,0.001142,-0.000879,0.230063,Other noninflammatory disorders of cervix uteri
R12,29428,241,30698,0.001759,0.002639,-0.00088,0.666521,Heartburn
J31,17621,99,18782,0.000723,0.001615,-0.000892,0.447507,"Chronic rhinitis, nasopharyngitis and pharyngitis"
C49,11209,88,18191,0.000642,0.001564,-0.000922,0.410708,Malignant neoplasm of other connective and soft tissue
C20,18057,223,29719,0.001628,0.002555,-0.000927,0.637056,Malignant neoplasm of rectum
J33,11112,30,13405,0.000219,0.001152,-0.000933,0.190003,Nasal polyp
Q53,9934,21,12951,0.000153,0.001113,-0.00096,0.137665,Undescended and ectopic testicle
I37,17237,83,18308,0.000606,0.001574,-0.000968,0.384897,Nonrheumatic pulmonary valve disorders
N62,15868,85,18593,0.00062,0.001598,-0.000978,0.388129,Hypertrophy of breast
D03,9822,38,14662,0.000277,0.001261,-0.000983,0.220038,Melanoma in situ
J01,53201,520,55593,0.003795,0.004779,-0.000984,0.794127,Acute sinusitis
L90,18200,104,20362,0.000759,0.001751,-0.000991,0.43363,Atrophic disorders of skin
Y83,229077,2761,246104,0.020152,0.021158,-0.001005,0.952478,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
F79,13526,61,16961,0.000445,0.001458,-0.001013,0.305341,Unspecified intellectual disabilities
W17,46452,431,48411,0.003146,0.004162,-0.001016,0.755858,Other fall from one level to another
S92,75955,934,91136,0.006817,0.007835,-0.001018,0.87009,"Fracture of foot and toe, except ankle"
S66,40902,367,43056,0.002679,0.003702,-0.001023,0.723668,"Injury of muscle, fascia and tendon at wrist and hand level"
H02,18755,114,21689,0.000832,0.001865,-0.001033,0.446244,Other disorders of eyelid
H43,15934,87,19471,0.000635,0.001674,-0.001039,0.379348,Disorders of vitreous body
N97,10283,18,13693,0.000131,0.001177,-0.001046,0.111604,Female infertility
N87,17319,93,20074,0.000679,0.001726,-0.001047,0.393329,Dysplasia of cervix uteri
N43,23929,189,28301,0.001379,0.002433,-0.001054,0.566979,Hydrocele and spermatocele
F80,13093,42,15954,0.000307,0.001372,-0.001065,0.223505,Specific developmental disorders of speech and language
R59,91224,1046,101313,0.007635,0.00871,-0.001075,0.876544,Enlarged lymph nodes
C25,25575,375,44342,0.002737,0.003812,-0.001075,0.717998,Malignant neoplasm of pancreas
Z77,22284,167,26724,0.001219,0.002297,-0.001079,0.530545,Other contact with and (suspected) exposures hazardous to health
O20,33567,303,38315,0.002212,0.003294,-0.001082,0.671399,Hemorrhage in early pregnancy
R87,20739,137,24372,0.001,0.002095,-0.001095,0.477239,Abnormal findings in specimens from female genital organs
D62,284736,3354,297507,0.024481,0.025577,-0.001096,0.957134,Acute posthaemorrhagic anaemia
X50,22298,124,23282,0.000905,0.002002,-0.001097,0.452177,Overexertion and strenuous or repetitive movements
E07,49959,490,54492,0.003576,0.004685,-0.001108,0.763432,Other disorders of thyroid
F06,40055,391,46222,0.002854,0.003974,-0.00112,0.718183,Other mental disorders due to known physiological condition
O72,25740,155,26320,0.001131,0.002263,-0.001131,0.49998,Postpartum hemorrhage
N29,89129,970,95564,0.00708,0.008216,-0.001136,0.861756,Other disorders of kidney and ureter in diseases classified elsewhere
C86,24727,295,38290,0.002153,0.003292,-0.001139,0.654099,Other specified types of T/NK-cell lymphoma
C80,38224,363,44112,0.002649,0.003792,-0.001143,0.698645,Malignant neoplasm without specification of site
L05,15871,90,21172,0.000657,0.00182,-0.001163,0.3609,Pilonidal cyst and sinus
D27,16405,47,17572,0.000343,0.001511,-0.001168,0.227082,Benign neoplasm of ovary
H72,13990,46,17511,0.000336,0.001505,-0.00117,0.223025,Perforation of tympanic membrane
H33,13259,39,16940,0.000285,0.001456,-0.001172,0.19546,Retinal detachments and breaks
S63,24445,150,26477,0.001095,0.002276,-0.001181,0.480983,Dislocation and sprain of joints and ligaments at wrist and hand level
I67,99526,1172,113354,0.008554,0.009745,-0.001191,0.877804,Other cerebrovascular diseases
S93,39665,336,42556,0.002452,0.003659,-0.001206,0.670325,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level"
W09,11387,5,14461,3.6e-05,0.001243,-0.001207,0.029355,Fall on and from playground equipment
H61,25331,158,27496,0.001153,0.002364,-0.001211,0.487859,Other disorders of external ear
M77,33015,256,35863,0.001869,0.003083,-0.001215,0.606039,Other enthesopathies
C90,23178,361,44788,0.002635,0.00385,-0.001216,0.684309,Multiple myeloma and malignant plasma cell neoplasms
D48,20251,107,23329,0.000781,0.002006,-0.001225,0.389399,Neoplasm of uncertain behavior of other and unspecified sites
O77,26961,150,27037,0.001095,0.002324,-0.00123,0.47102,Other fetal stress complicating labor and delivery
K82,47610,426,50739,0.003109,0.004362,-0.001253,0.712811,Other diseases of gallbladder
W01,84810,874,88811,0.006379,0.007635,-0.001256,0.83551,"Fall on same level from slipping, tripping and stumbling"
V00,20264,90,22431,0.000657,0.001928,-0.001272,0.340644,Pedestrian conveyance accident
C56,18741,216,33179,0.001577,0.002852,-0.001276,0.55271,Malignant neoplasm of ovary
W23,26033,145,27209,0.001058,0.002339,-0.001281,0.452441,"Caught, crushed, jammed or pinched in or between objects"
O41,34169,246,36077,0.001796,0.003102,-0.001306,0.578911,Other disorders of amniotic fluid and membranes
O90,29750,184,31106,0.001343,0.002674,-0.001331,0.502204,"Complications of the puerperium, not elsewhere classified"
E21,27075,225,34660,0.001642,0.00298,-0.001337,0.551139,Hyperparathyroidism and other disorders of parathyroid gland
H50,15167,42,19125,0.000307,0.001644,-0.001338,0.186447,Other strabismus
D23,18748,60,20927,0.000438,0.001799,-0.001361,0.243417,Other benign neoplasms of skin
K60,23406,150,28798,0.001095,0.002476,-0.001381,0.442217,Fissure and fistula of anal and rectal regions
N35,22453,124,26739,0.000905,0.002299,-0.001394,0.393716,Urethral stricture
C73,13995,71,22262,0.000518,0.001914,-0.001396,0.27077,Malignant neoplasm of thyroid gland
Z17,19179,89,23815,0.00065,0.002047,-0.001398,0.317283,Estrogen receptor status
N89,84739,887,91594,0.006474,0.007874,-0.0014,0.822174,Other noninflammatory disorders of vagina
M85,39042,310,42653,0.002263,0.003667,-0.001404,0.617048,Other disorders of bone density and structure
O64,32931,196,32973,0.001431,0.002835,-0.001404,0.504667,Obstructed labor due to malposition and malpresentation of fetus
G91,24050,176,31298,0.001285,0.002691,-0.001406,0.477423,Hydrocephalus
G21,28803,279,40276,0.002036,0.003463,-0.001426,0.588118,Secondary parkinsonism
O32,35991,249,38030,0.001817,0.003269,-0.001452,0.555879,Maternal care for malpresentation of fetus
F84,16080,62,22591,0.000453,0.001942,-0.00149,0.233004,Pervasive developmental disorders
D24,17364,27,19656,0.000197,0.00169,-0.001493,0.116621,Benign neoplasm of breast
C71,14146,81,24293,0.000591,0.002088,-0.001497,0.283081,Malignant neoplasm of brain
O66,24595,85,24654,0.00062,0.00212,-0.001499,0.292711,Other obstructed labor
D05,15004,30,20015,0.000219,0.001721,-0.001502,0.127254,Carcinoma in situ of breast
K37,22475,66,23318,0.000482,0.002005,-0.001523,0.240303,Unspecified appendicitis
K43,81812,926,96364,0.006759,0.008284,-0.001526,0.815837,Ventral hernia
C64,25140,235,37838,0.001715,0.003253,-0.001538,0.527286,"Malignant neoplasm of kidney, except renal pelvis"
L72,31552,201,35098,0.001467,0.003017,-0.00155,0.486206,Follicular cysts of skin and subcutaneous tissue
N72,28335,125,28699,0.000912,0.002467,-0.001555,0.369786,Inflammatory disease of cervix uteri
S99,108682,1104,111976,0.008058,0.009627,-0.001569,0.83705,Other and unspecified injuries of ankle and foot
S61,109761,1174,118025,0.008569,0.010147,-0.001578,0.844503,"Open wound of wrist, hand and fingers"
O03,28412,169,32715,0.001234,0.002813,-0.001579,0.438578,Spontaneous abortion
I63,123361,1435,140383,0.010474,0.012069,-0.001595,0.86785,Cerebral infarction
S33,131886,1399,137406,0.010211,0.011813,-0.001602,0.864409,Dislocation and sprain of joints and ligaments of lumbar spine and pelvis
S89,57706,561,66337,0.004095,0.005703,-0.001608,0.717983,Other and unspecified injuries of lower leg
S49,49541,402,52851,0.002934,0.004544,-0.001609,0.645773,Other and unspecified injuries of shoulder and upper arm
R62,83109,894,94634,0.006525,0.008136,-0.001611,0.802042,Lack of expected normal physiological development in childhood and adults
R22,103296,1133,114989,0.00827,0.009886,-0.001616,0.836528,"Localized swelling, mass and lump of skin and subcutaneous tissue"
Z92,115975,1311,130215,0.009569,0.011195,-0.001626,0.854769,Personal history of medical treatment
C44,23535,135,30407,0.000985,0.002614,-0.001629,0.376936,Other and unspecified malignant neoplasm of skin
I77,58483,521,63618,0.003803,0.005469,-0.001667,0.695288,Other disorders of arteries and arterioles
C77,42190,338,48167,0.002467,0.004141,-0.001674,0.595764,Secondary and unspecified malignant neoplasm of lymph nodes
T82,115864,1345,134202,0.009817,0.011537,-0.00172,0.850884,"Complications of cardiac and vascular prosthetic devices, implants and grafts"
M16,90619,1035,107920,0.007554,0.009278,-0.001724,0.814227,Osteoarthritis of hip
O36,88671,930,99348,0.006788,0.008541,-0.001753,0.794751,Maternal care for other fetal problems
M81,180987,2312,216758,0.016875,0.018635,-0.00176,0.905565,Osteoporosis without current pathological fracture
M65,60093,556,67803,0.004058,0.005829,-0.001771,0.696198,Synovitis and tenosynovitis
G80,23067,190,36801,0.001387,0.003164,-0.001777,0.43833,Cerebral palsy
M24,44946,333,49085,0.002431,0.00422,-0.001789,0.575973,Other specific joint derangements
C91,24574,303,46558,0.002212,0.004003,-0.001791,0.552529,Lymphoid leukemia
W51,65458,544,67025,0.003971,0.005762,-0.001792,0.689079,Accidental striking against or bumped into by another person
O71,36045,176,36222,0.001285,0.003114,-0.001829,0.412522,Other obstetric trauma
S86,54577,427,57532,0.003117,0.004946,-0.001829,0.630123,"Injury of muscle, fascia and tendon at lower leg level"
Z82,352425,4212,378887,0.030743,0.032573,-0.00183,0.943813,Family history of certain disabilities and chronic diseases (leading to disablement)
R35,73337,677,79074,0.004941,0.006798,-0.001857,0.726879,Polyuria
O75,36437,175,36626,0.001277,0.003149,-0.001871,0.405654,"Other complications of labor and delivery, not elsewhere classified"
W21,23287,37,24912,0.00027,0.002142,-0.001872,0.126096,Striking against or struck by sports equipment
I21,79345,763,87276,0.005569,0.007503,-0.001934,0.742227,ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
D49,38683,233,42592,0.001701,0.003662,-0.001961,0.464446,Neoplasms of unspecified behavior
Z96,299325,4203,379707,0.030677,0.032644,-0.001966,0.939762,Presence of other functional implants
E13,1016880,16844,1452947,0.122943,0.124911,-0.001968,0.984243,Other specified diabetes mellitus
N80,57389,474,63287,0.00346,0.005441,-0.001981,0.635874,Endometriosis
M22,30863,116,33165,0.000847,0.002851,-0.002005,0.296951,Disorder of patella
O82,42228,229,42913,0.001671,0.003689,-0.002018,0.453058,Encounter for cesarean delivery without indication
G56,75074,839,95070,0.006124,0.008173,-0.002049,0.749248,Mononeuropathies of upper limb
N32,56461,458,62769,0.003343,0.005396,-0.002053,0.61948,Other disorders of bladder
S16,125318,1231,128646,0.008985,0.01106,-0.002075,0.812398,"Injury of muscle, fascia and tendon at neck level"
S96,80214,707,84301,0.00516,0.007247,-0.002087,0.712022,Injury of muscle and tendon at ankle and foot level
O14,36099,180,39574,0.001314,0.003402,-0.002088,0.386162,Pre-eclampsia
S46,63734,502,67136,0.003664,0.005772,-0.002108,0.634827,"Injury of muscle, fascia and tendon at shoulder and upper arm level"
I47,116717,1326,137196,0.009678,0.011795,-0.002116,0.820558,Paroxysmal tachycardia
J91,112199,1242,130214,0.009065,0.011195,-0.002129,0.809787,Pleural effusion in conditions classified elsewhere
O13,37935,221,43694,0.001613,0.003756,-0.002143,0.429415,Gestational [pregnancy-induced] hypertension without significant proteinuria
C79,108868,1493,152182,0.010897,0.013083,-0.002186,0.832921,Secondary malignant neoplasm of other and unspecified sites
N23,47845,290,50306,0.002117,0.004325,-0.002208,0.489424,Unspecified renal colic
R97,28902,117,35628,0.000854,0.003063,-0.002209,0.278806,Abnormal tumor markers
C54,18917,71,31802,0.000518,0.002734,-0.002216,0.189544,Malignant neoplasm of corpus uteri
O42,53035,335,54310,0.002445,0.004669,-0.002224,0.523687,Premature rupture of membranes
S69,75927,617,78799,0.004503,0.006774,-0.002271,0.66477,"Other and unspecified injuries of wrist, hand and finger(s)"
S59,40263,232,46236,0.001693,0.003975,-0.002282,0.426005,Other and unspecified injuries of elbow and forearm
R93,100589,925,105590,0.006751,0.009078,-0.002326,0.743748,Abnormal findings on diagnostic imaging of other body structures
N73,56773,372,58789,0.002715,0.005054,-0.002339,0.537222,Other female pelvic inflammatory diseases
O02,31063,111,36773,0.00081,0.003161,-0.002351,0.256272,Other abnormal products of conception
O24,32734,238,47697,0.001737,0.004101,-0.002363,0.423636,"Diabetes mellitus in pregnancy, childbirth, and the puerperium"
I20,55762,389,60610,0.002839,0.005211,-0.002371,0.544894,Angina pectoris
I08,59469,424,64252,0.003095,0.005524,-0.002429,0.560256,Multiple valve diseases
H35,48532,352,58765,0.002569,0.005052,-0.002483,0.508547,Other retinal disorders
Z13,107618,1012,115333,0.007386,0.009915,-0.002529,0.744962,Encounter for screening for other diseases and disorders
M20,44234,279,53494,0.002036,0.004599,-0.002563,0.442798,Acquired deformities of fingers and toes
H69,28214,42,33538,0.000307,0.002883,-0.002577,0.106321,Other and unspecified disorders of Eustachian tube
V85,91843,748,93884,0.00546,0.008071,-0.002612,0.676421,Occupant of special construction vehicle injured in transport accident
H91,72364,565,80475,0.004124,0.006918,-0.002795,0.596066,Other and unspecified hearing loss
M67,42284,164,46607,0.001197,0.004007,-0.00281,0.298744,Other disorders of synovium and tendon
Z94,68884,1038,121210,0.007576,0.010421,-0.002844,0.727053,Transplanted organ and tissue status
J03,43474,159,46950,0.001161,0.004036,-0.002876,0.28752,Acute tonsillitis
N81,41163,167,48046,0.001219,0.004131,-0.002912,0.295098,Female genital prolapse
O9A,181310,2053,208236,0.014985,0.017902,-0.002918,0.837028,"Maternal malignant neoplasms, traumatic injuries and abuse classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
N47,32833,60,39147,0.000438,0.003365,-0.002928,0.130125,Disorders of prepuce
N85,41297,122,44708,0.00089,0.003844,-0.002953,0.231676,"Other noninflammatory disorders of uterus, except cervix"
I22,105627,899,110737,0.006562,0.00952,-0.002958,0.689246,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
D17,45029,175,49526,0.001277,0.004258,-0.00298,0.299993,Benign lipomatous neoplasm
J06,155193,1519,164161,0.011087,0.014113,-0.003026,0.785588,Acute upper respiratory infections of multiple and unspecified sites
I73,244525,3314,316830,0.024189,0.027238,-0.00305,0.888042,Other peripheral vascular diseases
W18,290863,3174,305082,0.023167,0.026228,-0.003061,0.883278,"Other slipping, tripping and stumbling and falls"
R31,170561,1864,194092,0.013605,0.016686,-0.003081,0.815352,Hematuria
C67,38796,278,60453,0.002029,0.005197,-0.003168,0.390422,Malignant neoplasm of bladder
S82,95046,1059,126868,0.00773,0.010907,-0.003177,0.708681,"Fracture of lower leg, including ankle"
N64,55874,293,62142,0.002139,0.005342,-0.003204,0.400304,Other disorders of breast
H92,78608,567,85566,0.004138,0.007356,-0.003218,0.562586,Otalgia and effusion of ear
I42,204106,2645,262124,0.019306,0.022535,-0.003229,0.856694,Cardiomyopathy
N63,55707,328,65477,0.002394,0.005629,-0.003235,0.425297,Unspecified lump in breast
