rank,feature,mean_abs_shap,DIAGNOSIS_DESCRIPTION
458,Z17,0.0003222863015253,Estrogen receptor status
459,M72,0.0003201517683919,Fibroblastic disorders
460,K00,0.0003156244638375,Disorders of tooth development and eruption
461,T18,0.0003148228279314,Foreign body in alimentary tract
462,C25,0.0003136368177365,Malignant neoplasm of pancreas
463,K87,0.0003128981043118,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
464,I73,0.0003127573290839,Other peripheral vascular diseases
465,S61,0.0003102322225458,"Open wound of wrist, hand and fingers"
466,R63,0.0003093683626502,Symptoms and signs concerning food and fluid intake
467,R76,0.000307216978399,Other abnormal immunological findings in serum
468,N25,0.0003069913655053,Disorders resulting from impaired renal tubular function
469,R54,0.0003028472419828,Age-related physical debility
470,V29,0.0003010957443621,Motorcycle rider injured in other and unspecified transport accidents
471,W31,0.0003007615159731,Contact with other and unspecified machinery
472,R57,0.0002984885941259,"Shock, not elsewhere classified"
473,X95,0.0002976348041556,Assault by other and unspecified firearm and gun discharge
474,I60,0.0002962923026643,Nontraumatic subarachnoid hemorrhage
475,T86,0.0002960523124784,Complications of transplanted organs and tissue
476,E44,0.0002944373118225,Protein-calorie malnutrition of moderate and mild degree
477,C86,0.0002933529030997,Other specified types of T/NK-cell lymphoma
478,N70,0.0002918689278885,Salpingitis and oophoritis
479,Y08,0.0002895768557209,Assault by other specified means
480,S99,0.0002894409117288,Other and unspecified injuries of ankle and foot
481,T22,0.0002880695392377,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
482,Q23,0.000286769849481,Congenital malformations of aortic and mitral valves
483,N16,0.0002856577630154,Renal tubulo-interstitial disorders in diseases classified elsewhere
484,E01,0.0002809936122503,Iodine-deficiency related thyroid disorders and allied conditions
485,O21,0.0002784707176033,Excessive vomiting in pregnancy
486,S20,0.0002784052630886,Superficial injury of thorax
487,V19,0.0002770730352494,Pedal cycle rider injured in other and unspecified transport accidents
488,S22,0.0002747435937635,"Fracture of rib(s), sternum and thoracic spine"
489,D18,0.0002728616818785,"Hemangioma and lymphangioma, any site"
490,M46,0.0002709912077989,Other inflammatory spondylopathies
491,L84,0.0002708637330215,Corns and callosities
492,B27,0.0002685850486159,Infectious mononucleosis
493,I37,0.000267564173555,Nonrheumatic pulmonary valve disorders
494,W23,0.000266414892394,"Caught, crushed, jammed or pinched in or between objects"
495,I16,0.0002663334307726,Hypertensive crisis
496,R87,0.0002662939659785,Abnormal findings in specimens from female genital organs
497,K02,0.0002643467742018,Dental caries
498,W51,0.0002622119500301,Accidental striking against or bumped into by another person
499,R53,0.0002608906943351,Malaise and fatigue
500,Q18,0.0002608576905913,Other congenital malformations of face and neck
501,S86,0.0002548049669712,"Injury of muscle, fascia and tendon at lower leg level"
502,Z04,0.0002518985129427,Encounter for examination and observation for other reasons
503,G57,0.0002511663769837,Mononeuropathies of lower limb
504,B97,0.0002500497212167,Viral agents as the cause of diseases classified elsewhere
505,M85,0.0002490673214197,Other disorders of bone density and structure
506,M90,0.0002432064793538,Osteopathies in diseases classified elsewhere
507,O30,0.0002421743411105,Multiple gestation
508,T80,0.0002408395521342,"Complications following infusion, transfusion and therapeutic injection"
509,Q24,0.0002408314903732,Other congenital malformations of heart
510,L71,0.0002374768228037,Rosacea
511,G92,0.0002368277782807,Toxic encephalopathy
512,R12,0.0002360538928769,Heartburn
513,M62,0.0002346429391764,Other disorders of muscle
514,Q28,0.0002322431828361,Other congenital malformations of circulatory system
515,Z96,0.0002317670150659,Presence of other functional implants
516,N89,0.0002308993134647,Other noninflammatory disorders of vagina
517,N44,0.0002298139588674,Noninflammatory disorders of testis
518,W18,0.0002293525176355,"Other slipping, tripping and stumbling and falls"
519,A09,0.0002292523422511,"Infectious gastroenteritis and colitis, unspecified"
520,Z71,0.0002280003245687,"Persons encountering health services for other counseling and medical advice, not elsewhere classified"
521,Q90,0.0002274467988172,Down syndrome
522,W19,0.0002241526381112,Unspecified fall
523,Q38,0.0002236938453279,"Other congenital malformations of tongue, mouth and pharynx"
524,C56,0.0002235264837509,Malignant neoplasm of ovary
525,I89,0.0002209162194048,Other noninfective disorders of lymphatic vessels and lymph nodes
526,K91,0.0002185736957471,"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified"
527,Q62,0.000217701002839,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
528,D48,0.0002171763480873,Neoplasm of uncertain behavior of other and unspecified sites
529,L22,0.0002157822309527,Diaper dermatitis
530,C24,0.0002127085463143,Malignant neoplasm of other and unspecified parts of biliary tract
531,N49,0.0002122352307196,"Inflammatory disorders of male genital organs, not elsewhere classified"
532,E05,0.0002078901597997,Thyrotoxicosis [hyperthyroidism]
533,R99,0.0002032285265158,Other ill-defined and unspecified causes of mortality
534,O9A,0.0001995095663005,"Maternal malignant neoplasms, traumatic injuries and abuse classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
535,V09,0.0001994804333662,Pedestrian injured in other and unspecified transport accidents
536,C85,0.0001976152852876,Other specified and unspecified types of non-Hodgkin lymphoma
537,M93,0.0001969413569895,Other osteochondropathies
538,L40,0.0001966386480489,Psoriasis
539,W17,0.000194803593331,Other fall from one level to another
540,M71,0.0001923337695188,Other bursopathies
541,K26,0.000191473547602,Duodenal ulcer
542,E84,0.0001892251748358,Cystic fibrosis
543,S12,0.0001855021400842,Fracture of cervical vertebra and other parts of neck
544,E88,0.0001843253121478,Other and unspecified metabolic disorders
545,S16,0.0001829270768212,"Injury of muscle, fascia and tendon at neck level"
546,S09,0.0001807890221243,Other and unspecified injuries of head
547,G20,0.0001780729944584,Parkinson's disease
548,P28,0.0001779406011337,Other respiratory conditions originating in the perinatal period
549,R44,0.0001777205325197,Other symptoms and signs involving general sensations and perceptions
550,W34,0.0001777148281689,Accidental discharge and malfunction from other and unspecified firearms and guns
551,H43,0.0001753729156916,Disorders of vitreous body
552,E83,0.0001751258678268,Disorders of mineral metabolism
553,Z20,0.0001710837386781,Contact with and (suspected) exposure to communicable diseases
554,M77,0.0001710215874481,Other enthesopathies
555,S46,0.0001699310378171,"Injury of muscle, fascia and tendon at shoulder and upper arm level"
556,F48,0.0001697626430541,Other nonpsychotic mental disorders
557,C51,0.0001689493801677,Malignant neoplasm of vulva
558,T85,0.0001684103917796,"Complications of other internal prosthetic devices, implants and grafts"
559,M48,0.0001673618680797,Other spondylopathies
560,Z74,0.0001647017488721,Problems related to care provider dependency
561,M50,0.0001636022352613,Cervical disc disorders
562,R18,0.0001628001919016,Ascites
563,E89,0.0001625919539947,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified"
564,T25,0.0001622325944481,Burn and corrosion of ankle and foot
565,N36,0.0001605318830115,Other disorders of urethra
566,Z22,0.0001592296175658,Carrier of infectious disease
567,E86,0.000158797862241,Volume depletion
568,M95,0.0001581539545441,Other acquired deformities of musculoskeletal system and connective tissue
569,Z64,0.0001580680545885,Problems related to certain psychosocial circumstances
570,Z31,0.0001572581240907,Encounter for procreative management
571,T24,0.0001567441067891,"Burn and corrosion of lower limb, except ankle and foot"
572,L08,0.0001551157183712,Other local infections of skin and subcutaneous tissue
573,V78,0.000151984160766,Bus occupant injured in noncollision transport accident
574,S00,0.0001500535145169,Superficial injury of head
575,Q75,0.0001497585326433,Other congenital malformations of skull and face bones
576,B86,0.0001481138897361,Scabies
577,M87,0.0001479214988648,Osteonecrosis
578,Q37,0.0001464431697968,Cleft palate with cleft lip
579,N72,0.000146163845784,Inflammatory disease of cervix uteri
580,Q03,0.000145265716128,Congenital hydrocephalus
581,A04,0.0001435693557141,Other bacterial intestinal infections
582,R79,0.0001430734264431,Other abnormal findings of blood chemistry
583,Z16,0.0001430454140063,Resistance to antimicrobial drugs
584,E64,0.0001428729883627,Sequelae of malnutrition and other nutritional deficiencies
585,S29,0.0001398020831402,Other and unspecified injuries of thorax
586,L25,0.0001377248991047,Unspecified contact dermatitis
587,L70,0.0001375525898765,Acne
588,S93,0.0001371562102576,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level"
589,N61,0.0001356764842057,Inflammatory disorders of breast
590,L94,0.0001342015020782,Other localized connective tissue disorders
591,D14,0.000133003166411,Benign neoplasm of middle ear and respiratory system
592,N80,0.0001315153494942,Endometriosis
593,W22,0.0001310659718001,Striking against or struck by other objects
594,S88,0.000129441730678,Traumatic amputation of lower leg
595,T36,0.0001282751763937,"Poisoning by, adverse effect of and underdosing of systemic antibiotics"
596,I38,0.0001259288110304,"Endocarditis, valve unspecified"
597,H71,0.0001251469075214,Cholesteatoma of middle ear
598,N12,0.000125073158415,"Tubulo-interstitial nephritis, not specified as acute or chronic"
599,S05,0.0001246431929757,Injury of eye and orbit
600,K27,0.0001239132980117,"Peptic ulcer, site unspecified"
601,T83,0.000122859433759,"Complications of genitourinary prosthetic devices, implants and grafts"
602,D63,0.000121711025713,Anemia in chronic diseases classified elsewhere
603,D13,0.0001201509439852,Benign neoplasm of other and ill-defined parts of digestive system
604,E46,0.0001201157065224,Unspecified protein-calorie malnutrition
605,Q10,0.000119988915685,"Congenital malformations of eyelid, lacrimal apparatus and orbit"
606,D37,0.0001184773573186,Neoplasm of uncertain behavior of oral cavity and digestive organs
607,J31,0.000118338073662,"Chronic rhinitis, nasopharyngitis and pharyngitis"
608,H04,0.0001182260020868,Disorders of lacrimal system
609,N75,0.0001171772819361,Diseases of Bartholin's gland
610,K73,0.0001168291200883,"Chronic hepatitis, not elsewhere classified"
611,D35,0.0001165867652161,Benign neoplasm of other and unspecified endocrine glands
612,W20,0.0001149505478679,"Struck by thrown, projected or falling object"
613,R65,0.0001138400111813,Symptoms and signs specifically associated with systemic inflammation and infection
614,D75,0.0001130808595917,Other and unspecified diseases of blood and blood-forming organs
615,J47,0.0001124433256336,Bronchiectasis
616,Q35,0.000111400426249,Cleft palate
617,P59,0.0001107302159653,Neonatal jaundice from other and unspecified causes
618,D11,0.0001093966493499,Benign neoplasm of major salivary glands
619,I96,0.0001093092068913,"Gangrene, not elsewhere classified"
620,C90,0.0001090173609554,Multiple myeloma and malignant plasma cell neoplasms
621,Z32,0.0001086974734789,Encounter for pregnancy test and childbirth and childcare instruction
622,A63,0.0001086275078705,"Other predominantly sexually transmitted diseases, not elsewhere classified"
623,R29,0.0001081420050468,Other symptoms and signs involving the nervous and musculoskeletal systems
624,W11,0.0001056614055414,Fall on and from ladder
625,T66,0.000105431798147,Unspecified effects of radiation
626,A64,0.0001052282241289,Unspecified sexually transmitted disease
627,M34,0.0001051482540788,Systemic sclerosis [scleroderma]
628,B95,0.0001026360841933,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
629,H61,0.0001017599715851,Other disorders of external ear
630,H21,0.000100413133623,Other disorders of iris and ciliary body
631,Q65,9.838425467023626e-05,Congenital deformities of hip
632,R03,9.67830274021253e-05,"Abnormal blood-pressure reading, without diagnosis"
633,D50,9.633843001211062e-05,Iron deficiency anemia
634,I72,9.57496595219709e-05,Other aneurysm
635,K70,9.568429231876507e-05,Alcoholic liver disease
636,M26,9.538429003441706e-05,Dentofacial anomalies [including malocclusion]
637,Y09,9.53609196585603e-05,Assault by unspecified means
638,H47,9.24327250686474e-05,Other disorders of optic [2nd] nerve and visual pathways
639,R25,9.186066017718986e-05,Abnormal involuntary movements
640,E22,9.074827539734542e-05,Hyperfunction of pituitary gland
641,W01,9.057177521754056e-05,"Fall on same level from slipping, tripping and stumbling"
642,I74,8.894524216884747e-05,Arterial embolism and thrombosis
643,Z03,8.8468637841288e-05,Encounter for medical observation for suspected diseases and conditions ruled out
644,W54,8.798271301202476e-05,Bitten or struck by dog
645,G96,8.646392961964011e-05,Other disorders of central nervous system
646,L27,8.553561201551929e-05,Dermatitis due to substances taken internally
647,D73,8.549633639631793e-05,Diseases of spleen
648,I27,8.282243652502075e-05,Other pulmonary heart diseases
649,N19,8.279704343294725e-05,Unspecified kidney failure
650,Z92,8.231400715885684e-05,Personal history of medical treatment
651,L20,8.124290616251528e-05,Atopic dermatitis
652,S31,8.111122588161379e-05,"Open wound of abdomen, lower back, pelvis and external genitals"
653,R05,8.099477417999879e-05,Cough
654,Q79,7.942973752506077e-05,"Congenital malformations of musculoskeletal system, not elsewhere classified"
655,G51,7.927647675387561e-05,Facial nerve disorders
656,M53,7.922147779027e-05,"Other and unspecified dorsopathies, not elsewhere classified"
657,Y82,7.876554445829242e-05,Other and unspecified medical devices associated with adverse incidents
658,S91,7.810237730154768e-05,"Open wound of ankle, foot and toes"
659,C15,7.74497602833435e-05,Malignant neoplasm of esophagus
660,T43,7.728646596660838e-05,"Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified"
661,J70,7.727876072749496e-05,Respiratory conditions due to other external agents
662,E43,7.675815868424252e-05,Unspecified severe protein-energy malnutrition
663,F88,7.673700019950047e-05,Other disorders of psychological development
664,R36,7.605643622810021e-05,Urethral discharge
665,M12,7.530803850386292e-05,Other and unspecified arthropathy
666,L82,7.4956682510674e-05,Seborrhoeic keratosis
667,Q61,7.44234785088338e-05,Cystic kidney disease
668,T87,7.434110011672601e-05,Complications peculiar to reattachment and amputation
669,Z48,7.397046283585951e-05,Encounter for other postprocedural aftercare
670,B02,7.376458233920857e-05,Zoster [herpes zoster]
671,D07,7.332358654821292e-05,Carcinoma in situ of other and unspecified genital organs
672,F07,7.3209848778788e-05,Personality and behavioral disorders due to known physiological condition
673,E06,7.316478149732575e-05,Thyroiditis
674,C32,7.1826929342933e-05,Malignant neoplasm of larynx
675,E27,7.174906932050362e-05,Other disorders of adrenal gland
676,W57,7.101730443537235e-05,Bitten or stung by nonvenomous insect and other nonvenomous arthropods
677,S23,7.058155460981652e-05,Dislocation and sprain of joints and ligaments of thorax
678,F45,6.943365588085726e-05,Somatoform disorders
679,M41,6.89527514623478e-05,Scoliosis
680,F72,6.866256444482133e-05,Severe intellectual disabilities
681,D68,6.776275404263288e-05,Other coagulation defects
682,B37,6.732688780175522e-05,Candidiasis
683,V18,6.711322930641472e-05,Pedal cycle rider injured in noncollision transport accident
684,K28,6.704258703393862e-05,Gastrojejunal ulcer
685,S03,6.683264655293897e-05,Dislocation and sprain of joints and ligaments of head
686,E65,6.670189031865448e-05,Localized adiposity
687,W29,6.658608617726713e-05,Contact with other powered hand tools and household machinery
688,R16,6.63878527120687e-05,"Hepatomegaly and splenomegaly, not elsewhere classified"
689,X93,6.480223964899778e-05,Assault by handgun discharge
690,K38,6.409947673091665e-05,Other diseases of appendix
691,J61,6.358988321153447e-05,Pneumoconiosis due to asbestos and other mineral fibres
692,K20,6.33454619674012e-05,Oesophagitis
693,B99,6.286274583544582e-05,Other and unspecified infectious diseases
694,S10,6.268951983656734e-05,Superficial injury of neck
695,N42,6.154274160508066e-05,Other and unspecified disorders of prostate
696,M35,6.117741577327251e-05,Other systemic involvement of connective tissue
697,O40,6.058009239495732e-05,Polyhydramnios
698,H10,6.045085683581419e-05,Conjunctivitis
699,Z13,5.949152182438411e-05,Encounter for screening for other diseases and disorders
700,T84,5.863129990757443e-05,"Complications of internal orthopedic prosthetic devices, implants and grafts"
701,I83,5.7680721511133015e-05,Varicose veins of lower extremities
702,O92,5.756520113209263e-05,Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium
703,F70,5.7330595154780895e-05,Mild intellectual disabilities
704,F22,5.715212319046259e-05,Delusional disorders
705,J20,5.684299321728759e-05,Acute bronchitis
706,Q36,5.676711953128688e-05,Cleft lip
707,C16,5.648542719427496e-05,Malignant neoplasm of stomach
708,G70,5.636846253764816e-05,Myasthenia gravis and other myoneural disorders
709,S79,5.618249633698724e-05,Other and unspecified injuries of hip and thigh
710,E79,5.594668255071156e-05,Disorders of purine and pyrimidine metabolism
711,C07,5.58660613023676e-05,Malignant neoplasm of parotid gland
712,Z43,5.492627678904682e-05,Encounter for attention to artificial openings
713,W50,5.444934868137352e-05,"Hit, struck, kicked, twisted, bitten or scratched by another person"
714,F81,5.436480569187552e-05,Specific developmental disorders of scholastic skills
715,A69,5.398688881541602e-05,Other spirochetal infections
716,I79,5.3760250011691824e-05,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
717,A49,5.3630417824024335e-05,Bacterial infection of unspecified site
718,S80,5.259743193164468e-05,Superficial injury of knee and lower leg
719,T78,5.256605800241232e-05,"Adverse effects, not elsewhere classified"
720,G25,5.1571609219536185e-05,Other extrapyramidal and movement disorders
721,V79,5.148073978489265e-05,Bus occupant injured in other and unspecified transport accidents
722,F98,5.140628854860552e-05,Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence
723,W05,5.105582022224553e-05,"Fall from non-moving wheelchair, nonmotorized scooter and motorized mobility scooter"
724,Q83,5.059234536020085e-05,Congenital malformations of breast
725,E16,5.047350350650959e-05,Other disorders of pancreatic internal secretion
726,T65,5.0173890485893935e-05,Toxic effect of other and unspecified substances
727,K94,4.98081099067349e-05,Complications of artificial openings of the digestive system
728,D51,4.913997327093966e-05,Vitamin B12 deficiency anemia
729,E55,4.852019264944829e-05,Vitamin D deficiency
730,S50,4.827522570849396e-05,Superficial injury of elbow and forearm
731,S90,4.7274075768655166e-05,"Superficial injury of ankle, foot and toes"
732,W06,4.643261854653247e-05,Fall from bed
733,G04,4.567448922898621e-05,"Encephalitis, myelitis and encephalomyelitis"
734,C69,4.536038613878191e-05,Malignant neoplasm of eye and adnexa
735,G14,4.498640555539168e-05,Postpolio syndrome
736,C45,4.4927601265953854e-05,Mesothelioma
737,J42,4.436889867065474e-05,Unspecified chronic bronchitis
738,R78,4.427186286193319e-05,"Findings of drugs and other substances, not normally found in blood"
739,A08,4.415384682943113e-05,Viral and other specified intestinal infections
740,K51,4.3195639591431245e-05,Ulcerative colitis
741,G03,4.305181937525049e-05,Meningitis due to other and unspecified causes
742,H74,4.244458978064358e-05,Other disorders of middle ear mastoid
743,M14,4.234707012074068e-05,Arthropathies in other diseases classified elsewhere
744,S56,4.1902269003912807e-05,"Injury of muscle, fascia and tendon at forearm level"
745,Q69,4.176213769824244e-05,Polydactyly
746,A40,4.1422739741392434e-05,Streptococcal sepsis
747,M70,4.127939973841421e-05,"Soft tissue disorders related to use, overuse and pressure"
748,D86,4.1260584112023935e-05,Sarcoidosis
749,J21,4.124992847209796e-05,Acute bronchiolitis
750,S73,4.1090937884291634e-05,Dislocation and sprain of joint and ligaments of hip
751,R68,4.108173379790969e-05,Other general symptoms and signs
752,T34,4.097394048585557e-05,Frostbite with tissue necrosis
753,R23,4.041984720970504e-05,Other skin changes
754,G50,4.0339698898606e-05,Disorders of trigeminal nerve
755,K25,3.956285945605487e-05,Gastric ulcer
756,N30,3.896007547155023e-05,Cystitis
757,R58,3.871350781992078e-05,"Hemorrhage, not elsewhere classified"
758,Y84,3.832170841633342e-05,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
759,S96,3.79554221581202e-05,Injury of muscle and tendon at ankle and foot level
760,D89,3.7928195524727926e-05,"Other disorders involving the immune mechanism, not elsewhere classified"
761,S13,3.759014362003654e-05,Dislocation and sprain of joints and ligaments at neck level
762,I26,3.7365691241575405e-05,Pulmonary embolism
763,T75,3.7231871829135343e-05,Other and unspecified effects of other external causes
764,S34,3.719625965459272e-05,"Injury of lumbar and sacral spinal cord and nerves at abdomen, lower back and pelvis level"
765,J15,3.684581679408439e-05,"Bacterial pneumonia, not elsewhere classified"
766,L88,3.6658333556260914e-05,Pyoderma gangrenosum
767,A31,3.629248385550454e-05,Infection due to other mycobacteria
768,H60,3.624252349254675e-05,Otitis externa
769,K58,3.618977643782273e-05,Irritable bowel syndrome
770,R90,3.6022000131197274e-05,Abnormal findings on diagnostic imaging of central nervous system
771,O28,3.574506627046503e-05,Abnormal findings on antenatal screening of mother
772,K92,3.557928357622586e-05,Other diseases of digestive system
773,Z08,3.555767398211174e-05,Encounter for follow-up examination after completed treatment for malignant neoplasm
774,X19,3.5444507375359535e-05,Contact with other heat and hot substances
775,L04,3.530812682583928e-05,Acute lymphadenitis
776,E53,3.5013272281503305e-05,Deficiency of other B group vitamins
777,V48,3.499550439300947e-05,Car occupant injured in noncollision transport accident
778,H55,3.4985314414370805e-05,Nystagmus and other irregular eye movements
779,Z18,3.4282471460755914e-05,Retained foreign body fragments
780,W62,3.4056407457683235e-05,Contact with nonvenomous amphibians
781,N82,3.381042552064173e-05,Fistulae involving female genital tract
782,N91,3.3715561585268006e-05,"Absent, scanty and rare menstruation"
783,Z62,3.366766395629384e-05,Problems related to upbringing
784,K46,3.3117994462372735e-05,Unspecified abdominal hernia
785,R39,3.285589991719462e-05,Other and unspecified symptoms and signs involving the genitourinary system
786,Q07,3.251815360272303e-05,Other congenital malformations of nervous system
787,Y90,3.2367028325097635e-05,Evidence of alcohol involvement determined by blood alcohol level
788,V76,3.218436540919356e-05,Bus occupant injured in collision with other nonmotor vehicle
789,M31,3.214902608306147e-05,Other necrotizing vasculopathies
790,Z36,3.213894524378702e-05,Encounter for antenatal screening of mother
791,Z38,3.2133761123986915e-05,Liveborn infants according to place of birth and type of delivery
792,W46,3.2002029911382124e-05,Contact with hypodermic needle
793,M89,3.155233571305871e-05,Other disorders of bone
794,J69,3.119402390439063e-05,Pneumonitis due to solids and liquids
795,F05,3.092403130722232e-05,Delirium due to known physiological condition
796,D70,3.050599480047822e-05,Neutropenia
797,J01,3.04463737847982e-05,Acute sinusitis
798,S40,3.0275592507678084e-05,Superficial injury of shoulder and upper arm
799,Q87,2.9523986086132936e-05,Other specified congenital malformation syndromes affecting multiple systems
800,T21,2.9154523872421123e-05,Burn and corrosion of trunk
801,V99,2.8830889277742244e-05,Unspecified transport accident
802,E30,2.8545939130708572e-05,"Disorders of puberty, not elsewhere classified"
803,Q32,2.8429178200894967e-05,Congenital malformations of trachea and bronchus
804,O20,2.8412407118594277e-05,Hemorrhage in early pregnancy
805,S14,2.8372885935823436e-05,Injury of nerves and spinal cord at neck level
806,S67,2.817873610183597e-05,"Crushing injury of wrist, hand and fingers"
807,Q76,2.816153755702544e-05,Congenital malformations of spine and bony thorax
808,C57,2.750784369709436e-05,Malignant neoplasm of other and unspecified female genital organs
809,C21,2.7381358449929397e-05,Malignant neoplasm of anus and anal canal
810,Q85,2.72162797045894e-05,"Phakomatoses, not elsewhere classified"
811,T32,2.7173942726221867e-05,Corrosions classified according to extent of body surface involved
812,B59,2.712947753025219e-05,Pneumocystosis
813,M13,2.6616224204190075e-05,Other arthritis
814,E24,2.6506546419113874e-05,Cushing's syndrome
815,L92,2.6113795684068464e-05,Granulomatous disorders of skin and subcutaneous tissue
816,O23,2.5824752810876817e-05,Infections of genitourinary tract in pregnancy
817,L01,2.55073573498521e-05,Impetigo
818,M76,2.5504297809675336e-05,"Enthesopathies, lower limb, excluding foot"
819,H53,2.5501281925244257e-05,Visual disturbances
820,M11,2.515432788641192e-05,Other crystal arthropathies
821,Z63,2.50305329245748e-05,"Other problems related to primary support group, including family circumstances"
822,T14,2.480560215190053e-05,Injury of unspecified body region
823,R35,2.478167152730748e-05,Polyuria
824,G95,2.4586599465692416e-05,Other and unspecified diseases of spinal cord
825,N31,2.430668246233836e-05,"Neuromuscular dysfunction of bladder, not elsewhere classified"
826,C48,2.429040978313424e-05,Malignant neoplasm of retroperitoneum and peritoneum
827,D56,2.3950588001753204e-05,Thalassemia
828,R74,2.338274498470128e-05,Abnormal serum enzyme levels
829,L53,2.318199403816834e-05,Other erythematous conditions
830,N34,2.310781565029174e-05,Urethritis and urethral syndrome
831,E09,2.2976491891313344e-05,Drug or chemical induced diabetes mellitus
832,D47,2.2933432774152607e-05,"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
833,D46,2.237216358480509e-05,Myelodysplastic syndromes
834,M1A,2.217700966866687e-05,Chronic gout
835,V69,2.2154108592076227e-05,Occupant of heavy transport vehicle injured in other and unspecified transport accidents
836,D39,2.206573844887316e-05,Neoplasm of uncertain behavior of female genital organs
837,Z15,2.1768473743577488e-05,Genetic susceptibility to disease
838,H46,2.1731382730649784e-05,Optic neuritis
839,M92,2.170377774746157e-05,Other juvenile osteochondrosis
840,P04,2.1592359189526175e-05,Newborn affected by noxious substances transmitted via placenta or breast milk
841,S19,2.1529895093408413e-05,Other specified and unspecified injuries of neck
842,M36,2.146609585906845e-05,Systemic disorders of connective tissue in diseases classified elsewhere
843,R89,2.1379388272180225e-05,"Abnormal findings in specimens from other organs, systems and tissues"
844,N65,2.1103582184878175e-05,Deformity and disproportion of reconstructed breast
845,S30,2.0895389752695337e-05,"Superficial injury of abdomen, lower back, pelvis and external genitals"
846,F90,2.069165748252999e-05,Attention-deficit hyperactivity disorders
847,S69,2.0603512894012965e-05,"Other and unspecified injuries of wrist, hand and finger(s)"
848,E72,2.054762444458902e-05,Other disorders of amino-acid metabolism
849,O60,2.04932384804124e-05,Preterm labor
850,H49,2.0401108486112207e-05,Paralytic strabismus
851,K12,2.0259567463654093e-05,Stomatitis and related lesions
852,Z28,2.0242656319169328e-05,Immunization not carried out and underimmunization status
853,V28,2.0165363821433857e-05,Motorcycle rider injured in noncollision transport accident
854,M00,2.0134768419666216e-05,Pyogenic arthritis
855,H52,2.0097078959224746e-05,Disorders of refraction and accommodation
856,J04,2.0089897589059547e-05,Acute laryngitis and tracheitis
857,X83,1.9946264728787355e-05,Intentional self-harm by other specified means
858,O75,1.9771026927628554e-05,"Other complications of labor and delivery, not elsewhere classified"
859,G45,1.971437814063393e-05,Transient cerebral ischemic attacks and related syndromes
860,G44,1.9706287275766957e-05,Other headache syndromes
861,T19,1.9617709767771885e-05,Foreign body in genitourinary tract
862,B00,1.939879985002335e-05,Herpesviral [herpes simplex] infections
863,E85,1.9347164197824892e-05,Amyloidosis
864,T31,1.927577613969333e-05,Burns classified according to extent of body surface involved
865,T44,1.914586209750269e-05,"Poisoning by, adverse effect of and underdosing of drugs primarily affecting the autonomic nervous system"
866,Q17,1.9084553059656173e-05,Other congenital malformations of ear
867,N41,1.8888935301220044e-05,Inflammatory diseases of prostate
868,K72,1.8829545297194272e-05,"Hepatic failure, not elsewhere classified"
869,I24,1.877196154964622e-05,Other acute ischemic heart diseases
870,R82,1.855149821494706e-05,Other and unspecified abnormal findings in urine
871,K55,1.840414734033402e-05,Vascular disorders of intestine
872,W55,1.8312130123376846e-05,Bitten or struck by other mammals
873,S51,1.8172358977608383e-05,Open wound of elbow and forearm
874,O82,1.790331953088753e-05,Encounter for cesarean delivery without indication
875,Q20,1.779494596121367e-05,Congenital malformations of cardiac chambers and connections
876,I68,1.7706686776364222e-05,Cerebrovascular disorders in diseases classified elsewhere
877,Q43,1.7340737031190656e-05,Other congenital malformations of intestine
878,Y07,1.719243300613016e-05,"Perpetrator of assault, maltreatment and neglect"
879,S60,1.7187710909638554e-05,"Superficial injury of wrist, hand and fingers"
880,G72,1.7178819689434022e-05,Other and unspecified myopathies
881,I82,1.7111469787778333e-05,Other venous embolism and thrombosis
882,R71,1.708198760752566e-05,Abnormality of red blood cells
883,Z73,1.702083318377845e-05,Problems related to life management difficulty
884,W10,1.676844658504706e-05,Fall on and from stairs and steps
885,C81,1.6731652067392133e-05,Hodgkin lymphoma
886,Z81,1.6670181139488705e-05,Family history of mental and behavioral disorders
887,B35,1.6586416677455418e-05,Dermatophytosis
888,K90,1.637517380004283e-05,Intestinal malabsorption
889,E80,1.619273461983539e-05,Disorders of porphyrin and bilirubin metabolism
890,G71,1.608436468814034e-05,Primary disorders of muscles
891,C7A,1.607462218089495e-05,Malignant neuroendocrine tumors
892,O71,1.6038235116866417e-05,Other obstetric trauma
893,Q74,1.598574272065889e-05,Other congenital malformations of limb(s)
894,R14,1.5868499758653343e-05,Flatulence and related conditions
895,G46,1.5151136722124647e-05,Vascular syndromes of brain in cerebrovascular diseases
