ICD10_3Digits,n_encounters_with_dx,score_abs,score_sq,DIAGNOSIS_DESCRIPTION
T40,52381,7037.464521,6318.896229,"Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]"
R09,339040,6996.856598,3275.217029,Other symptoms and signs involving the circulatory and respiratory system
D69,278375,6991.814572,3771.783864,Purpura and other hemorrhagic conditions
R56,193277,6892.920047,5019.497217,"Convulsions, not elsewhere classified"
K31,185296,6570.228307,5428.559304,Other diseases of stomach and duodenum
O09,232292,6565.528831,4768.638483,Supervision of high risk pregnancy
R42,348197,6537.092655,2817.133659,Dizziness and giddiness
L89,198018,6518.875125,5183.005585,Pressure ulcer
F33,77985,6506.705105,5967.798235,"Major depressive disorder, recurrent"
M17,329554,6367.134373,2720.239182,Osteoarthritis of knee
K76,256634,6336.940541,3433.332192,Other diseases of liver
K08,212574,6301.484605,4548.214855,Other disorders of teeth and supporting structures
R60,250744,6198.38841,3497.432495,"Edema, not elsewhere classified"
N40,364090,6185.593655,2069.673125,Hyperplasia of prostate
M62,226631,6163.994654,3566.979614,Other disorders of muscle
W19,336519,6162.728449,2601.268062,Unspecified fall
R73,283780,6146.999523,3013.464117,Elevated blood glucose level
Z76,84855,6104.95996,5719.210913,Persons encountering health services in other circumstances
B37,231475,6018.934154,3387.905301,Candidiasis
K74,161106,6005.703639,4449.649763,Fibrosis and cirrhosis of liver
K52,268536,6003.337224,3157.367249,Other and unspecified noninfective gastroenteritis and colitis
I42,291496,5989.883844,2730.212784,Cardiomyopathy
Y93,353623,5969.43948,2141.655743,Activity codes
L97,169846,5958.296565,4664.474022,"Non-pressure chronic ulcer of lower limb, not elsewhere classified"
K85,159469,5926.397078,4819.935824,Acute pancreatitis
K86,110817,5892.521921,5906.660244,Other diseases of pancreas
D62,325788,5877.224015,2398.347046,Acute posthaemorrhagic anaemia
C34,234089,5835.861775,3126.003417,Malignant neoplasm of bronchus and lung
R13,291011,5639.300625,2361.877572,Aphagia and dysphagia
I82,201300,5603.78358,3489.460714,Other venous embolism and thrombosis
N13,302141,5596.767076,2285.42444,Obstructive and reflux uropathy
M06,184888,5572.666487,3921.952211,Other rheumatoid arthritis
R79,254428,5566.405043,2703.660545,Other abnormal findings of blood chemistry
R65,194434,5563.569234,3254.410284,Symptoms and signs specifically associated with systemic inflammation and infection
L98,185108,5465.393559,3388.317291,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
C50,257975,5454.897944,2041.711115,Malignant neoplasm of breast
W18,320898,5448.799105,2155.857842,"Other slipping, tripping and stumbling and falls"
B95,166496,5444.308129,3282.524353,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
K56,228355,5414.565415,3028.777324,Paralytic ileus and intestinal obstruction without hernia
F15,46085,5313.384532,4413.307505,Other stimulant related disorders
K64,383613,5226.312329,1384.163674,Hemorrhoids and perianal venous thrombosis
Y99,262172,5039.936582,2229.8209,External cause status
B96,218513,5035.641682,2559.517698,Other bacterial agents as the cause of diseases classified elsewhere
L02,114002,5009.432593,3856.070297,"Cutaneous abscess, furuncle and carbuncle"
S09,236782,4939.308641,2363.190868,Other and unspecified injuries of head
Z80,279849,4925.979015,1987.112403,Family history of primary malignant neoplasm
R52,146657,4772.490988,3194.078592,"Pain, unspecified"
M81,234739,4651.406882,2179.559278,Osteoporosis without current pathological fracture
R31,237219,4603.210993,1944.337662,Hematuria
T50,107683,4599.53273,3197.208422,"Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances"
I27,198812,4566.962686,2498.644731,Other pulmonary heart diseases
Y83,256992,4557.050843,1866.926703,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
O9A,235776,4524.740149,2054.533689,"Maternal malignant neoplasms, traumatic injuries and abuse classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
K62,243854,4524.330247,2128.096653,Other diseases of anus and rectum
K50,105074,4504.055959,4206.899718,Crohn's disease [regional enteritis]
K44,266427,4500.150733,1709.477498,Diaphragmatic hernia
R63,194338,4350.516923,2188.380605,Symptoms and signs concerning food and fluid intake
R74,168602,4331.59477,2309.412155,Abnormal serum enzyme levels
Z93,146637,4257.979461,2812.042553,Artificial opening status
B20,64474,4217.925574,4477.989328,Human immunodeficiency virus [HIV] disease
E10,101813,4210.441368,3826.323002,Type 1 diabetes mellitus
J20,186268,4207.051,2108.46071,Acute bronchitis
Z00,247559,4177.943331,1423.757495,"Encounter for general examination without complaint, suspected or reported diagnosis"
R91,194659,4176.545392,1885.655357,Abnormal findings on diagnostic imaging of lung
I70,242849,4162.194189,1433.358266,Atherosclerosis
R33,202011,4135.034057,1877.71248,Retention of urine
C79,179885,4134.84769,2197.446386,Secondary malignant neoplasm of other and unspecified sites
Z53,171665,4116.883366,2222.529138,"Persons encountering health services for specific procedures and treatment, not carried out"
K02,179595,4097.132493,2285.472533,Dental caries
Z66,263163,4086.918023,1232.770648,Do not resuscitate
M10,215714,4056.073063,1794.491075,Gout
R20,195407,4041.63731,1915.738871,Disturbances of skin sensation
K70,96169,4010.967809,3030.059659,Alcoholic liver disease
Z09,248942,3964.327991,1288.514045,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
I34,234928,3920.920003,1366.429779,Nonrheumatic mitral valve disorders
F13,13500,3917.412848,3297.242303,"Sedative, hypnotic, or anxiolytic related disorders"
M48,145099,3874.933085,2440.930209,Other spondylopathies
I49,230227,3858.71358,1237.958435,Other cardiac arrhythmias
K63,280654,3831.772775,1120.031647,Other diseases of intestine
F03,237755,3813.499472,992.867335,Unspecified dementia
R18,130888,3796.674782,2523.577318,Ascites
S82,167544,3781.198303,1811.453691,"Fracture of lower leg, including ankle"
S42,200789,3766.526926,1290.565886,Fracture of shoulder and upper arm
Z89,104772,3756.123395,2926.885629,Acquired absence of limb
I63,181354,3709.843128,1595.266319,Cerebral infarction
J06,204959,3705.286063,1454.992678,Acute upper respiratory infections of multiple and unspecified sites
S72,179384,3703.153779,1568.050825,Fracture of femur
K40,204013,3680.016907,1440.916008,Inguinal hernia
Z83,184874,3671.584157,1639.579607,Family history of other specific disorders
K22,176601,3652.986266,1770.243315,Other diseases of esophagus
J02,217694,3631.847893,1241.678518,Acute pharyngitis
Z94,143228,3594.648064,1925.659856,Transplanted organ and tissue status
Z59,44638,3585.337588,2728.540751,Problems related to housing and economic circumstances
M12,178623,3570.861858,1757.848366,Other and unspecified arthropathy
O80,279746,3567.828024,793.919054,Encounter for full-term uncomplicated delivery
Z48,185209,3563.43711,1588.926229,Encounter for other postprocedural aftercare
Z33,166731,3563.094626,1901.584861,Pregnant state
O34,214053,3537.366725,1187.881437,Maternal care for abnormality of pelvic organs
I69,157393,3461.446379,1682.18129,Sequelae of cerebrovascular disease
M50,128110,3437.43371,2143.009052,Cervical disc disorders
S22,141329,3426.290609,1847.748726,"Fracture of rib(s), sternum and thoracic spine"
M32,85721,3398.62102,3001.005541,Systemic lupus erythematosus (SLE)
N83,208209,3392.703202,1242.072037,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
R30,167341,3368.150838,1611.215665,Pain associated with micturition
I35,201459,3363.134003,943.537677,Nonrheumatic aortic valve disorders
S33,171779,3341.255914,1560.984297,Dislocation and sprain of joints and ligaments of lumbar spine and pelvis
C78,165086,3325.648053,1476.221855,Secondary malignant neoplasm of respiratory and digestive organs
J69,108589,3313.881083,1944.85777,Pneumonitis due to solids and liquids
R40,103451,3312.499765,2033.672076,"Somnolence, stupor and coma"
T82,163227,3309.142047,1513.228893,"Complications of cardiac and vascular prosthetic devices, implants and grafts"
F20,69739,3296.092492,2839.563915,Schizophrenia
I26,107442,3289.334742,2076.582838,Pulmonary embolism
F34,87014,3273.414332,2285.512667,Persistent mood [affective] disorders
E55,168609,3272.492511,1449.473817,Vitamin D deficiency
S61,159768,3220.616628,1448.75019,"Open wound of wrist, hand and fingers"
D68,114876,3196.538846,2055.838109,Other coagulation defects
S62,168372,3163.616585,1195.2234,Fracture at wrist and hand level
T42,39046,3115.128495,2612.340947,"Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs"
M86,75985,3108.870465,2410.559252,Osteomyelitis
I87,117420,3106.707312,1825.1952,Other disorders of veins
Z02,85323,3093.626957,2593.733413,Encounter for administrative examination
Z30,208404,3090.6949,723.796131,Encounter for contraceptive management
I11,163447,3075.497853,1280.634275,Hypertensive heart disease
S01,148877,3061.161803,1402.208679,Open wound of head
R21,136363,3052.705418,1580.527555,Rash and other nonspecific skin eruption
T81,144446,3047.226469,1456.449986,"Complications of procedures, not elsewhere classified"
I47,159467,3031.938851,1167.515832,Paroxysmal tachycardia
J32,176978,3026.608056,963.717107,Chronic sinusitis
R26,149346,3002.32538,1342.370112,Abnormalities of gait and mobility
Z23,172912,2994.812054,1105.510948,Encounter for immunization
S02,115434,2992.417261,1716.580897,Fracture of skull and facial bones
F90,84276,2980.519602,2036.554428,Attention-deficit hyperactivity disorders
M99,112176,2945.384496,1832.822434,"Biomechanical lesions, not elsewhere classified"
S16,160707,2930.094452,1214.402448,"Injury of muscle, fascia and tendon at neck level"
C61,147034,2914.582548,1133.424276,Malignant neoplasm of prostate
R29,140530,2909.356096,1359.396344,Other symptoms and signs involving the nervous and musculoskeletal systems
S32,114935,2888.987279,1640.664805,Fracture of lumbar spine and pelvis
F39,29153,2871.063511,2603.953024,Unspecified mood [affective] disorder
I65,179166,2859.436328,709.015054,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
K58,103802,2817.04375,1777.121897,Irritable bowel syndrome
Z92,148376,2801.209654,1197.415428,Personal history of medical treatment
S83,177201,2787.860574,581.764834,Dislocation and sprain of joints and ligaments of knee
M16,138391,2783.962869,1241.905704,Osteoarthritis of hip
K04,103733,2769.209892,1721.652431,Diseases of pulp and periapical tissues
S10,139542,2763.132714,1236.412039,Superficial injury of neck
J40,131615,2762.643685,1315.181589,"Bronchitis, not specified as acute or chronic"
N28,151321,2742.762292,1047.876346,"Other disorders of kidney and ureter, not elsewhere classified"
J91,148828,2740.003614,1038.985685,Pleural effusion in conditions classified elsewhere
M75,155856,2729.692494,923.817712,Shoulder lesions
I51,154806,2716.131031,1051.792211,Complications and ill-defined descriptions of heart disease
G25,94922,2711.049125,1678.752784,Other extrapyramidal and movement disorders
O70,244242,2687.538785,427.649658,Perineal laceration during delivery
X58,171870,2663.584187,858.17166,Exposure to other specified factors
S06,124605,2647.444557,1230.021722,Intracranial injury
I67,133488,2628.091987,1114.202,Other cerebrovascular diseases
N92,181649,2626.6467,563.803555,"Excessive, frequent and irregular menstruation"
R03,120277,2625.971217,1407.271476,"Abnormal blood-pressure reading, without diagnosis"
R69,67187,2616.554502,1834.009031,Unknown and unspecified causes of morbidity
G82,53978,2589.536942,2385.019297,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
F29,57585,2564.443005,1956.606453,Unspecified psychosis not due to a substance or known physiological condition
S92,116291,2546.76852,1229.670625,"Fracture of foot and toe, except ankle"
G56,122767,2520.398259,1074.091202,Mononeuropathies of upper limb
D25,175233,2501.285463,540.880499,Leiomyoma of uterus
K43,122099,2489.796366,1125.094917,Ventral hernia
R22,134560,2488.468972,991.82712,"Localized swelling, mass and lump of skin and subcutaneous tissue"
I44,163026,2479.195715,689.951796,Atrioventricular and left bundle-branch block
J15,82375,2461.531321,1488.818139,"Bacterial pneumonia, not elsewhere classified"
G62,80274,2411.34813,1432.52854,Other and unspecified polyneuropathies
T84,99755,2404.340917,1402.753015,"Complications of internal orthopedic prosthetic devices, implants and grafts"
S52,126995,2396.418413,723.516653,Fracture of forearm
O26,108124,2382.008815,1264.860307,Maternal care for other conditions predominantly related to pregnancy
M94,146483,2378.752641,886.148827,Other disorders of cartilage
R68,121118,2366.765295,1064.53744,Other general symptoms and signs
R78,69744,2359.868658,1466.734379,"Findings of drugs and other substances, not normally found in blood"
O36,119857,2350.77947,1122.781341,Maternal care for other fetal problems
C18,112051,2345.037577,910.022324,Malignant neoplasm of colon
Z13,134564,2323.994311,899.203248,Encounter for screening for other diseases and disorders
K72,66174,2316.548696,1600.314725,"Hepatic failure, not elsewhere classified"
S99,130289,2315.292277,959.646591,Other and unspecified injuries of ankle and foot
I71,126137,2302.034956,795.330728,Aortic aneurysm and dissection
J43,92688,2299.7113,1290.331033,Emphysema
R04,100928,2297.899577,1126.306586,Hemorrhage from respiratory passages
S20,116057,2256.387639,988.153178,Superficial injury of thorax
J35,178230,2246.79732,129.324625,Chronic diseases of tonsils and adenoids
F25,30686,2233.939616,2242.725891,Schizoaffective disorders
E43,81925,2227.744108,1253.152455,Unspecified severe protein-energy malnutrition
Z47,137549,2225.069074,541.158669,Orthopedic aftercare
D61,83383,2217.285893,1239.032753,Other aplastic anemias and other bone marrow failure syndromes
I13,114166,2216.643654,933.234377,Hypertensive heart and renal disease
G92,41767,2178.699065,1437.083815,Toxic encephalopathy
M46,43045,2166.121912,1870.63326,Other inflammatory spondylopathies
S60,112209,2165.481541,941.944119,"Superficial injury of wrist, hand and fingers"
N89,111912,2148.529677,959.827814,Other noninflammatory disorders of vagina
R59,116097,2144.668707,839.215847,Enlarged lymph nodes
I22,130918,2141.892904,739.550672,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
S80,112746,2135.883251,932.617129,Superficial injury of knee and lower leg
O60,99357,2126.678606,1063.813357,Preterm labor
Z22,118133,2120.761541,868.862467,Carrier of infectious disease
M96,38182,2117.533663,2257.352867,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified"
N30,101198,2113.787283,1055.331142,Cystitis
Y84,103819,2099.396747,956.174437,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
I21,113178,2073.356324,769.449793,ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
G60,70673,2064.341956,1309.415841,Hereditary and idiopathic neuropathy
H66,139378,2035.986902,470.272044,Suppurative and unspecified otitis media
J90,92684,2035.949517,901.924465,"Pleural effusion, not elsewhere classified"
A04,74494,2027.547388,1223.405782,Other bacterial intestinal infections
F60,20199,2016.872681,1696.850471,Specific personality disorders
N93,130757,2010.047238,568.9326,Other abnormal uterine and vaginal bleeding
G35,54984,2004.105629,1667.638382,Multiple sclerosis
S39,103818,1996.912751,900.573452,"Other and unspecified injuries of abdomen, lower back, pelvis and external genitals"
R62,109206,1991.054944,753.136735,Lack of expected normal physiological development in childhood and adults
H40,117096,1977.832601,675.000317,Glaucoma
I45,107861,1974.213053,817.123413,Other conduction disorders
Z45,126233,1953.815572,440.315811,Encounter for adjustment and management of implanted device
K35,140106,1949.563964,351.371597,Acute appendicitis
T14,91297,1945.185496,909.260799,Injury of unspecified body region
Z21,41991,1934.338028,1597.40349,Asymptomatic human immunodeficiency virus [HIV] infection status
R93,117310,1899.548226,672.978655,Abnormal findings on diagnostic imaging of other body structures
S43,118698,1894.978207,570.242763,Dislocation and sprain of joints and ligaments of shoulder girdle
K42,115239,1888.764308,580.752283,Umbilical hernia
N29,106001,1882.645543,763.853457,Other disorders of kidney and ureter in diseases classified elsewhere
S90,95583,1866.74352,837.75256,"Superficial injury of ankle, foot and toes"
Z78,94508,1863.47978,785.439387,Other specified health status
S96,104955,1860.096072,736.889149,Injury of muscle and tendon at ankle and foot level
S30,94234,1856.127245,811.075364,"Superficial injury of abdomen, lower back, pelvis and external genitals"
R47,92135,1848.786121,817.650932,"Speech disturbances, not elsewhere classified"
K20,91953,1833.004795,853.581507,Oesophagitis
H53,91651,1829.711944,864.190779,Visual disturbances
N99,126156,1825.524721,551.888414,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified"
M41,75387,1817.38655,901.646701,Scoliosis
S91,85962,1811.849865,864.643836,"Open wound of ankle, foot and toes"
K81,111064,1794.876611,623.461791,Cholecystitis
S70,86294,1788.693687,885.31335,Superficial injury of hip and thigh
J30,113900,1774.300118,568.176767,Vasomotor and allergic rhinitis
O47,102944,1770.813639,652.152386,False labor
T43,22338,1761.031077,1443.605231,"Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified"
Z39,126941,1756.635274,318.596962,Encounter for maternal postpartum care and examination
Z71,73693,1746.106272,874.790463,"Persons encountering health services for other counseling and medical advice, not elsewhere classified"
H92,102197,1684.366967,624.867635,Otalgia and effusion of ear
J84,75933,1662.389929,808.608925,Other interstitial pulmonary diseases
O69,147251,1654.917247,296.482371,Labor and delivery complicated by umbilical cord complications
T45,85146,1649.279223,720.019089,"Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified"
N31,51823,1646.579157,1114.514542,"Neuromuscular dysfunction of bladder, not elsewhere classified"
O48,123717,1645.425847,341.13584,Late pregnancy
E04,98663,1621.967418,458.782246,Other nontoxic goiter
A02,90143,1611.180436,339.206404,Other salmonella infections
R25,60970,1600.054497,879.484125,Abnormal involuntary movements
R92,107457,1594.179296,348.441086,Abnormal and inconclusive findings on diagnostic imaging of breast
Z11,77117,1591.07358,770.141562,Encounter for screening for infectious and parasitic diseases
E88,70521,1579.213897,766.480162,Other and unspecified metabolic disorders
E64,74046,1563.161682,759.688039,Sequelae of malnutrition and other nutritional deficiencies
N94,102515,1550.489467,474.277711,Pain and other conditions associated with female genital organs and menstrual cycle
R35,89811,1543.294696,582.854759,Polyuria
B97,86438,1532.450833,588.584248,Viral agents as the cause of diseases classified elsewhere
H25,98732,1532.292791,295.291367,Age-related cataract
E53,66289,1520.723841,807.328432,Deficiency of other B group vitamins
S00,74127,1509.526246,685.235224,Superficial injury of head
C90,55543,1506.784969,899.055591,Multiple myeloma and malignant plasma cell neoplasms
S89,79213,1492.172917,637.244301,Other and unspecified injuries of lower leg
C67,73975,1488.585056,609.51427,Malignant neoplasm of bladder
I46,70548,1468.393633,685.420623,Cardiac arrest
H26,95240,1464.048664,326.090469,Other cataract
H54,65479,1455.496801,743.752667,Blindness and low vision
V85,98877,1452.290226,469.421831,Occupant of special construction vehicle injured in transport accident
