ICD10_3Digits,n_encounters_with_dx,score_abs,score_sq,DIAGNOSIS_DESCRIPTION
J01,67008,1198.025122,481.212382,Acute sinusitis
R90,61289,1181.482365,523.877831,Abnormal findings on diagnostic imaging of central nervous system
W10,67296,1167.011893,454.748206,Fall on and from stairs and steps
Z43,55407,1165.815865,565.6218,Encounter for attention to artificial openings
M21,60258,1148.624661,441.516557,Other acquired deformities of limbs
G30,82195,1145.910996,191.795569,Alzheimer's disease
N32,71176,1143.959298,371.594308,Other disorders of bladder
H35,67998,1140.49853,368.90326,Other retinal disorders
S86,69341,1129.615539,389.905169,"Injury of muscle, fascia and tendon at lower leg level"
I77,69574,1125.774405,399.92839,Other disorders of arteries and arterioles
N64,75057,1110.78611,294.966357,Other disorders of breast
J95,54227,1108.977429,501.595955,"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified"
S27,41445,1108.236191,632.956221,Injury of other and unspecified intrathoracic organs
R39,62236,1104.507151,431.253309,Other and unspecified symptoms and signs involving the genitourinary system
O24,57680,1095.767596,393.783008,"Diabetes mellitus in pregnancy, childbirth, and the puerperium"
F02,80931,1093.131053,211.668445,Dementia in other diseases classified elsewhere
G59,35661,1092.474503,700.161214,Mononeuropathy in diseases classified elsewhere
N10,50667,1092.173847,547.315613,Acute pyelonephritis
I83,48702,1083.149062,594.693962,Varicose veins of lower extremities
O42,68600,1080.963383,362.843867,Premature rupture of membranes
K94,41471,1075.044131,641.349876,Complications of artificial openings of the digestive system
Z46,50401,1069.561333,539.730668,Encounter for fitting and adjustment of other devices
B34,44063,1063.223912,556.01549,Viral infection of unspecified site
Z74,51746,1062.224677,469.127328,Problems related to care provider dependency
T86,50250,1055.7309,498.776363,Complications of transplanted organs and tissue
C92,38779,1049.875449,629.348047,Myeloid leukemia
C86,45221,1041.900359,535.573522,Other specified types of T/NK-cell lymphoma
H57,58710,1041.569497,407.565266,Other disorders of eye and adnexa
M53,41986,1038.420151,625.099275,"Other and unspecified dorsopathies, not elsewhere classified"
W51,70145,1032.487056,336.170626,Accidental striking against or bumped into by another person
M84,44930,1031.920296,550.989731,Disorder of continuity of bone
M00,23146,1030.440404,763.775155,Pyogenic arthritis
Y90,21357,1028.072678,685.96088,Evidence of alcohol involvement determined by blood alcohol level
G81,56911,1026.477922,404.899746,Hemiplegia and hemiparesis
K27,38694,1025.302252,611.123704,"Peptic ulcer, site unspecified"
I20,68243,1024.164261,298.931274,Angina pectoris
L29,44618,1021.559984,513.0345,Pruritus
N81,65456,1020.07879,243.461253,Female genital prolapse
D47,37360,1017.737207,541.088345,"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
A05,20380,1016.619285,1083.802916,"Other bacterial foodborne intoxications, not elsewhere classified"
S93,54898,1001.285924,415.937547,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level"
D70,48156,1000.292918,448.314884,Neutropenia
B02,44107,998.592517,562.004136,Zoster [herpes zoster]
M35,39617,997.573426,629.298442,Other systemic involvement of connective tissue
Y04,42771,994.618016,485.115071,Assault by bodily force
N73,66190,989.578772,344.474127,Other female pelvic inflammatory diseases
M90,26180,986.89064,809.78769,Osteopathies in diseases classified elsewhere
R64,37637,982.489463,518.269121,Cachexia
J93,38877,980.675691,519.248029,Pneumothorax and air leak
T85,49124,978.720383,434.038689,"Complications of other internal prosthetic devices, implants and grafts"
S49,60697,976.545408,337.029817,Other and unspecified injuries of shoulder and upper arm
O35,28934,976.275768,746.326081,Maternal care for known or suspected fetal abnormality and damage
C56,40307,964.554789,497.532484,Malignant neoplasm of ovary
S51,42719,959.080399,457.437412,Open wound of elbow and forearm
S29,47818,951.444765,419.16171,Other and unspecified injuries of thorax
E07,57511,951.311392,358.399113,Other disorders of thyroid
L73,39981,949.349619,479.975711,Other follicular disorders
L08,35115,948.552425,508.959804,Other local infections of skin and subcutaneous tissue
S66,53603,948.40746,364.76343,"Injury of muscle, fascia and tendon at wrist and hand level"
C64,45428,947.837505,411.660421,"Malignant neoplasm of kidney, except renal pelvis"
M24,57582,946.797881,339.78273,Other specific joint derangements
K55,44533,946.551542,505.313618,Vascular disorders of intestine
I08,67277,944.927109,255.920116,Multiple valve diseases
I31,49692,942.958332,365.106939,Other diseases of pericardium
G90,19941,941.314161,856.760256,Disorders of autonomic nervous system
K82,58602,935.914165,293.808331,Other diseases of gallbladder
R01,51767,931.420932,375.499168,Cardiac murmurs and other cardiac sounds
O62,74698,918.916233,196.799521,Abnormalities of forces of labor
S36,31536,916.862106,571.812967,Injury of intra-abdominal organs
O20,48330,909.869761,387.542003,Hemorrhage in early pregnancy
Z04,43915,909.482482,434.462415,Encounter for examination and observation for other reasons
H90,59660,908.675447,163.396325,Conductive and sensorineural hearing loss
C53,26374,908.451057,743.846733,Malignant neoplasm of cervix uteri
K87,39322,903.808655,484.037445,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
C20,36594,890.979882,505.86952,Malignant neoplasm of rectum
O13,54736,890.287426,287.432062,Gestational [pregnancy-induced] hypertension without significant proteinuria
S19,46143,889.024616,388.675026,Other specified and unspecified injuries of neck
M72,38149,886.544519,427.670719,Fibroblastic disorders
E46,35018,882.869651,458.433991,Unspecified protein-calorie malnutrition
H65,68452,880.640777,87.506418,Nonsuppurative otitis media
O21,31484,874.124493,584.799798,Excessive vomiting in pregnancy
M15,31482,870.718872,611.744698,Polyosteoarthritis
H60,45570,869.614287,373.849977,Otitis externa
G21,44793,862.735365,349.617912,Secondary parkinsonism
R82,44630,860.050375,360.388827,Other and unspecified abnormal findings in urine
S59,54570,856.287641,265.084804,Other and unspecified injuries of elbow and forearm
J11,47943,853.917395,352.618978,Influenza due to unidentified influenza virus
C80,48271,851.060023,362.287974,Malignant neoplasm without specification of site
N50,37964,848.20439,435.75447,Other and unspecified disorders of male genital organs
N23,56920,844.633005,291.98182,Unspecified renal colic
O23,40301,843.989854,388.327363,Infections of genitourinary tract in pregnancy
D86,29761,838.243325,541.30075,Sarcoidosis
H10,48449,835.343232,296.27322,Conjunctivitis
F06,49015,831.984958,305.60741,Other mental disorders due to known physiological condition
R44,17450,830.863894,602.697993,Other symptoms and signs involving general sensations and perceptions
G80,42650,826.5335,273.75673,Cerebral palsy
I97,46106,823.540472,346.736667,"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified"
T39,17191,821.524938,605.960137,"Poisoning by, adverse effect of and underdosing of nonopioid analgesics, antipyretics and antirheumatics"
I16,30846,821.103451,474.904174,Hypertensive crisis
Z32,40819,814.042701,377.50552,Encounter for pregnancy test and childbirth and childcare instruction
O30,33692,812.894254,392.449789,Multiple gestation
J38,37735,809.006776,370.118379,"Diseases of vocal cords and larynx, not elsewhere classified"
C77,51738,808.316086,253.855751,Secondary and unspecified malignant neoplasm of lymph nodes
J03,58728,807.276096,173.324492,Acute tonsillitis
K75,33340,806.111493,405.623248,Other inflammatory liver diseases
S31,30462,805.237717,452.335934,"Open wound of abdomen, lower back, pelvis and external genitals"
E27,27991,804.325993,544.549686,Other disorders of adrenal gland
N19,37772,794.932708,381.239604,Unspecified kidney failure
S05,44123,793.702933,310.588127,Injury of eye and orbit
I62,42163,789.767749,288.095009,Other and unspecified nontraumatic intracranial hemorrhage
S50,45015,789.014247,301.314137,Superficial injury of elbow and forearm
W17,51158,785.636394,246.06438,Other fall from one level to another
F69,6429,784.183064,600.456793,Unspecified disorder of adult personality and behaviour
G57,30251,781.614958,432.180313,Mononeuropathies of lower limb
A09,31560,774.91807,435.375199,"Infectious gastroenteritis and colitis, unspecified"
S08,39233,772.017773,342.611149,Avulsion and traumatic amputation of part of head
T18,33544,766.347407,451.942232,Foreign body in alimentary tract
A49,28480,762.802849,429.918285,Bacterial infection of unspecified site
D17,57567,761.381049,146.213498,Benign lipomatous neoplasm
T38,27757,761.075,411.631713,"Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified"
S12,28888,759.888848,438.59667,Fracture of cervical vertebra and other parts of neck
A08,35641,758.067715,357.422935,Viral and other specified intestinal infections
K30,41544,757.157055,299.968519,Functional dyspepsia
R17,33907,755.18647,374.770015,Unspecified jaundice
O14,51083,754.848685,169.876341,Pre-eclampsia
G44,34503,753.258701,380.479626,Other headache syndromes
N60,56822,736.542191,110.666447,Benign mammary dysplasia
D53,29675,735.11165,389.759692,Other nutritional anemias
I74,32703,727.512742,364.756585,Arterial embolism and thrombosis
M67,54240,721.571562,137.709255,Other disorders of synovium and tendon
T80,20526,720.110088,468.276175,"Complications following infusion, transfusion and therapeutic injection"
Z16,26143,719.458515,426.855845,Resistance to antimicrobial drugs
I24,35595,718.316716,321.674788,Other acute ischemic heart diseases
D49,48416,717.501606,212.487592,Neoplasms of unspecified behavior
E84,14138,717.092473,708.285308,Cystic fibrosis
B00,29573,715.779735,379.810391,Herpesviral [herpes simplex] infections
O02,49752,714.042091,98.532722,Other abnormal products of conception
Z56,8586,711.414142,483.7633,Problems related to employment and unemployment
W22,47285,710.35466,225.394853,Striking against or struck by other objects
K26,33258,709.011772,344.600406,Duodenal ulcer
M85,46624,705.603334,203.29973,Other disorders of bone density and structure
E21,40476,703.202754,199.942606,Hyperparathyroidism and other disorders of parathyroid gland
N47,51644,701.20271,79.525392,Disorders of prepuce
O41,43443,701.105216,249.491206,Other disorders of amniotic fluid and membranes
G20,33626,700.582455,326.980979,Parkinson's disease
S23,38747,697.96996,282.007911,Dislocation and sprain of joints and ligaments of thorax
T07,32896,697.342545,321.944761,Unspecified multiple injuries
T23,35443,696.61803,262.273475,Burn and corrosion of wrist and hand
C54,39203,692.178369,149.309526,Malignant neoplasm of corpus uteri
F05,29721,690.262413,338.371989,Delirium due to known physiological condition
Z03,28521,688.58948,407.949756,Encounter for medical observation for suspected diseases and conditions ruled out
O03,41268,685.739169,229.956338,Spontaneous abortion
C15,28568,681.494375,324.006255,Malignant neoplasm of esophagus
L72,42524,679.718256,219.129982,Follicular cysts of skin and subcutaneous tissue
O32,43667,673.108903,242.354387,Maternal care for malpresentation of fetus
M77,41981,672.640582,238.752407,Other enthesopathies
Q61,35435,672.600043,312.774823,Cystic kidney disease
M70,28391,667.316712,390.793924,"Soft tissue disorders related to use, overuse and pressure"
O10,29847,662.040719,378.442488,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
S81,27138,661.008729,335.227667,Open wound of knee and lower leg
D89,28999,660.478466,311.876025,"Other disorders involving the immune mechanism, not elsewhere classified"
R27,33293,659.555095,286.017808,Other lack of coordination
K13,31660,658.385442,319.80564,Other diseases of lip and oral mucosa
I96,26278,656.65401,356.64701,"Gangrene, not elsewhere classified"
F44,20193,655.164949,392.281836,Dissociative and conversion disorders
I61,34991,646.599171,246.019593,Nontraumatic intracerebral hemorrhage
C44,39019,644.100253,149.307485,Other and unspecified malignant neoplasm of skin
Y09,27955,643.880402,306.539257,Assault by unspecified means
E29,23635,642.617227,400.086768,Testicular dysfunction
R99,28408,642.594186,335.404968,Other ill-defined and unspecified causes of mortality
I80,20309,638.923529,378.657387,Phlebitis and thrombophlebitis
N48,30454,638.819168,339.229571,Other disorders of penis
K66,36370,636.350956,260.884301,Other disorders of peritoneum
I38,14333,633.157676,424.21725,"Endocarditis, valve unspecified"
L50,31006,627.223286,303.169367,Urticaria
G91,36712,626.787106,170.926755,Hydrocephalus
G31,37242,625.946387,218.427164,"Other degenerative diseases of nervous system, not elsewhere classified"
O82,46129,621.620907,187.178169,Encounter for cesarean delivery without indication
R76,21783,620.134912,358.566192,Other abnormal immunological findings in serum
N84,56938,619.623312,42.912766,Polyp of female genital tract
G45,33249,619.143089,242.616123,Transient cerebral ischemic attacks and related syndromes
N43,34325,614.422837,236.060447,Hydrocele and spermatocele
M71,34326,614.193598,263.089243,Other bursopathies
N85,49927,612.679825,113.166873,"Other noninflammatory disorders of uterus, except cervix"
R97,42149,610.538152,114.029257,Abnormal tumor markers
K60,35875,605.409583,178.399138,Fissure and fistula of anal and rectal regions
I36,36236,602.663908,204.159578,Nonrheumatic tricuspid valve disorders
M26,27180,602.140319,367.551598,Dentofacial anomalies [including malocclusion]
T46,25107,601.565173,316.540607,"Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system"
C85,28607,599.16515,266.795324,Other specified and unspecified types of non-Hodgkin lymphoma
D46,27691,598.02837,250.541145,Myelodysplastic syndromes
D75,26256,595.624818,270.450383,Other and unspecified diseases of blood and blood-forming organs
K77,36178,594.733698,206.726455,Liver disorders in diseases classified elsewhere
J80,22897,594.578338,313.462699,Adult respiratory distress syndrome
Z38,31476,592.570657,259.007826,Liveborn infants according to place of birth and type of delivery
Z81,10511,591.155058,395.280845,Family history of mental and behavioral disorders
N52,32702,586.825255,235.99686,Male erectile dysfunction
R80,32561,585.782318,204.687059,Proteinuria
G06,7476,582.767424,494.75053,Intracranial and intraspinal abscess and granuloma
N61,26289,579.570097,290.327326,Inflammatory disorders of breast
K61,30816,576.151737,215.926541,Abscess of anal and rectal regions
K12,26635,570.279145,284.701908,Stomatitis and related lesions
Z20,23393,570.106097,314.723226,Contact with and (suspected) exposure to communicable diseases
S41,24311,569.956317,297.949132,Open wound of shoulder and upper arm
N16,24995,569.669814,306.541832,Renal tubulo-interstitial disorders in diseases classified elsewhere
C71,30177,568.536611,115.982024,Malignant neoplasm of brain
T79,17931,557.19628,352.917048,"Certain early complications of trauma, not elsewhere classified"
S76,31195,553.929444,210.321196,"Injury of muscle, fascia and tendon at hip and thigh level"
I52,33332,552.476746,221.45615,Other heart disorders in diseases classified elsewhere
R61,26037,552.124352,258.326736,Generalized hyperhidrosis
C16,23238,551.579241,324.068683,Malignant neoplasm of stomach
W60,34604,549.219991,200.602379,Contact with nonvenomous plant thorns and spines and sharp leaves
I99,27267,548.928184,249.685163,Other and unspecified disorders of circulatory system
T36,20434,544.589878,287.998748,"Poisoning by, adverse effect of and underdosing of systemic antibiotics"
K90,21930,536.961216,313.558433,Intestinal malabsorption
S03,21999,536.337501,322.916179,Dislocation and sprain of joints and ligaments of head
S63,33693,534.329943,157.884037,Dislocation and sprain of joints and ligaments at wrist and hand level
N45,24112,532.822401,274.492465,Orchitis and epididymitis
B17,7909,529.26271,428.244832,Other acute viral hepatitis
Y08,20239,528.94322,298.797425,Assault by other specified means
G95,20687,528.134407,320.327231,Other and unspecified diseases of spinal cord
T41,8047,527.130998,352.107546,"Poisoning by, adverse effect of and underdosing of anesthetics and therapeutic gases"
M87,11460,527.033937,441.650899,Osteonecrosis
M76,27722,524.903589,236.49291,"Enthesopathies, lower limb, excluding foot"
F40,12585,521.778606,404.343839,Phobic anxiety disorders
J47,23025,520.909213,260.666647,Bronchiectasis
H69,40612,517.159097,51.748901,Other and unspecified disorders of Eustachian tube
R23,23191,516.912081,254.688283,Other skin changes
R12,33836,513.910766,164.873022,Heartburn
K46,26389,513.174755,238.492404,Unspecified abdominal hernia
K11,24676,506.564151,239.239895,Diseases of salivary glands
O64,36837,504.699044,143.765815,Obstructed labor due to malposition and malpresentation of fetus
N12,23594,503.744417,234.722526,"Tubulo-interstitial nephritis, not specified as acute or chronic"
N35,32080,500.138835,130.664543,Urethral stricture
V49,32222,499.642533,172.730663,Car occupant injured in other and unspecified transport accidents
L05,27965,499.045101,150.915838,Pilonidal cyst and sinus
F42,10935,497.007099,399.247905,Obsessive-compulsive disorder
T22,22480,493.380096,232.999133,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
H61,32337,491.25021,145.21097,Other disorders of external ear
P07,21413,487.091534,238.69365,"Disorders of newborn related to short gestation and low birth weight, not elsewhere classified"
W06,27803,486.85163,177.324676,Fall from bed
O90,34222,483.210528,139.65547,"Complications of the puerperium, not elsewhere classified"
E28,26978,483.198899,195.244328,Ovarian dysfunction
T17,22536,482.868674,214.643232,Foreign body in respiratory tract
C81,17291,481.298293,296.722114,Hodgkin lymphoma
S38,23917,480.354485,263.199104,"Crushing injury and traumatic amputation of abdomen, lower back, pelvis and external genitals"
C32,15982,479.156421,338.672,Malignant neoplasm of larynx
O75,39478,479.027817,101.824964,"Other complications of labor and delivery, not elsewhere classified"
C73,27323,478.843449,91.295085,Malignant neoplasm of thyroid gland
J86,13706,476.988513,299.552251,Pyothorax
I72,25780,474.658073,186.67113,Other aneurysm
D35,25374,471.555251,176.435855,Benign neoplasm of other and unspecified endocrine glands
C83,22276,469.572163,161.304717,Non-follicular lymphoma
E22,21819,468.021962,222.296957,Hyperfunction of pituitary gland
K05,19097,466.774708,297.199597,Gingivitis and periodontal diseases
M22,36568,464.516105,102.780872,Disorder of patella
E80,18242,460.495634,239.510072,Disorders of porphyrin and bilirubin metabolism
O71,38439,459.122417,94.55756,Other obstetric trauma
Z63,8515,458.021959,305.079046,"Other problems related to primary support group, including family circumstances"
T63,23429,455.809412,180.533487,Toxic effect of contact with venomous animals and plants
R87,28303,453.689443,143.232041,Abnormal findings in specimens from female genital organs
H81,29158,452.384742,139.88114,Disorders of vestibular function
H52,24172,446.5617,162.262593,Disorders of refraction and accommodation
T88,19506,445.889732,220.510631,"Other complications of surgical and medical care, not elsewhere classified"
J10,22963,445.178981,185.669073,Influenza due to other identified influenza virus
T87,15191,439.945597,261.805686,Complications peculiar to reattachment and amputation
Q25,23576,439.439442,142.810579,Congenital malformations of great arteries
R49,25530,438.494971,136.665641,Voice and resonance disorders
H02,28185,433.693283,84.01608,Other disorders of eyelid
L60,21863,432.365917,180.066618,Nail disorders
C49,21957,430.40846,129.402862,Malignant neoplasm of other connective and soft tissue
A40,14254,424.461442,232.445599,Streptococcal sepsis
J21,15165,424.355466,241.25844,Acute bronchiolitis
D73,13318,422.263348,263.252832,Diseases of spleen
Z77,28074,421.67634,107.707607,Other contact with and (suspected) exposures hazardous to health
I60,21354,419.433333,170.61301,Nontraumatic subarachnoid hemorrhage
S71,15880,417.300337,236.016243,Open wound of hip and thigh
Z36,20548,416.11785,187.087475,Encounter for antenatal screening of mother
V86,25737,412.696111,134.104379,"Occupant of special all-terrain or other off-road motor vehicle, injured in transport accident"
E72,13910,408.791384,248.006125,Other disorders of amino-acid metabolism
D48,26645,404.404817,132.72079,Neoplasm of uncertain behavior of other and unspecified sites
O72,29467,404.076542,105.705524,Postpartum hemorrhage
S79,22497,402.176818,152.631908,Other and unspecified injuries of hip and thigh
J94,18048,400.849934,191.749893,Other pleural conditions
E06,19966,400.545858,226.73341,Thyroiditis
T21,19014,399.002761,166.247154,Burn and corrosion of trunk
M89,22468,398.347431,162.320969,Other disorders of bone
T20,17505,392.395287,181.320399,"Burn and corrosion of head, face, and neck"
N72,30973,392.043493,108.546998,Inflammatory disease of cervix uteri
A60,17315,390.921834,192.473853,Anogenital herpesviral [herpes simplex] infections
V87,25937,390.745063,131.167292,Traffic accident of specified type but victim's mode of transport unknown
M31,16252,389.928777,220.04062,Other necrotizing vasculopathies
F45,9490,388.04114,245.650449,Somatoform disorders
I86,18646,386.626917,172.563678,Varicose veins of other sites
Q76,19061,382.004825,172.121968,Congenital malformations of spine and bony thorax
C76,17158,381.899804,206.49145,Malignant neoplasm of other and ill-defined sites
T24,18224,381.719515,151.508075,"Burn and corrosion of lower limb, except ankle and foot"
V78,16050,381.010089,201.874454,Bus occupant injured in noncollision transport accident
F84,25111,378.798182,71.691275,Pervasive developmental disorders
W20,26500,375.144005,112.49541,"Struck by thrown, projected or falling object"
W54,23293,374.920036,120.957315,Bitten or struck by dog
H50,25272,373.829319,44.756229,Other strabismus
A59,13427,373.331526,214.107308,Trichomoniasis
G50,16436,368.706926,191.850803,Disorders of trigeminal nerve
J42,12015,368.54085,238.061641,Unspecified chronic bronchitis
S34,7035,368.346148,318.178073,"Injury of lumbar and sacral spinal cord and nerves at abdomen, lower back and pelvis level"
H43,23174,367.408181,100.070341,Disorders of vitreous body
W57,20559,367.310971,142.769593,Bitten or stung by nonvenomous insect and other nonvenomous arthropods
G51,19882,365.65362,145.674773,Facial nerve disorders
W23,28379,364.740705,87.057472,"Caught, crushed, jammed or pinched in or between objects"
G83,14235,364.250188,187.153007,Other paralytic syndromes
Z65,7690,363.220015,229.38541,Problems related to other psychosocial circumstances
R15,16945,361.102118,158.481509,Fecal incontinence
N87,24129,358.168338,84.682902,Dysplasia of cervix uteri
O77,28388,356.195154,87.640133,Other fetal stress complicating labor and delivery
F91,12111,355.865779,199.553213,Conduct disorders
S13,18960,351.541737,144.36442,Dislocation and sprain of joints and ligaments at neck level
F22,6494,351.529727,258.141271,Delusional disorders
S37,17156,351.491236,161.558179,Injury of urinary and pelvic organs
N41,18834,348.97613,168.346577,Inflammatory diseases of prostate
D23,25260,348.580757,70.795197,Other benign neoplasms of skin
G70,14039,347.439204,182.397351,Myasthenia gravis and other myoneural disorders
Z97,18354,345.180333,134.880574,Presence of other devices
L90,23287,344.737249,94.84741,Atrophic disorders of skin
M34,10965,343.493662,269.94626,Systemic sclerosis [scleroderma]
D05,24381,342.279943,31.824737,Carcinoma in situ of breast
O46,17563,341.369441,155.368561,"Antepartum hemorrhage, not elsewhere classified"
O16,17974,340.466042,150.764734,Unspecified maternal hypertension
W11,22748,340.059407,103.984308,Fall on and from ladder
N62,22811,339.591964,70.040679,Hypertrophy of breast
V19,23567,339.470389,95.321568,Pedal cycle rider injured in other and unspecified transport accidents
D18,20496,338.094758,99.437728,"Hemangioma and lymphangioma, any site"
J85,6652,336.441142,251.169768,Abscess of lung and mediastinum
Z17,24765,336.14308,67.808401,Estrogen receptor status
D51,18306,335.804679,139.427827,Vitamin B12 deficiency anemia
L27,15637,335.655103,155.557764,Dermatitis due to substances taken internally
E23,14290,335.386619,165.037568,Hypofunction and other disorders of the pituitary gland
P28,13265,333.637508,196.478665,Other respiratory conditions originating in the perinatal period
H72,22329,331.64312,55.05266,Perforation of tympanic membrane
G72,11880,330.153685,187.331257,Other and unspecified myopathies
H11,17817,330.000666,119.811213,Other disorders of conjunctiva
F07,14418,329.018764,176.155317,Personality and behavioral disorders due to known physiological condition
S73,13642,328.985442,189.314223,Dislocation and sprain of joint and ligaments of hip
Q90,16395,328.663475,137.475407,Down syndrome
L53,16092,328.075166,149.339468,Other erythematous conditions
M40,14423,327.582189,183.743469,Kyphosis and lordosis
N91,17259,326.200725,134.087948,"Absent, scanty and rare menstruation"
K68,10296,326.00587,200.611118,Disorders of retroperitoneum
M60,6087,325.63583,223.149565,Myositis
H33,22050,325.429194,42.714586,Retinal detachments and breaks
H04,19720,325.313595,99.488051,Disorders of lacrimal system
F51,9733,322.360455,192.586286,Sleep disorders not due to a substance or known physiological condition
T19,17462,321.790623,137.563986,Foreign body in genitourinary tract
Q24,18199,319.622809,118.42901,Other congenital malformations of heart
G54,9644,311.522102,196.471368,Nerve root and plexus disorders
J39,15002,310.764365,139.312789,Other diseases of upper respiratory tract
V43,20083,307.000505,101.048662,"Car occupant injured in collision with car, pick-up truck or van"
A63,14434,305.80913,144.061925,"Other predominantly sexually transmitted diseases, not elsewhere classified"
X50,24044,304.607208,76.423776,Overexertion and strenuous or repetitive movements
D03,18215,302.694211,51.888499,Melanoma in situ
O66,26530,301.259288,56.645113,Other obstructed labor
M27,13229,301.211539,149.301207,Other diseases of jaws
H93,18021,299.15479,105.744874,"Other disorders of ear, not elsewhere classified"
O00,18819,299.080383,62.223872,Ectopic pregnancy
K37,25652,298.84978,52.246184,Unspecified appendicitis
J31,21302,298.523902,79.611792,"Chronic rhinitis, nasopharyngitis and pharyngitis"
B86,8949,298.063583,201.03031,Scabies
Q43,17598,297.262617,127.579331,Other congenital malformations of intestine
Q23,15008,296.907836,111.961761,Congenital malformations of aortic and mitral valves
L99,13725,295.85408,138.203117,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
J12,11752,293.753334,145.93282,"Viral pneumonia, not elsewhere classified"
F50,5788,292.802111,225.398808,Eating disorders
V00,23506,292.534819,51.729783,Pedestrian conveyance accident
X78,5057,291.206887,187.878038,Intentional self-harm by sharp object
W26,17029,290.197463,108.9046,"Contact with knife, sword or dagger"
N21,19569,289.3617,75.280494,Calculus of lower urinary tract
T30,15480,286.203759,111.837634,"Burn and corrosion, body region unspecified"
G03,11261,284.316708,164.534109,Meningitis due to other and unspecified causes
Z73,6272,283.509662,182.136585,Problems related to life management difficulty
Q07,9911,282.845224,228.305531,Other congenital malformations of nervous system
D59,10328,282.552936,190.53559,Acquired hemolytic anemia
T32,18156,279.959488,83.421168,Corrosions classified according to extent of body surface involved
F01,17688,279.79703,88.715811,Vascular dementia
P96,12307,279.314054,137.635755,Other conditions originating in the perinatal period
Z28,14637,279.302461,118.488084,Immunization not carried out and underimmunization status
M13,13738,278.552421,140.868544,Other arthritis
V09,10689,278.382643,149.565164,Pedestrian injured in other and unspecified transport accidents
Q79,10788,273.708189,155.369022,"Congenital malformations of musculoskeletal system, not elsewhere classified"
V29,15944,273.431208,101.998597,Motorcycle rider injured in other and unspecified transport accidents
W21,26219,271.925547,24.995085,Striking against or struck by sports equipment
I88,18827,271.813173,74.256443,Nonspecific lymphadenitis
T25,12774,270.681549,110.295896,Burn and corrosion of ankle and foot
I05,12660,270.326952,130.04798,Rheumatic mitral valve diseases
Y95,12444,270.255224,122.120371,Nosocomial condition
Z84,15453,269.588962,99.892963,Family history of other conditions
J04,10656,269.46508,147.972339,Acute laryngitis and tracheitis
D80,9397,266.919464,166.588143,Immunodeficiency with predominantly antibody defects
H00,13916,266.697329,105.401102,Hordeolum and chalazion
N04,9882,266.495732,179.536052,Nephrotic syndrome
G61,9059,266.149791,176.473105,Inflammatory polyneuropathy
F80,18927,266.051596,44.196527,Specific developmental disorders of speech and language
D84,8724,263.66812,207.432336,Other immunodeficiencies
C21,9094,263.610544,179.856045,Malignant neoplasm of anus and anal canal
R89,9354,263.521494,136.163675,"Abnormal findings in specimens from other organs, systems and tissues"
C62,10961,263.44915,121.541202,Malignant neoplasm of testis
Q87,12354,262.331023,114.832277,Other specified congenital malformation syndromes affecting multiple systems
L84,8578,260.365485,174.092151,Corns and callosities
D24,22368,258.632185,22.039278,Benign neoplasm of breast
K73,6480,257.042052,172.795427,"Chronic hepatitis, not elsewhere classified"
D32,15225,256.078159,61.012385,Benign neoplasm of meninges
F79,18222,255.949008,53.991837,Unspecified intellectual disabilities
I37,19941,254.70973,52.236165,Nonrheumatic pulmonary valve disorders
G97,16946,254.334374,70.482869,"Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
Q89,13483,248.290694,92.9348,"Other congenital malformations, not elsewhere classified"
J36,15887,247.968113,58.03387,Peritonsillar abscess
T65,4857,247.88978,159.269713,Toxic effect of other and unspecified substances
B49,8155,244.909141,139.883793,Unspecified mycosis
T15,14464,244.664242,88.763395,Foreign body on external eye
B99,9345,243.355196,130.355828,Other and unspecified infectious diseases
D27,20082,243.226553,38.417253,Benign neoplasm of ovary
G71,7403,243.152242,180.283553,Primary disorders of muscles
D45,10381,243.12535,127.768543,Polycythemia vera
Q53,16790,242.472102,22.581897,Undescended and ectopic testicle
P61,8468,242.079538,158.585262,Other perinatal hematological disorders
P59,13177,240.781086,101.712974,Neonatal jaundice from other and unspecified causes
N49,11200,240.04106,107.665365,"Inflammatory disorders of male genital organs, not elsewhere classified"
G24,7807,235.533545,133.283724,Dystonia
O44,10811,234.61425,104.198277,Placenta previa
P22,12037,234.496758,103.929115,Respiratory distress of newborn
N15,10789,233.579843,101.674117,Other renal tubulo-interstitial diseases
I81,9102,233.146871,139.337411,Portal vein thrombosis
O40,11925,233.060969,106.453579,Polyhydramnios
C41,9381,232.940449,130.170139,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
D65,8833,232.44188,146.589198,Disseminated intravascular coagulation [defibrination syndrome]
E01,16177,232.064161,67.007839,Iodine-deficiency related thyroid disorders and allied conditions
